,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
PAPEL PAMPA,estado nutricional,a baja,2013-07-01,3,1,4,3,3,3,10,7,17
PASORAPA,estado nutricional,a baja,2013-07-01,3,1,3,1,10,5,16,7,23
PATACAMAYA,estado nutricional,a baja,2013-07-01,17,19,18,26,18,18,53,63,116
PAZÑA,estado nutricional,a baja,2013-07-01,8,5,25,17,18,25,51,47,98
PELECHUCO,estado nutricional,a baja,2013-07-01,3,1,16,9,5,7,24,17,41
POCOATA,estado nutricional,a baja,2013-07-01,38,30,73,68,105,98,216,196,412
POCONA,estado nutricional,a baja,2013-07-01,12,9,22,12,19,15,53,36,89
POJO (CBBA),estado nutricional,a baja,2013-07-01,8,5,15,13,16,11,39,29,68
POOPO,estado nutricional,a baja,2013-07-01,3,0,15,5,6,7,24,12,36
PORCO,estado nutricional,a baja,2013-07-01,22,8,24,18,7,12,53,38,91
POROMA,estado nutricional,a baja,2013-07-01,19,5,31,28,68,70,118,103,221
PORONGO,estado nutricional,a baja,2013-07-01,1,1,0,0,1,0,2,1,3
PORTACHUELO,estado nutricional,a baja,2013-07-01,2,3,0,0,2,4,4,7,11
PORVENIR,estado nutricional,a baja,2013-07-01,3,2,6,5,6,4,15,11,26
POSTRER VALLE,estado nutricional,a baja,2013-07-01,4,1,2,0,2,3,8,4,12
POTOSI,estado nutricional,a baja,2013-07-01,201,134,350,221,171,137,722,492,1214
PRESTO,estado nutricional,a baja,2013-07-01,15,12,30,28,65,41,110,81,191
PUCARA,estado nutricional,a baja,2013-07-01,0,0,4,1,0,1,4,2,6
PUCARANI,estado nutricional,a baja,2013-07-01,19,5,26,25,19,10,64,40,104
PUERTO ACOSTA,estado nutricional,a baja,2013-07-01,8,2,8,7,6,2,22,11,33
PUERTO CARABUCO,estado nutricional,a baja,2013-07-01,6,4,17,14,17,6,40,24,64
PUERTO GONZALO MORENO,estado nutricional,a baja,2013-07-01,2,10,42,20,40,26,84,56,140
PUERTO PEREZ,estado nutricional,a baja,2013-07-01,1,1,4,1,4,7,9,9,18
PUERTO RICO,estado nutricional,a baja,2013-07-01,2,0,5,3,6,10,13,13,26
PUERTO SILES,estado nutricional,a baja,2013-07-01,0,0,0,1,0,2,0,3,3
PUERTO SUAREZ,estado nutricional,a baja,2013-07-01,12,5,4,3,1,0,17,8,25
PUERTO VILLARROEL,estado nutricional,a baja,2013-07-01,9,7,22,14,15,30,46,51,97
PUNA,estado nutricional,a baja,2013-07-01,16,8,31,29,38,57,85,94,179
PUNATA,estado nutricional,a baja,2013-07-01,4,1,13,10,7,11,24,22,46
QUIABAYA,estado nutricional,a baja,2013-07-01,1,3,3,4,3,6,7,13,20
QUILLACOLLO,estado nutricional,a baja,2013-07-01,29,28,73,53,49,44,151,125,276
QUIME,estado nutricional,a baja,2013-07-01,4,2,10,3,6,7,20,12,32
RAVELO,estado nutricional,a baja,2013-07-01,47,29,70,65,139,151,256,245,501
REYES,estado nutricional,a baja,2013-07-01,8,3,9,10,8,0,25,13,38
RIBERALTA,estado nutricional,a baja,2013-07-01,55,37,105,91,34,46,194,174,368
ROBORE,estado nutricional,a baja,2013-07-01,0,0,0,1,0,2,0,3,3
RURRENABAQUE,estado nutricional,a baja,2013-07-01,2,1,7,3,5,3,14,7,21
SABAYA,estado nutricional,a baja,2013-07-01,2,1,4,0,4,2,10,3,13
SACABA,estado nutricional,a baja,2013-07-01,29,28,105,69,88,81,222,178,400
SACABAMBA,estado nutricional,a baja,2013-07-01,15,1,16,16,13,17,44,34,78
SACACA,estado nutricional,a baja,2013-07-01,54,28,88,49,69,71,211,148,359
SAIPINA,estado nutricional,a baja,2013-07-01,0,0,1,0,2,7,3,7,10
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-07-01,13,10,49,12,40,23,102,45,147
SAMAIPATA,estado nutricional,a baja,2013-07-01,1,5,5,3,6,4,12,12,24
SAN AGUSTIN,estado nutricional,a baja,2013-07-01,0,0,2,0,1,2,3,2,5
SAN ANDRES,estado nutricional,a baja,2013-07-01,1,1,1,2,2,1,4,4,8
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-07-01,3,0,3,2,0,3,6,5,11
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-07-01,3,1,4,4,1,2,8,7,15
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-07-01,2,5,18,9,17,15,37,29,66
SAN BENITO,estado nutricional,a baja,2013-07-01,4,6,16,9,7,2,27,17,44
SAN BORJA,estado nutricional,a baja,2013-07-01,19,5,34,16,40,47,93,68,161
SAN BUENA VENTURA,estado nutricional,a baja,2013-07-01,5,2,10,2,2,5,17,9,26
SAN CARLOS,estado nutricional,a baja,2013-07-01,2,1,6,2,10,6,18,9,27
SAN IGNACIO,estado nutricional,a baja,2013-07-01,6,3,22,14,15,15,43,32,75
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-07-01,12,12,13,19,25,18,50,49,99
SAN JAVIER(STC),estado nutricional,a baja,2013-07-01,0,2,0,0,1,0,1,2,3
SAN JOAQUIN,estado nutricional,a baja,2013-07-01,1,1,1,0,0,0,2,1,3
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-07-01,2,3,8,3,4,2,14,8,22
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-07-01,0,1,3,3,0,1,3,5,8
SAN JULIAN,estado nutricional,a baja,2013-07-01,4,4,12,9,6,7,22,20,42
SAN LORENZO(PND),estado nutricional,a baja,2013-07-01,3,1,9,3,2,4,14,8,22
SAN LORENZO(TJA),estado nutricional,a baja,2013-07-01,4,5,13,9,15,20,32,34,66
SAN LUCAS,estado nutricional,a baja,2013-07-01,22,15,39,24,70,72,131,111,242
SAN MATIAS,estado nutricional,a baja,2013-07-01,0,3,2,4,1,2,3,9,12
SAN MIGUEL DE VELASCO,estado nutricional,a baja,2013-07-01,22,14,33,17,23,19,78,50,128
SAN PABLO DE LIPEZ,estado nutricional,a baja,2013-07-01,2,1,1,2,1,1,4,4,8
SAN PEDRO,estado nutricional,a baja,2013-07-01,0,1,2,4,5,5,7,10,17
SAN PEDRO DE BUENA VISTA,estado nutricional,a baja,2013-07-01,39,32,96,77,93,97,228,206,434
SAN PEDRO DE CURAHUARA,estado nutricional,a baja,2013-07-01,1,1,6,2,4,5,11,8,19
SAN PEDRO DE QUEMES,estado nutricional,a baja,2013-07-01,0,0,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,estado nutricional,a baja,2013-07-01,3,2,2,1,4,2,9,5,14
SAN PEDRO(PND),estado nutricional,a baja,2013-07-01,0,0,4,1,2,2,6,3,9
SAN RAFAEL,estado nutricional,a baja,2013-07-01,2,0,6,3,2,3,10,6,16
SAN RAMON BENI,estado nutricional,a baja,2013-07-01,0,0,2,1,2,0,4,1,5
SAN RAMON SCZ,estado nutricional,a baja,2013-07-01,3,3,2,0,1,2,6,5,11
SANTA ANA,estado nutricional,a baja,2013-07-01,1,0,7,5,4,4,12,9,21
SANTA CRUZ DE LA SIERRA,estado nutricional,a baja,2013-07-01,120,94,120,92,123,119,363,305,668
SANTA ROSA,estado nutricional,a baja,2013-07-01,1,4,5,5,3,4,9,13,22
SANTA ROSA DEL SARA,estado nutricional,a baja,2013-07-01,4,1,2,4,1,2,7,7,14
SANTIAGO DE CALLAPA,estado nutricional,a baja,2013-07-01,0,1,3,7,2,0,5,8,13
SANTIAGO DE HUARI,estado nutricional,a baja,2013-07-01,5,3,49,47,11,10,65,60,125
SANTIAGO DE HUATA,estado nutricional,a baja,2013-07-01,3,0,7,2,2,8,12,10,22
SANTIAGO DE MACHACA,estado nutricional,a baja,2013-07-01,3,2,10,7,13,9,26,18,44
SANTIVAÑES,estado nutricional,a baja,2013-07-01,1,5,5,1,3,5,9,11,20
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-07-01,8,3,5,5,10,11,23,19,42
SAPAHAQUI,estado nutricional,a baja,2013-07-01,12,3,25,10,12,8,49,21,70
SENA,estado nutricional,a baja,2013-07-01,2,1,1,0,4,3,7,4,11
SHINAOTA,estado nutricional,a baja,2013-07-01,8,6,10,17,7,14,25,37,62
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-07-01,12,5,22,15,19,21,53,41,94
SICAYA,estado nutricional,a baja,2013-07-01,1,0,9,9,6,3,16,12,28
SIPE SIPE,estado nutricional,a baja,2013-07-01,24,11,38,29,30,22,92,62,154
SOPACHUY,estado nutricional,a baja,2013-07-01,2,0,16,13,33,31,51,44,95
SORACACHI,estado nutricional,a baja,2013-07-01,15,7,24,13,17,21,56,41,97
SORATA,estado nutricional,a baja,2013-07-01,9,4,17,5,12,4,38,13,51
SUCRE,estado nutricional,a baja,2013-07-01,82,34,169,123,142,137,393,294,687
TACACHI,estado nutricional,a baja,2013-07-01,0,0,0,0,0,1,0,1,1
TACACOMA,estado nutricional,a baja,2013-07-01,3,2,1,2,5,2,9,6,15
TACOBAMBA,estado nutricional,a baja,2013-07-01,14,6,16,14,9,7,39,27,66
TACOPAYA,estado nutricional,a baja,2013-07-01,9,5,27,16,35,28,71,49,120
TAHUA,estado nutricional,a baja,2013-07-01,1,1,0,2,3,0,4,3,7
TAPACARI,estado nutricional,a baja,2013-07-01,52,24,90,55,73,73,215,152,367
TARABUCO,estado nutricional,a baja,2013-07-01,16,14,45,30,116,117,177,161,338
TARACO,estado nutricional,a baja,2013-07-01,1,0,6,4,0,1,7,5,12
TARATA,estado nutricional,a baja,2013-07-01,3,4,5,2,5,7,13,13,26
TARIJA,estado nutricional,a baja,2013-07-01,32,27,57,41,30,42,119,110,229
TARVITA,estado nutricional,a baja,2013-07-01,11,3,51,38,105,100,167,141,308
TEOPONTE,estado nutricional,a baja,2013-07-01,0,0,1,1,5,3,6,4,10
TIAWANACU,estado nutricional,a baja,2013-07-01,5,4,21,8,12,9,38,21,59
TINGUIPAYA,estado nutricional,a baja,2013-07-01,39,43,51,53,50,44,140,140,280
TIPUANI,estado nutricional,a baja,2013-07-01,3,3,6,6,3,3,12,12,24
TIQUIPAYA,estado nutricional,a baja,2013-07-01,22,17,31,29,38,18,91,64,155
TIRAQUE (CBBA),estado nutricional,a baja,2013-07-01,19,21,37,30,16,10,72,61,133
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a baja,2013-07-01,1,0,1,0,3,1,5,1,6
TOCO,estado nutricional,a baja,2013-07-01,0,0,0,3,3,1,3,4,7
TOLATA,estado nutricional,a baja,2013-07-01,2,0,1,1,4,1,7,2,9
TOLEDO,estado nutricional,a baja,2013-07-01,7,2,7,2,6,0,20,4,24
TOMAVE,estado nutricional,a baja,2013-07-01,14,7,33,19,24,17,71,43,114
TOMINA,estado nutricional,a baja,2013-07-01,5,6,26,18,67,63,98,87,185
TORO TORO,estado nutricional,a baja,2013-07-01,11,7,20,21,49,37,80,65,145
TOTORA(CBBA),estado nutricional,a baja,2013-07-01,17,11,39,26,17,24,73,61,134
TOTORA(ORR),estado nutricional,a baja,2013-07-01,4,5,5,5,4,11,13,21,34
TRINIDAD,estado nutricional,a baja,2013-07-01,18,26,30,17,33,25,81,68,149
TUPIZA,estado nutricional,a baja,2013-07-01,30,14,30,21,32,22,92,57,149
TURCO,estado nutricional,a baja,2013-07-01,2,0,2,2,2,9,6,11,17
UMALA,estado nutricional,a baja,2013-07-01,6,2,17,6,14,12,37,20,57
UNCIA,estado nutricional,a baja,2013-07-01,33,12,62,27,46,32,141,71,212
URIONDO (A. CONCEPCION),estado nutricional,a baja,2013-07-01,6,1,4,6,3,7,13,14,27
URUBICHA,estado nutricional,a baja,2013-07-01,4,3,11,1,4,0,19,4,23
UYUNI,estado nutricional,a baja,2013-07-01,10,6,19,25,11,7,40,38,78
VACAS,estado nutricional,a baja,2013-07-01,20,9,30,17,10,9,60,35,95
VALLEGRANDE,estado nutricional,a baja,2013-07-01,1,2,3,5,5,2,9,9,18
VIACHA,estado nutricional,a baja,2013-07-01,28,26,57,28,31,29,116,83,199
VILA VILA,estado nutricional,a baja,2013-07-01,10,23,18,20,27,43,55,86,141
VILLA CHARCAS,estado nutricional,a baja,2013-07-01,23,10,52,37,112,105,187,152,339
VILLA MONTES,estado nutricional,a baja,2013-07-01,2,4,4,5,10,11,16,20,36
VILLA NUEVA (LOMA ALTA),estado nutricional,a baja,2013-07-01,0,1,3,1,8,2,11,4,15
VILLA RIVERO,estado nutricional,a baja,2013-07-01,1,0,11,2,7,7,19,9,28
VILLA SERRANO,estado nutricional,a baja,2013-07-01,4,1,25,12,55,51,84,64,148
VILLA TUNARI,estado nutricional,a baja,2013-07-01,19,15,67,67,81,67,167,149,316
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a baja,2013-07-01,3,1,13,8,6,11,22,20,42
VILLAZON,estado nutricional,a baja,2013-07-01,41,34,73,41,56,44,170,119,289
VINTO,estado nutricional,a baja,2013-07-01,13,5,16,8,8,13,37,26,63
VITICHI,estado nutricional,a baja,2013-07-01,6,3,14,17,23,24,43,44,87
WALDO BALLIVIAN,estado nutricional,a baja,2013-07-01,0,0,4,3,3,5,7,8,15
WARNES,estado nutricional,a baja,2013-07-01,53,30,42,26,31,23,126,79,205
YACO,estado nutricional,a baja,2013-07-01,2,8,11,7,16,11,29,26,55
YACUIBA,estado nutricional,a baja,2013-07-01,49,25,38,30,39,44,126,99,225
YAMPARAEZ,estado nutricional,a baja,2013-07-01,6,4,17,17,53,59,76,80,156
YANACACHI,estado nutricional,a baja,2013-07-01,1,1,3,0,1,1,5,2,7
YAPACANI,estado nutricional,a baja,2013-07-01,2,0,6,4,4,3,12,7,19
YOCALLA,estado nutricional,a baja,2013-07-01,10,3,12,6,10,4,32,13,45
YOTALA,estado nutricional,a baja,2013-07-01,2,4,11,6,25,11,38,21,59
YUNCHARA,estado nutricional,a baja,2013-07-01,3,7,17,8,28,21,48,36,84
ZUDAÑEZ,estado nutricional,a baja,2013-07-01,2,3,13,12,37,39,52,54,106
ACACIO,estado nutricional,a baja,2013-08-01,13,3,23,15,31,38,67,56,123
ACHACACHI,estado nutricional,a baja,2013-08-01,17,18,28,22,12,19,57,59,116
ACHOCALLA,estado nutricional,a baja,2013-08-01,9,5,11,4,11,8,31,17,48
AIQUILE,estado nutricional,a baja,2013-08-01,12,12,15,21,21,15,48,48,96
ALALAY,estado nutricional,a baja,2013-08-01,7,1,10,9,11,7,28,17,45
ALCALA,estado nutricional,a baja,2013-08-01,2,1,4,1,15,17,21,19,40
ALTO BENI,estado nutricional,a baja,2013-08-01,3,0,4,8,8,5,15,13,28
ANCORAIMES,estado nutricional,a baja,2013-08-01,13,7,24,19,25,16,62,42,104
ANDAMARCA,estado nutricional,a baja,2013-08-01,3,0,9,3,20,42,32,45,77
ANTEQUERA,estado nutricional,a baja,2013-08-01,6,1,4,5,1,5,11,11,22
ANZALDO,estado nutricional,a baja,2013-08-01,14,8,19,14,32,40,65,62,127
APOLO,estado nutricional,a baja,2013-08-01,8,1,28,13,13,16,49,30,79
ARAMPAMPA,estado nutricional,a baja,2013-08-01,6,1,13,14,15,15,34,30,64
ARANI,estado nutricional,a baja,2013-08-01,9,7,22,14,20,15,51,36,87
ARBIETO,estado nutricional,a baja,2013-08-01,3,1,4,6,3,2,10,9,19
ARQUE,estado nutricional,a baja,2013-08-01,19,12,48,40,54,42,121,94,215
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-08-01,4,3,3,8,9,8,16,19,35
ATOCHA,estado nutricional,a baja,2013-08-01,9,10,13,8,16,20,38,38,76
AUCAPATA,estado nutricional,a baja,2013-08-01,2,0,3,4,3,5,8,9,17
AYATA,estado nutricional,a baja,2013-08-01,8,7,32,17,17,19,57,43,100
AYO AYO,estado nutricional,a baja,2013-08-01,9,11,24,15,25,18,58,44,102
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-08-01,35,18,72,43,56,55,163,116,279
AZURDUY,estado nutricional,a baja,2013-08-01,6,5,25,31,77,81,108,117,225
BATALLAS,estado nutricional,a baja,2013-08-01,13,5,26,19,21,15,60,39,99
BAURES,estado nutricional,a baja,2013-08-01,0,0,5,4,7,3,12,7,19
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-08-01,2,0,1,1,5,8,8,9,17
BELEN DE URMIRI,estado nutricional,a baja,2013-08-01,2,2,7,3,5,11,14,16,30
BELLA FLOR,estado nutricional,a baja,2013-08-01,0,1,3,5,7,5,10,11,21
BERMEJO,estado nutricional,a baja,2013-08-01,10,5,12,12,17,7,39,24,63
BETANZOS,estado nutricional,a baja,2013-08-01,37,29,113,88,159,160,309,277,586
BOLIVAR,estado nutricional,a baja,2013-08-01,36,13,49,23,38,50,123,86,209
BOLPEBRA,estado nutricional,a baja,2013-08-01,2,1,2,0,4,1,8,2,10
BOYUIBE,estado nutricional,a baja,2013-08-01,0,0,0,0,1,1,1,1,2
BUENA VISTA,estado nutricional,a baja,2013-08-01,1,2,3,2,3,0,7,4,11
CABEZAS,estado nutricional,a baja,2013-08-01,1,1,3,4,5,9,9,14,23
CAIROMA,estado nutricional,a baja,2013-08-01,3,2,22,10,22,17,47,29,76
"CAIZA ""D""",estado nutricional,a baja,2013-08-01,7,6,13,8,27,18,47,32,79
CAJUATA,estado nutricional,a baja,2013-08-01,3,1,4,2,4,3,11,6,17
CALACOTO,estado nutricional,a baja,2013-08-01,0,4,2,4,2,1,4,9,13
CALAMARCA,estado nutricional,a baja,2013-08-01,14,6,24,19,34,31,72,56,128
CAMARGO,estado nutricional,a baja,2013-08-01,15,13,31,23,51,58,97,94,191
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-08-01,1,2,8,2,6,6,15,10,25
CAMIRI,estado nutricional,a baja,2013-08-01,10,5,4,3,8,4,22,12,34
CAPINOTA,estado nutricional,a baja,2013-08-01,8,3,15,9,3,8,26,20,46
CAQUIAVIRI,estado nutricional,a baja,2013-08-01,10,2,9,17,7,6,26,25,51
CARACOLLO,estado nutricional,a baja,2013-08-01,5,4,29,16,29,22,63,42,105
CARANAVI,estado nutricional,a baja,2013-08-01,19,9,25,25,57,48,101,82,183
CARANGAS,estado nutricional,a baja,2013-08-01,1,0,0,0,1,1,2,1,3
CARAPARI,estado nutricional,a baja,2013-08-01,1,1,4,0,4,0,9,1,10
CARIPUYO,estado nutricional,a baja,2013-08-01,16,12,29,26,21,26,66,64,130
CARMEN RIVERO TORREZ,estado nutricional,a baja,2013-08-01,0,0,3,2,1,0,4,2,6
CATACORA,estado nutricional,a baja,2013-08-01,3,0,3,1,6,1,12,2,14
CHACARILLA,estado nutricional,a baja,2013-08-01,0,1,3,1,4,3,7,5,12
CHALLAPATA,estado nutricional,a baja,2013-08-01,31,19,59,30,42,35,132,84,216
CHAQUI,estado nutricional,a baja,2013-08-01,9,8,28,13,26,25,63,46,109
CHARAGUA,estado nutricional,a baja,2013-08-01,9,2,4,3,8,5,21,10,31
CHARAÑA,estado nutricional,a baja,2013-08-01,1,1,3,0,0,6,4,7,11
CHAYANTA,estado nutricional,a baja,2013-08-01,26,18,37,42,85,54,148,114,262
CHIMORE,estado nutricional,a baja,2013-08-01,4,0,8,14,10,10,22,24,46
CHIPAYA,estado nutricional,a baja,2013-08-01,3,0,4,0,5,3,12,3,15
CHOQUE COTA,estado nutricional,a baja,2013-08-01,3,1,1,0,0,1,4,2,6
CHUA COCANI,estado nutricional,a baja,2013-08-01,1,0,3,0,2,2,6,2,8
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-08-01,1,0,1,3,6,4,8,7,15
CHUMA,estado nutricional,a baja,2013-08-01,7,3,21,13,16,16,44,32,76
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-08-01,10,9,34,16,29,23,73,48,121
CKOCHAS,estado nutricional,a baja,2013-08-01,27,28,64,52,81,59,172,139,311
CLIZA,estado nutricional,a baja,2013-08-01,2,9,5,2,4,7,11,18,29
COBIJA,estado nutricional,a baja,2013-08-01,16,4,15,17,20,7,51,28,79
COCAPATA,estado nutricional,a baja,2013-08-01,23,24,68,49,64,90,155,163,318
COCHABAMBA,estado nutricional,a baja,2013-08-01,111,94,194,157,157,157,462,408,870
COIPASA,estado nutricional,a baja,2013-08-01,0,0,0,0,0,1,0,1,1
COLCAPIRHUA,estado nutricional,a baja,2013-08-01,5,6,13,19,14,17,32,42,74
"COLCHA ""K""",estado nutricional,a baja,2013-08-01,13,7,20,9,12,8,45,24,69
COLLANA,estado nutricional,a baja,2013-08-01,3,2,10,1,5,10,18,13,31
COLOMI,estado nutricional,a baja,2013-08-01,13,20,37,39,32,31,82,90,172
COLPA BELGICA,estado nutricional,a baja,2013-08-01,0,0,0,1,0,0,0,1,1
COLQUECHACA,estado nutricional,a baja,2013-08-01,79,67,140,140,98,72,317,279,596
COLQUENCHA,estado nutricional,a baja,2013-08-01,6,2,16,7,13,7,35,16,51
COLQUIRI,estado nutricional,a baja,2013-08-01,17,10,18,21,31,24,66,55,121
COMANCHE,estado nutricional,a baja,2013-08-01,3,1,3,10,3,2,9,13,22
COMARAPA,estado nutricional,a baja,2013-08-01,4,2,8,3,5,4,17,9,26
COMBAYA,estado nutricional,a baja,2013-08-01,0,0,3,2,10,7,13,9,22
CONCEPCION,estado nutricional,a baja,2013-08-01,11,7,10,12,20,16,41,35,76
COPACABANA,estado nutricional,a baja,2013-08-01,5,8,10,10,4,7,19,25,44
CORIPATA,estado nutricional,a baja,2013-08-01,0,2,8,9,4,3,12,14,26
CORO CORO,estado nutricional,a baja,2013-08-01,6,5,16,13,13,17,35,35,70
COROICO,estado nutricional,a baja,2013-08-01,4,7,6,4,9,9,19,20,39
CORQUE,estado nutricional,a baja,2013-08-01,3,1,16,18,15,9,34,28,62
COTAGAITA,estado nutricional,a baja,2013-08-01,15,14,60,34,62,56,137,104,241
COTOCA,estado nutricional,a baja,2013-08-01,6,3,12,8,1,4,19,15,34
CUATRO CAÑADAS,estado nutricional,a baja,2013-08-01,0,0,1,1,0,1,1,2,3
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a baja,2013-08-01,0,0,0,1,1,0,1,1,2
CUEVO,estado nutricional,a baja,2013-08-01,3,1,3,3,6,10,12,14,26
CULPINA,estado nutricional,a baja,2013-08-01,11,2,10,3,4,8,25,13,38
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-08-01,8,6,16,4,6,7,30,17,47
CURVA,estado nutricional,a baja,2013-08-01,0,1,8,2,7,7,15,10,25
DESAGUADERO,estado nutricional,a baja,2013-08-01,2,2,1,0,0,0,3,2,5
EL ALTO,estado nutricional,a baja,2013-08-01,433,324,648,359,391,327,1472,1010,2482
EL CHORO,estado nutricional,a baja,2013-08-01,3,0,3,2,5,2,11,4,15
EL PUENTE(STC),estado nutricional,a baja,2013-08-01,1,0,3,1,1,1,5,2,7
EL PUENTE(TJA),estado nutricional,a baja,2013-08-01,4,5,16,17,37,19,57,41,98
EL TORNO,estado nutricional,a baja,2013-08-01,10,6,10,10,15,10,35,26,61
EL VILLAR,estado nutricional,a baja,2013-08-01,0,2,1,0,13,13,14,15,29
ENTRE RIOS TRJ,estado nutricional,a baja,2013-08-01,4,3,13,6,12,13,29,22,51
ENTRE RIOS CBBA,estado nutricional,a baja,2013-08-01,5,4,10,13,11,8,26,25,51
ESCARA,estado nutricional,a baja,2013-08-01,1,0,0,2,2,1,3,3,6
ESCOMA,estado nutricional,a baja,2013-08-01,1,1,5,3,2,4,8,8,16
ESMERALDA,estado nutricional,a baja,2013-08-01,0,0,0,0,0,1,0,1,1
EUCALIPTUS,estado nutricional,a baja,2013-08-01,13,0,22,8,5,6,40,14,54
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-08-01,0,1,1,0,4,2,5,3,8
FERNANDEZ ALONSO,estado nutricional,a baja,2013-08-01,4,0,2,5,5,3,11,8,19
FILADELFIA,estado nutricional,a baja,2013-08-01,3,2,2,4,6,4,11,10,21
GENERAL SAAVEDRA,estado nutricional,a baja,2013-08-01,6,3,7,7,8,3,21,13,34
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-08-01,9,7,28,16,18,20,55,43,98
GUANAY,estado nutricional,a baja,2013-08-01,7,9,10,9,13,7,30,25,55
GUAQUI,estado nutricional,a baja,2013-08-01,5,3,7,14,8,7,20,24,44
GUAYARAMERIN,estado nutricional,a baja,2013-08-01,31,21,59,33,38,23,128,77,205
GUTIERREZ,estado nutricional,a baja,2013-08-01,10,9,16,10,46,39,72,58,130
HUACARETA,estado nutricional,a baja,2013-08-01,7,1,5,5,9,7,21,13,34
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-08-01,6,1,4,1,7,8,17,10,27
HUACHACALLA,estado nutricional,a baja,2013-08-01,0,0,1,1,2,2,3,3,6
HUANUNI,estado nutricional,a baja,2013-08-01,22,16,49,25,23,17,94,58,152
HUARACAJE,estado nutricional,a baja,2013-08-01,0,1,0,0,4,1,4,2,6
HUARINA,estado nutricional,a baja,2013-08-01,1,1,10,6,3,4,14,11,25
HUATAJATA,estado nutricional,a baja,2013-08-01,1,0,1,4,2,3,4,7,11
HUAYLLAMARCA,estado nutricional,a baja,2013-08-01,2,1,9,3,7,6,18,10,28
HUMANATA,estado nutricional,a baja,2013-08-01,9,4,15,15,8,6,32,25,57
ICHOCA,estado nutricional,a baja,2013-08-01,9,2,10,1,8,5,27,8,35
ICLA,estado nutricional,a baja,2013-08-01,9,4,22,15,97,74,128,93,221
INCAHUASI,estado nutricional,a baja,2013-08-01,23,6,32,23,53,49,108,78,186
INGAVI (HUMAITA),estado nutricional,a baja,2013-08-01,0,0,1,0,1,0,2,0,2
INQUISIVI,estado nutricional,a baja,2013-08-01,4,3,14,5,13,15,31,23,54
IRUPANA (VILLA DE LANZA),estado nutricional,a baja,2013-08-01,9,5,7,3,6,8,22,16,38
IXIAMAS,estado nutricional,a baja,2013-08-01,4,3,13,5,10,7,27,15,42
JESUS DE MACHACA,estado nutricional,a baja,2013-08-01,5,6,6,9,11,15,22,30,52
LA ASUNTA,estado nutricional,a baja,2013-08-01,6,5,22,13,16,20,44,38,82
LA GUARDIA,estado nutricional,a baja,2013-08-01,17,15,9,14,13,6,39,35,74
LA PAZ,estado nutricional,a baja,2013-08-01,408,223,420,222,260,229,1088,674,1762
LAGUNILLAS,estado nutricional,a baja,2013-08-01,2,2,4,2,3,5,9,9,18
LAJA,estado nutricional,a baja,2013-08-01,9,2,21,6,8,10,38,18,56
LAS CARRERAS,estado nutricional,a baja,2013-08-01,1,1,5,1,6,7,12,9,21
LICOMA PAMPA,estado nutricional,a baja,2013-08-01,3,0,2,3,6,3,11,6,17
LLALLAGUA,estado nutricional,a baja,2013-08-01,36,17,85,59,47,46,168,122,290
LLICA,estado nutricional,a baja,2013-08-01,4,5,4,4,7,1,15,10,25
LORETO,estado nutricional,a baja,2013-08-01,0,0,0,3,3,4,3,7,10
LURIBAY,estado nutricional,a baja,2013-08-01,1,0,8,1,8,3,17,4,21
MACHACAMARCA,estado nutricional,a baja,2013-08-01,8,7,4,3,9,2,21,12,33
MACHARETI,estado nutricional,a baja,2013-08-01,2,4,7,3,7,4,16,11,27
MAGDALENA,estado nutricional,a baja,2013-08-01,2,1,7,4,3,1,12,6,18
MAIRANA,estado nutricional,a baja,2013-08-01,0,4,8,8,3,3,11,15,26
MALLA,estado nutricional,a baja,2013-08-01,2,0,2,1,4,7,8,8,16
MAPIRI,estado nutricional,a baja,2013-08-01,3,7,19,2,16,8,38,17,55
