,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SAN JUAN DE YAPACANI,estado nutricional,a normal,2013-08-01,87,70,61,47,51,56,199,173,372
SAN JULIAN,estado nutricional,a normal,2013-08-01,391,373,391,354,314,320,1096,1047,2143
SAN LORENZO(PND),estado nutricional,a normal,2013-08-01,57,68,40,56,38,50,135,174,309
SAN LORENZO(TJA),estado nutricional,a normal,2013-08-01,170,196,137,162,171,145,478,503,981
SAN LUCAS,estado nutricional,a normal,2013-08-01,81,91,64,62,109,128,254,281,535
SAN MATIAS,estado nutricional,a normal,2013-08-01,104,95,67,38,61,49,232,182,414
SAN MIGUEL DE VELASCO,estado nutricional,a normal,2013-08-01,90,115,97,82,87,77,274,274,548
SAN PABLO DE LIPEZ,estado nutricional,a normal,2013-08-01,17,25,9,21,13,16,39,62,101
SAN PEDRO,estado nutricional,a normal,2013-08-01,111,137,120,116,140,111,371,364,735
SAN PEDRO DE BUENA VISTA,estado nutricional,a normal,2013-08-01,276,266,207,213,213,204,696,683,1379
SAN PEDRO DE CURAHUARA,estado nutricional,a normal,2013-08-01,36,28,29,26,25,29,90,83,173
SAN PEDRO DE QUEMES,estado nutricional,a normal,2013-08-01,6,6,3,3,2,4,11,13,24
SAN PEDRO DE TIQUINA,estado nutricional,a normal,2013-08-01,25,22,20,23,45,36,90,81,171
SAN PEDRO(PND),estado nutricional,a normal,2013-08-01,14,26,22,21,26,20,62,67,129
SAN RAFAEL,estado nutricional,a normal,2013-08-01,67,54,44,49,50,55,161,158,319
SAN RAMON BENI,estado nutricional,a normal,2013-08-01,36,30,30,14,21,29,87,73,160
SAN RAMON SCZ,estado nutricional,a normal,2013-08-01,83,62,31,35,42,4,156,101,257
SANTA ANA,estado nutricional,a normal,2013-08-01,184,143,105,109,89,93,378,345,723
SANTA CRUZ DE LA SIERRA,estado nutricional,a normal,2013-08-01,7870,7567,4108,3983,3750,3692,15728,15242,30970
SANTA ROSA,estado nutricional,a normal,2013-08-01,94,81,52,58,65,70,211,209,420
SANTA ROSA DEL SARA,estado nutricional,a normal,2013-08-01,120,120,103,98,57,79,280,297,577
SANTIAGO DE CALLAPA,estado nutricional,a normal,2013-08-01,31,26,18,26,5,6,54,58,112
SANTIAGO DE HUARI,estado nutricional,a normal,2013-08-01,59,74,64,80,82,69,205,223,428
SANTIAGO DE HUATA,estado nutricional,a normal,2013-08-01,46,33,29,45,35,39,110,117,227
SANTIAGO DE MACHACA,estado nutricional,a normal,2013-08-01,28,47,16,15,25,20,69,82,151
SANTIVAÑES,estado nutricional,a normal,2013-08-01,57,41,44,32,53,56,154,129,283
SANTUARIO DE QUILLACAS,estado nutricional,a normal,2013-08-01,30,29,32,34,30,36,92,99,191
SAPAHAQUI,estado nutricional,a normal,2013-08-01,40,40,49,41,46,42,135,123,258
SENA,estado nutricional,a normal,2013-08-01,52,55,37,56,38,39,127,150,277
SHINAOTA,estado nutricional,a normal,2013-08-01,377,287,196,193,253,244,826,724,1550
SICA SICA (VILLA AROMA),estado nutricional,a normal,2013-08-01,117,126,134,108,131,141,382,375,757
SICAYA,estado nutricional,a normal,2013-08-01,32,29,24,21,18,16,74,66,140
SIPE SIPE,estado nutricional,a normal,2013-08-01,528,483,327,334,280,271,1135,1088,2223
SOPACHUY,estado nutricional,a normal,2013-08-01,39,48,56,39,65,86,160,173,333
SORACACHI,estado nutricional,a normal,2013-08-01,103,101,115,111,132,144,350,356,706
SORATA,estado nutricional,a normal,2013-08-01,114,123,123,132,138,140,375,395,770
SUCRE,estado nutricional,a normal,2013-08-01,2812,2931,2580,2660,2725,2396,8117,7987,16104
TACACHI,estado nutricional,a normal,2013-08-01,9,6,4,14,2,6,15,26,41
TACACOMA,estado nutricional,a normal,2013-08-01,31,41,41,32,46,28,118,101,219
TACOBAMBA,estado nutricional,a normal,2013-08-01,86,82,58,66,59,72,203,220,423
TACOPAYA,estado nutricional,a normal,2013-08-01,62,71,56,60,48,64,166,195,361
TAHUA,estado nutricional,a normal,2013-08-01,10,12,3,6,7,14,20,32,52
TAPACARI,estado nutricional,a normal,2013-08-01,181,174,159,153,152,174,492,501,993
TARABUCO,estado nutricional,a normal,2013-08-01,98,115,97,92,147,135,342,342,684
TARACO,estado nutricional,a normal,2013-08-01,26,25,18,12,28,19,72,56,128
TARATA,estado nutricional,a normal,2013-08-01,110,105,75,82,75,66,260,253,513
TARIJA,estado nutricional,a normal,2013-08-01,1714,1536,1048,1022,1006,984,3768,3542,7310
TARVITA,estado nutricional,a normal,2013-08-01,113,86,86,100,164,148,363,334,697
TEOPONTE,estado nutricional,a normal,2013-08-01,81,95,101,100,97,89,279,284,563
TIAWANACU,estado nutricional,a normal,2013-08-01,85,82,54,63,58,64,197,209,406
TINGUIPAYA,estado nutricional,a normal,2013-08-01,138,137,108,103,92,74,338,314,652
TIPUANI,estado nutricional,a normal,2013-08-01,115,106,109,81,99,68,323,255,578
TIQUIPAYA,estado nutricional,a normal,2013-08-01,550,504,394,356,464,359,1408,1219,2627
TIRAQUE (CBBA),estado nutricional,a normal,2013-08-01,159,159,128,136,75,90,362,385,747
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a normal,2013-08-01,3,2,5,3,9,5,17,10,27
TOCO,estado nutricional,a normal,2013-08-01,69,44,36,37,56,50,161,131,292
TODOS SANTOS,estado nutricional,a normal,2013-08-01,1,3,1,0,1,0,3,3,6
TOLATA,estado nutricional,a normal,2013-08-01,17,12,13,9,28,30,58,51,109
TOLEDO,estado nutricional,a normal,2013-08-01,37,38,37,37,39,26,113,101,214
TOMAVE,estado nutricional,a normal,2013-08-01,87,105,86,84,91,90,264,279,543
TOMINA,estado nutricional,a normal,2013-08-01,67,62,55,64,194,147,316,273,589
TORO TORO,estado nutricional,a normal,2013-08-01,87,80,49,66,76,69,212,215,427
TOTORA(CBBA),estado nutricional,a normal,2013-08-01,196,166,158,113,94,111,448,390,838
TOTORA(ORR),estado nutricional,a normal,2013-08-01,50,36,36,30,35,38,121,104,225
TRIGAL,estado nutricional,a normal,2013-08-01,13,9,7,5,17,13,37,27,64
TRINIDAD,estado nutricional,a normal,2013-08-01,782,716,464,428,367,367,1613,1511,3124
TUPIZA,estado nutricional,a normal,2013-08-01,344,347,285,270,301,327,930,944,1874
TURCO,estado nutricional,a normal,2013-08-01,23,45,32,43,40,44,95,132,227
UMALA,estado nutricional,a normal,2013-08-01,41,43,56,62,51,60,148,165,313
UNCIA,estado nutricional,a normal,2013-08-01,185,179,124,138,98,95,407,412,819
URIONDO (A. CONCEPCION),estado nutricional,a normal,2013-08-01,153,127,119,128,138,149,410,404,814
URUBICHA,estado nutricional,a normal,2013-08-01,67,64,59,63,136,132,262,259,521
UYUNI,estado nutricional,a normal,2013-08-01,182,187,115,126,52,46,349,359,708
VACAS,estado nutricional,a normal,2013-08-01,67,51,46,53,87,75,200,179,379
VALLEGRANDE,estado nutricional,a normal,2013-08-01,116,116,113,108,104,100,333,324,657
VIACHA,estado nutricional,a normal,2013-08-01,499,403,267,288,260,250,1026,941,1967
VILA VILA,estado nutricional,a normal,2013-08-01,40,22,31,38,27,56,98,116,214
VILLA CHARCAS,estado nutricional,a normal,2013-08-01,131,120,93,100,131,136,355,356,711
VILLA MONTES,estado nutricional,a normal,2013-08-01,397,367,183,244,270,283,850,894,1744
VILLA NUEVA (LOMA ALTA),estado nutricional,a normal,2013-08-01,47,34,48,44,41,68,136,146,282
VILLA RIVERO,estado nutricional,a normal,2013-08-01,101,120,80,76,65,68,246,264,510
VILLA SERRANO,estado nutricional,a normal,2013-08-01,87,71,58,61,171,163,316,295,611
VILLA TUNARI,estado nutricional,a normal,2013-08-01,867,768,678,653,701,725,2246,2146,4392
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a normal,2013-08-01,97,74,73,59,112,124,282,257,539
VILLAZON,estado nutricional,a normal,2013-08-01,630,270,215,240,232,226,1077,736,1813
VINTO,estado nutricional,a normal,2013-08-01,328,293,232,205,113,93,673,591,1264
VITICHI,estado nutricional,a normal,2013-08-01,60,62,52,60,75,78,187,200,387
WALDO BALLIVIAN,estado nutricional,a normal,2013-08-01,23,11,16,9,14,11,53,31,84
WARNES,estado nutricional,a normal,2013-08-01,646,575,372,385,426,398,1444,1358,2802
YACO,estado nutricional,a normal,2013-08-01,58,55,47,42,38,51,143,148,291
YACUIBA,estado nutricional,a normal,2013-08-01,931,800,672,659,667,676,2270,2135,4405
YAMPARAEZ,estado nutricional,a normal,2013-08-01,53,46,38,40,73,82,164,168,332
YANACACHI,estado nutricional,a normal,2013-08-01,21,28,49,44,21,31,91,103,194
YAPACANI,estado nutricional,a normal,2013-08-01,511,465,345,335,268,260,1124,1060,2184
YOCALLA,estado nutricional,a normal,2013-08-01,81,79,63,57,80,65,224,201,425
YOTALA,estado nutricional,a normal,2013-08-01,48,48,61,57,121,107,230,212,442
YUNCHARA,estado nutricional,a normal,2013-08-01,34,33,34,47,86,76,154,156,310
YUNGUYO DE LITORAL,estado nutricional,a normal,2013-08-01,0,0,0,1,0,0,0,1,1
ZUDAÑEZ,estado nutricional,a normal,2013-08-01,54,52,42,38,87,92,183,182,365
ACACIO,estado nutricional,a normal,2013-09-01,41,37,38,46,49,55,128,138,266
ACHACACHI,estado nutricional,a normal,2013-09-01,225,219,180,143,186,176,591,538,1129
ACHOCALLA,estado nutricional,a normal,2013-09-01,79,77,60,59,58,59,197,195,392
AIQUILE,estado nutricional,a normal,2013-09-01,296,224,203,227,210,214,709,665,1374
ALALAY,estado nutricional,a normal,2013-09-01,26,21,22,14,13,15,61,50,111
ALCALA,estado nutricional,a normal,2013-09-01,23,22,23,25,51,49,97,96,193
ALTO BENI,estado nutricional,a normal,2013-09-01,93,77,88,74,75,63,256,214,470
ANCORAIMES,estado nutricional,a normal,2013-09-01,93,87,61,62,71,72,225,221,446
ANDAMARCA,estado nutricional,a normal,2013-09-01,25,44,19,25,45,65,89,134,223
ANTEQUERA,estado nutricional,a normal,2013-09-01,28,30,17,25,30,39,75,94,169
ANZALDO,estado nutricional,a normal,2013-09-01,27,30,30,36,27,33,84,99,183
APOLO,estado nutricional,a normal,2013-09-01,204,192,133,131,137,121,474,444,918
ARAMPAMPA,estado nutricional,a normal,2013-09-01,37,42,32,30,49,39,118,111,229
ARANI,estado nutricional,a normal,2013-09-01,105,118,82,74,72,58,259,250,509
ARBIETO,estado nutricional,a normal,2013-09-01,170,154,123,123,169,139,462,416,878
ARQUE,estado nutricional,a normal,2013-09-01,116,116,111,103,131,107,358,326,684
ASCENCION DE GUARAYOS,estado nutricional,a normal,2013-09-01,238,266,129,120,98,115,465,501,966
ATOCHA,estado nutricional,a normal,2013-09-01,103,113,88,87,110,105,301,305,606
AUCAPATA,estado nutricional,a normal,2013-09-01,39,37,20,35,12,22,71,94,165
AYATA,estado nutricional,a normal,2013-09-01,58,51,33,40,24,22,115,113,228
AYO AYO,estado nutricional,a normal,2013-09-01,45,56,41,64,34,32,120,152,272
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-09-01,229,234,168,164,246,226,643,624,1267
AZURDUY,estado nutricional,a normal,2013-09-01,80,78,83,82,138,149,301,309,610
BATALLAS,estado nutricional,a normal,2013-09-01,97,95,81,97,82,74,260,266,526
BAURES,estado nutricional,a normal,2013-09-01,45,51,29,35,56,38,130,124,254
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-09-01,15,15,31,16,16,14,62,45,107
BELEN DE URMIRI,estado nutricional,a normal,2013-09-01,9,15,6,8,8,6,23,29,52
BELLA FLOR,estado nutricional,a normal,2013-09-01,17,24,26,17,34,46,77,87,164
BERMEJO,estado nutricional,a normal,2013-09-01,377,336,243,256,265,271,885,863,1748
BETANZOS,estado nutricional,a normal,2013-09-01,226,248,180,184,222,249,628,681,1309
BOLIVAR,estado nutricional,a normal,2013-09-01,46,51,40,29,43,41,129,121,250
BOLPEBRA,estado nutricional,a normal,2013-09-01,27,19,18,14,26,31,71,64,135
BOYUIBE,estado nutricional,a normal,2013-09-01,21,19,15,14,18,22,54,55,109
BUENA VISTA,estado nutricional,a normal,2013-09-01,89,100,103,98,145,134,337,332,669
CABEZAS,estado nutricional,a normal,2013-09-01,165,141,119,115,152,131,436,387,823
CAIROMA,estado nutricional,a normal,2013-09-01,53,68,63,63,68,76,184,207,391
"CAIZA ""D""",estado nutricional,a normal,2013-09-01,70,66,59,62,74,76,203,204,407
CAJUATA,estado nutricional,a normal,2013-09-01,101,89,73,87,87,81,261,257,518
CALACOTO,estado nutricional,a normal,2013-09-01,28,28,31,28,30,33,89,89,178
CALAMARCA,estado nutricional,a normal,2013-09-01,79,84,55,78,72,70,206,232,438
CAMARGO,estado nutricional,a normal,2013-09-01,119,113,86,95,112,98,317,306,623
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-09-01,20,18,24,18,39,35,83,71,154
CAMIRI,estado nutricional,a normal,2013-09-01,287,311,225,208,267,232,779,751,1530
CAPINOTA,estado nutricional,a normal,2013-09-01,60,64,72,67,59,65,191,196,387
CAQUIAVIRI,estado nutricional,a normal,2013-09-01,68,64,54,44,45,45,167,153,320
CARACOLLO,estado nutricional,a normal,2013-09-01,179,133,114,128,143,135,436,396,832
CARANAVI,estado nutricional,a normal,2013-09-01,385,383,231,231,207,234,823,848,1671
CARANGAS,estado nutricional,a normal,2013-09-01,1,0,1,1,3,1,5,2,7
CARAPARI,estado nutricional,a normal,2013-09-01,140,130,105,115,142,117,387,362,749
CARIPUYO,estado nutricional,a normal,2013-09-01,84,72,40,57,50,58,174,187,361
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-09-01,37,52,28,32,49,34,114,118,232
CATACORA,estado nutricional,a normal,2013-09-01,3,1,2,4,9,5,14,10,24
CHACARILLA,estado nutricional,a normal,2013-09-01,3,0,11,3,7,7,21,10,31
CHALLAPATA,estado nutricional,a normal,2013-09-01,373,329,197,248,335,318,905,895,1800
CHAQUI,estado nutricional,a normal,2013-09-01,49,65,33,36,22,24,104,125,229
CHARAGUA,estado nutricional,a normal,2013-09-01,261,260,161,178,210,210,632,648,1280
CHARAÑA,estado nutricional,a normal,2013-09-01,12,9,9,8,11,7,32,24,56
CHAYANTA,estado nutricional,a normal,2013-09-01,80,110,72,79,90,96,242,285,527
CHIMORE,estado nutricional,a normal,2013-09-01,287,218,200,184,202,206,689,608,1297
CHIPAYA,estado nutricional,a normal,2013-09-01,22,18,14,14,11,15,47,47,94
CHOQUE COTA,estado nutricional,a normal,2013-09-01,8,9,8,10,18,7,34,26,60
CHUA COCANI,estado nutricional,a normal,2013-09-01,9,10,14,10,20,16,43,36,79
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-09-01,108,84,72,83,73,76,253,243,496
CHUMA,estado nutricional,a normal,2013-09-01,71,75,63,45,62,52,196,172,368
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-09-01,66,49,35,41,39,41,140,131,271
CKOCHAS,estado nutricional,a normal,2013-09-01,125,116,100,95,108,86,333,297,630
CLIZA,estado nutricional,a normal,2013-09-01,200,187,116,102,107,128,423,417,840
COBIJA,estado nutricional,a normal,2013-09-01,543,536,267,285,283,293,1093,1114,2207
COCAPATA,estado nutricional,a normal,2013-09-01,161,181,104,115,136,122,401,418,819
COCHABAMBA,estado nutricional,a normal,2013-09-01,3999,3476,2587,2268,2277,1993,8863,7737,16600
COIPASA,estado nutricional,a normal,2013-09-01,9,4,6,6,6,9,21,19,40
COLCAPIRHUA,estado nutricional,a normal,2013-09-01,332,287,227,192,206,186,765,665,1430
"COLCHA ""K""",estado nutricional,a normal,2013-09-01,123,128,96,104,78,98,297,330,627
COLLANA,estado nutricional,a normal,2013-09-01,15,14,16,15,25,15,56,44,100
COLOMI,estado nutricional,a normal,2013-09-01,203,179,118,126,95,83,416,388,804
COLPA BELGICA,estado nutricional,a normal,2013-09-01,3,2,0,0,0,0,3,2,5
COLQUECHACA,estado nutricional,a normal,2013-09-01,289,285,207,199,90,91,586,575,1161
COLQUENCHA,estado nutricional,a normal,2013-09-01,54,57,45,51,52,51,151,159,310
COLQUIRI,estado nutricional,a normal,2013-09-01,159,150,94,84,62,74,315,308,623
COMANCHE,estado nutricional,a normal,2013-09-01,25,14,21,8,6,11,52,33,85
COMARAPA,estado nutricional,a normal,2013-09-01,135,118,112,118,84,98,331,334,665
COMBAYA,estado nutricional,a normal,2013-09-01,20,14,19,11,38,26,77,51,128
CONCEPCION,estado nutricional,a normal,2013-09-01,146,154,92,118,125,158,363,430,793
COPACABANA,estado nutricional,a normal,2013-09-01,84,65,51,60,50,65,185,190,375
CORIPATA,estado nutricional,a normal,2013-09-01,156,133,102,100,105,101,363,334,697
CORO CORO,estado nutricional,a normal,2013-09-01,44,47,33,23,38,45,115,115,230
COROICO,estado nutricional,a normal,2013-09-01,128,120,102,93,167,143,397,356,753
CORQUE,estado nutricional,a normal,2013-09-01,70,44,45,38,70,52,185,134,319
COTAGAITA,estado nutricional,a normal,2013-09-01,197,158,157,131,163,182,517,471,988
COTOCA,estado nutricional,a normal,2013-09-01,439,402,248,208,193,175,880,785,1665
CRUZ DE MACHACAMARCA,estado nutricional,a normal,2013-09-01,2,3,2,1,2,1,6,5,11
CUATRO CAÑADAS,estado nutricional,a normal,2013-09-01,224,277,180,172,262,241,666,690,1356
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a normal,2013-09-01,11,12,9,11,9,10,29,33,62
CUEVO,estado nutricional,a normal,2013-09-01,22,14,16,36,39,31,77,81,158
CULPINA,estado nutricional,a normal,2013-09-01,153,149,112,121,159,184,424,454,878
CURAHUARA DE CARANGAS,estado nutricional,a normal,2013-09-01,36,53,44,34,46,49,126,136,262
CURVA,estado nutricional,a normal,2013-09-01,25,22,8,27,12,14,45,63,108
DESAGUADERO,estado nutricional,a normal,2013-09-01,20,38,23,25,20,21,63,84,147
EL ALTO,estado nutricional,a normal,2013-09-01,5290,5189,3752,3737,4029,3773,13071,12699,25770
EL CHORO,estado nutricional,a normal,2013-09-01,70,59,50,42,63,67,183,168,351
EL PUENTE(STC),estado nutricional,a normal,2013-09-01,98,73,70,72,61,54,229,199,428
EL PUENTE(TJA),estado nutricional,a normal,2013-09-01,91,77,67,63,95,87,253,227,480
EL TORNO,estado nutricional,a normal,2013-09-01,370,329,228,237,219,224,817,790,1607
EL VILLAR,estado nutricional,a normal,2013-09-01,31,33,28,25,57,55,116,113,229
ENTRE RIOS TRJ,estado nutricional,a normal,2013-09-01,215,213,184,184,164,188,563,585,1148
ENTRE RIOS CBBA,estado nutricional,a normal,2013-09-01,369,322,295,239,208,210,872,771,1643
ESCARA,estado nutricional,a normal,2013-09-01,3,10,3,1,4,2,10,13,23
ESCOMA,estado nutricional,a normal,2013-09-01,25,28,18,33,33,34,76,95,171
ESMERALDA,estado nutricional,a normal,2013-09-01,3,5,2,4,4,6,9,15,24
EUCALIPTUS,estado nutricional,a normal,2013-09-01,56,42,62,47,48,33,166,122,288
EUREKA (SANTOS MERCADO),estado nutricional,a normal,2013-09-01,13,12,17,18,25,16,55,46,101
EXALTACION,estado nutricional,a normal,2013-09-01,21,19,14,9,7,13,42,41,83
FERNANDEZ ALONSO,estado nutricional,a normal,2013-09-01,139,130,103,118,176,147,418,395,813
FILADELFIA,estado nutricional,a normal,2013-09-01,47,51,63,42,53,49,163,142,305
GENERAL SAAVEDRA,estado nutricional,a normal,2013-09-01,136,114,83,97,109,103,328,314,642
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a normal,2013-09-01,93,81,44,52,48,47,185,180,365
GUANAY,estado nutricional,a normal,2013-09-01,107,108,76,109,93,98,276,315,591
GUAQUI,estado nutricional,a normal,2013-09-01,42,45,36,38,40,56,118,139,257
GUAYARAMERIN,estado nutricional,a normal,2013-09-01,533,544,376,350,340,369,1249,1263,2512
GUTIERREZ,estado nutricional,a normal,2013-09-01,128,157,133,142,217,181,478,480,958
HUACARETA,estado nutricional,a normal,2013-09-01,74,74,63,70,108,111,245,255,500
HUACAYA (VILLA DE HUACAYA),estado nutricional,a normal,2013-09-01,33,33,15,22,43,31,91,86,177
HUACHACALLA,estado nutricional,a normal,2013-09-01,7,15,3,8,14,12,24,35,59
HUANUNI,estado nutricional,a normal,2013-09-01,211,213,135,129,141,127,487,469,956
HUARACAJE,estado nutricional,a normal,2013-09-01,32,27,21,22,33,34,86,83,169
HUARINA,estado nutricional,a normal,2013-09-01,34,37,27,35,18,13,79,85,164
HUATAJATA,estado nutricional,a normal,2013-09-01,14,25,10,21,21,27,45,73,118
HUAYLLAMARCA,estado nutricional,a normal,2013-09-01,49,35,17,22,48,39,114,96,210
HUMANATA,estado nutricional,a normal,2013-09-01,18,15,16,12,10,3,44,30,74
ICHOCA,estado nutricional,a normal,2013-09-01,21,31,27,20,37,29,85,80,165
ICLA,estado nutricional,a normal,2013-09-01,62,54,50,52,91,113,203,219,422
INCAHUASI,estado nutricional,a normal,2013-09-01,89,96,63,70,107,103,259,269,528
INGAVI (HUMAITA),estado nutricional,a normal,2013-09-01,10,20,26,17,22,36,58,73,131
INQUISIVI,estado nutricional,a normal,2013-09-01,72,66,65,76,45,51,182,193,375
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-09-01,62,56,51,49,76,87,189,192,381
IXIAMAS,estado nutricional,a normal,2013-09-01,74,70,61,65,68,84,203,219,422
JESUS DE MACHACA,estado nutricional,a normal,2013-09-01,73,86,59,64,68,94,200,244,444
LA ASUNTA,estado nutricional,a normal,2013-09-01,434,427,364,293,280,252,1078,972,2050
LA GUARDIA,estado nutricional,a normal,2013-09-01,686,647,310,300,287,275,1283,1222,2505
LA PAZ,estado nutricional,a normal,2013-09-01,4471,4155,2845,2827,3876,3611,11192,10593,21785
LA RIVERA,estado nutricional,a normal,2013-09-01,1,4,4,2,1,2,6,8,14
LAGUNILLAS,estado nutricional,a normal,2013-09-01,57,68,44,54,90,83,191,205,396
LAJA,estado nutricional,a normal,2013-09-01,104,100,88,71,61,73,253,244,497
LAS CARRERAS,estado nutricional,a normal,2013-09-01,30,22,27,31,41,35,98,88,186
LICOMA PAMPA,estado nutricional,a normal,2013-09-01,11,15,24,17,15,13,50,45,95
LLALLAGUA,estado nutricional,a normal,2013-09-01,402,359,400,365,521,501,1323,1225,2548
LLICA,estado nutricional,a normal,2013-09-01,31,32,24,19,13,11,68,62,130
