,group,variable,month,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,0,1,3,5
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,1,0,1,3
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,0,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,3,5,2,10
SENA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,3,1,2,0,6
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,4,9,7,3,23
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,8,6,4,5,23
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,9,15,6,21,51
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,1,2
SORATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,3,0,1,1,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,49,54,51,40,194
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,2,1,4,7
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,1,1,1,4
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,1,2,7,10
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,4,1,2,0,7
TARABUCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,3,6,5,5,19
TARATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,0,3,5,9
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,24,29,4,3,60
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,7,5,0,2,14
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,0,1,1,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,0,4,3,8
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,10,11,9,12,42
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,3,4,2,0,9
TOCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,2,0,1,3
TOLATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,1,2
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,2,2,1,0,5
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,3,6,5,9,23
TOMINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,1,1,1,4
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,1,2,1,5
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,0,2,4,6
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,30,27,30,30,117
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,5,6,2,1,14
UMALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,6,2,0,0,8
UNCIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,4,4
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,3,2,0,0,5
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,5,3,0,0,8
VACAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,4,1,3,2,10
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,6,5,3,6,20
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,1,2,2,5
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,2,3,7,12
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,4,5,3,3,15
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,0,1,5,4,10
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,3,0,0,4
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,27,27,14,11,79
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,1,1,0,3
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,78,62,39,38,217
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,6,6,4,0,16
VITICHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,8,14,1,1,24
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,28,19,1,0,48
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,5,3,0,3,11
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,25,22,9,16,72
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-08-01,1,4,0,0,5
ACACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,0,7,8,18
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,2,1,4,10
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,1,1,3
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,0,2,2,6
ALALAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,3,1,4
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,4,1,0,5
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,0,1,2,5
ANZALDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,2,4,6
APOLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,3,4,7
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,5,4,5,10,24
ARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,2,0,2,5
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,2,1,2,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,6,6,0,0,12
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,6,4,0,3,13
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,1,2
AYATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,6,1,4,3,14
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,1,2
BAURES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,0,0,0,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,2,0,4
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,7,26,17,54
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,0,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,0,1,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,6,0,13,6,25
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,7,8,0,0,15
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,5,0,0,1,6
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,3,0,3
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,9,7,0,0,16
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,6,1,3,0,10
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,1,0,0,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,6,5,13
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,16,4,2,4,26
CATACORA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,14,7,19,16,56
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,3,5,6,18
CHARAÑA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,1,0,2
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,8,12,40,31,91
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,7,4,1,3,15
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,0,0,0,3
CHUMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,2,0,1,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,6,8,14
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,10,10,10,15,45
CLIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,3,4,1,9
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,17,16,31,30,94
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,2,2,2,7
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,92,103,63,37,295
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,9,9,7,15,40
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,8,7,1,0,16
COLLANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,2,1,1,4
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,2,0,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,9,8,33,24,74
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,2,1,2,8
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,0,0,2
COMBAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,1,1,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,3,1,4
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,1,1,2,6
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,2,3,0,8
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,12,15,0,2,29
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,1,3,8,15
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,1,1,0,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,1,2
CURVA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,122,131,184,175,612
EL CHORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,4,3,1,10
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,2,2,4,8
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,12,11,4,4,31
EL VILLAR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,4,0,0,7
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,1,1,3
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,0,0,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,1,0,0,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,0,1,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,2,3
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,9,3,4,19
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,5,3,2,12
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,4,3,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,0,1,1
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,4,18,16,42
HUARINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,2,0,0,3
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,2,0,3
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,3,1,1,7
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,2,1,2,5
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,1,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,2,1,0,4
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,4,0,1,7
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,6,0,3,12
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,8,4,1,15
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,24,32,8,8,72
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,135,146,12,14,307
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,2,3
LAJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,2,1,4
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,22,15,59,59,155
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,3,0,0,3
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,1,2,5
MACHARETI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,3,0,5
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,3,0,0,4
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,0,0,1,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,1,0,1,6
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,3,0,0,3
MINEROS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,1,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,4,7,4,19
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,0,1
MOJINETE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,2,2,4
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,4,1,0,5
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,18,13,4,4,39
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,3,3,0,2,8
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,5,1,0,0,6
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,0,0,2,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,61,41,98,101,301
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,5,1,1,9
PADILLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,4,4,5,14
PALCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,2,1,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,6,6,2,0,14
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,4,0,0,0,4
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,1,0,1,3
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,3,1,1,5
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,1,0,2,0,3
POCOATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,2,41,65,110
POCONA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,0,1,1,0,2
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-09-01,2,2,4,3,11
