,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,9,2,9,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,15,13,15,13,28
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,5,12,5,17
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,6,0,6,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1506,99,1506,99,1605
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,7,0,7,7
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,35,4,35,4,39
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,29,14,29,43
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,88,21,88,21,109
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,4,3,4,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,29,33,29,33,62
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,102,33,102,33,135
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,5,2,5,7
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,3,0,3,3
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,2,4,2,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,1,2,1,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,38,1,38,39
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,14,0,14,14
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,17,15,17,15,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,21,9,21,30
GUANAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,22,10,22,32
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,6,2,6,8
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,64,83,64,83,147
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,13,38,13,38,51
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,4,19,4,23
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,7,1,7,8
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,49,20,49,20,69
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,4,1,4,5
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,7,4,7,11
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,6,3,6,9
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,4,1,4,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,6,0,6,6
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,12,9,12,21
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,17,14,17,14,31
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,11,9,11,20
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,16,15,16,15,31
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,16,14,16,30
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,7,4,7,11
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,38,17,38,17,55
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,195,48,195,48,243
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1340,54,1340,54,1394
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,21,0,21,21
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,16,10,16,10,26
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,3,3,3,6
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,3,1,3,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,64,18,64,82
LLICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,0,5,0,5
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,0,9,0,9
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,17,4,17,21
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,7,7,7,14
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,9,4,9,13
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,25,9,25,34
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,24,9,24,9,33
MALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,11,6,11,6,17
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,21,12,21,33
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,47,30,47,30,77
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,17,72,17,72,89
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,5,21,5,26
MOJINETE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,0,2,0,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,7,6,7,13
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,29,31,29,31,60
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,284,33,284,33,317
MORO MORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,3,3,3,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,11,0,11,11
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,1,4,1,5
OCURI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,15,45,15,45,60
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,91,10,91,10,101
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,16,3,16,19
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,636,60,636,60,696
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,11,26,11,26,37
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,8,14,8,22
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,74,18,74,92
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,26,10,26,36
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,40,21,40,61
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,9,3,9,12
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,1,10,1,11
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,8,0,8,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,6,1,6,7
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,33,0,33,0,33
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,12,4,12,16
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,12,7,12,19
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,11,49,11,49,60
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,33,1,33,34
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,5,19,5,24
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,5,12,5,17
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,29,18,29,47
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,19,10,19,29
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,17,4,17,21
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,53,5,53,5,58
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,16,3,16,19
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,376,10,376,10,386
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,24,6,24,30
PUCARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,3,2,3,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,28,30,28,30,58
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,15,12,15,12,27
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,20,10,20,30
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,3,5,3,8
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,8,5,8,5,13
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,20,31,20,31,51
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,13,9,13,22
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,15,14,15,29
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,75,19,75,19,94
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,25,19,25,19,44
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,54,6,54,6,60
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,11,0,11,11
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,253,9,253,9,262
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,12,2,12,14
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,1,2,1,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,20,12,20,32
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,15,2,15,2,17
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,157,130,157,130,287
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,31,5,31,5,36
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,27,23,27,23,50
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,232,42,232,42,274
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,2,12,2,14
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,30,48,30,48,78
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,8,0,8,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,8,19,8,19,27
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,12,5,12,17
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,10,2,10,12
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,8,10,8,10,18
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,1,4,1,5
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,3,6,3,9
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,9,3,9,12
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,11,5,11,16
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,39,32,39,32,71
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,13,3,13,3,16
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,30,16,30,16,46
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,44,28,44,28,72
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,117,28,117,28,145
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,0,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,29,13,29,13,42
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,30,4,30,4,34
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,26,18,26,44
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,50,63,50,63,113
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,31,2,31,33
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,22,15,22,15,37
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,27,18,27,45
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,11,19,11,30
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,14,19,14,33
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,2,10,2,12
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,45,17,45,17,62
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,35,50,35,50,85
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,7,0,7,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,9,4,9,13
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,10,4,10,14
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,14,3,14,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,17,9,17,9,26
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,47,2,47,2,49
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2742,85,2742,85,2827
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,0,6,0,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,20,33,20,33,53
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,8,3,8,11
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,22,3,22,25
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,10,4,10,14
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,7,3,7,10
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,9,2,9,11
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,7,0,7,7
SENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,4,7,4,11
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,37,24,37,24,61
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,27,7,27,34
SICAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,8,0,8,8
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,81,13,81,13,94
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,10,4,10,14
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,15,14,15,29
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,23,23,23,23,46
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,622,54,622,54,676
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,16,8,16,8,24
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,21,5,21,26
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,4,3,4,7
TAHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,0,5,0,5
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,25,21,25,46
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,13,21,13,21,34
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,1,4,1,5
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,1,9,1,10
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,318,19,318,19,337
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,15,19,15,34
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,7,3,7,10
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,10,7,10,17
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,20,24,20,24,44
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,2,7,2,9
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,90,54,90,54,144
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,34,44,34,44,78
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,2,1,2,3
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,13,4,13,17
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,0,2,0,2
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,4,9,4,13
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,11,5,11,16
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,9,6,9,15
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,6,7,6,13
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,14,2,14,16
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,16,6,16,6,22
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,4,6,4,10
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,242,225,242,225,467
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,48,19,48,19,67
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,5,2,5,7
UMALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,19,6,19,25
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,24,37,24,37,61
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,32,14,32,46
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,4,12,4,16
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,41,3,41,3,44
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,26,2,26,28
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,36,2,36,2,38
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,131,27,131,27,158
