,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
SAN RAMON BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,5,33,38,37,43,80
SAN RAMON SCZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,22,20,36,71,58,91,149
SANTA ANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,96,93,106,109,202,202,404
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3133,2776,6689,6010,9822,8786,18608
SANTA ROSA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,7,88,81,93,88,181
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,15,15,89,121,104,136,240
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,1,19,12,21,13,34
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,14,60,71,68,85,153
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,4,47,47,50,51,101
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,4,20,30,21,34,55
SANTIVAÑES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,4,77,63,80,67,147
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,3,26,33,27,36,63
SAPAHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,3,72,73,81,76,157
SENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,6,70,63,78,69,147
SHINAOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,32,40,334,318,366,358,724
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,22,27,189,151,211,178,389
SICAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,5,45,37,47,42,89
SIPE SIPE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,73,52,545,417,618,469,1087
SOPACHUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,4,61,47,64,51,115
SORACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,12,79,88,91,100,191
SORATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,11,153,120,169,131,300
SUCRE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,394,340,2611,2537,3005,2877,5882
TACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,1,9,5,13,6,19
TACACOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,15,13,43,25,58,38,96
TACOBAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,11,12,62,91,73,103,176
TACOPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,7,69,65,73,72,145
TAHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,1,9,8,9,9,18
TAPACARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,27,23,216,216,243,239,482
TARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,7,105,107,114,114,228
TARACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,3,22,20,26,23,49
TARATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,13,97,77,114,90,204
TARIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,608,464,1489,1358,2097,1822,3919
TARVITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,13,107,102,115,115,230
TEOPONTE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,9,147,111,157,120,277
TIAWANACU,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,7,101,105,109,112,221
TINGUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,50,33,161,122,211,155,366
TIPUANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,11,112,112,128,123,251
TIQUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,105,71,534,471,639,542,1181
TIRAQUE (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,29,156,177,174,206,380
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,8,3,8,3,11
TOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,2,52,32,62,34,96
TODOS SANTOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,1,0,1,0,1
TOLATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,10,77,65,87,75,162
TOLEDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,3,43,39,47,42,89
TOMAVE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,8,101,109,111,117,228
TOMINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,11,9,61,68,72,77,149
TORO TORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,15,15,107,79,122,94,216
TOTORA(CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,31,37,149,118,180,155,335
TOTORA(ORR),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,7,44,41,49,48,97
TRIGAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,8,5,9,6,15
TRINIDAD,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,388,367,680,658,1068,1025,2093
TUPIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,39,35,355,377,394,412,806
TURCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,2,49,18,50,20,70
UMALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,6,55,63,63,69,132
UNCIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,24,21,131,151,155,172,327
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,59,58,116,248,175,306,481
URUBICHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,6,72,71,77,77,154
UYUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,25,27,192,169,217,196,413
VACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,14,56,47,66,61,127
VALLEGRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,21,14,139,98,160,112,272
VIACHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,80,68,589,515,669,583,1252
VILA VILA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,7,40,36,45,43,88
VILLA CHARCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,30,18,116,118,146,136,282
VILLA MONTES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,49,45,325,329,374,374,748
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,47,29,48,30,78
VILLA RIVERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,37,17,112,83,149,100,249
VILLA SERRANO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,10,54,70,63,80,143
VILLA TUNARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,108,109,923,918,1031,1027,2058
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,8,83,67,93,75,168
VILLAZON,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,43,31,253,296,296,327,623
VINTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,108,48,311,274,419,322,741
VITICHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,7,83,57,86,64,150
WALDO BALLIVIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,1,17,11,20,12,32
WARNES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,141,170,686,685,827,855,1682
YACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,9,49,67,58,76,134
YACUIBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,235,229,658,646,893,875,1768
YAMPARAEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,5,55,36,63,41,104
YANACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,62,53,65,55,120
YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,58,76,473,483,531,559,1090
YOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,13,73,65,83,78,161
YOTALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,6,57,45,60,51,111
YUNCHARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,4,43,30,45,34,79
YUNGUYO DE LITORAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,0,1,0,1,1
ZUDAÑEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,6,60,53,67,59,126
ACACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,3,3,29,37,32,40,72
ACHACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,44,45,249,218,293,263,556
ACHOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,7,9,123,116,130,125,255
AIQUILE,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,34,30,240,215,274,245,519
ALALAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,4,3,19,20,23,23,46
ALCALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,1,25,21,30,22,52
ALTO BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,3,8,83,84,86,92,178
ANCORAIMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,5,92,83,97,88,185
ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,3,2,33,24,36,26,62
ANTEQUERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,2,0,27,30,29,30,59
ANZALDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,4,7,40,41,44,48,92
APOLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,10,11,172,157,182,168,350
ARAMPAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,4,26,22,31,26,57
ARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,13,14,99,79,112,93,205
ARBIETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,14,15,202,163,216,178,394
ARQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,37,5,124,125,161,130,291
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,45,48,286,235,331,283,614
ATOCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,12,9,107,86,119,95,214
AUCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1,4,49,48,50,52,102
AYATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,8,3,64,59,72,62,134
AYO AYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,4,3,25,56,29,59,88
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,22,16,256,238,278,254,532
AZURDUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,10,9,94,73,104,82,186
BATALLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,10,7,142,116,152,123,275
BAURES,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,4,48,36,53,40,93
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1,0,16,10,17,10,27
BELEN DE URMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,0,0,13,11,13,11,24
BELLA FLOR,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1,2,28,21,29,23,52
BERMEJO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,218,198,164,141,382,339,721
BETANZOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,30,29,269,239,299,268,567
BOLIVAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,7,6,41,47,48,53,101
BOLPEBRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,2,0,18,17,20,17,37
BOYUIBE,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,10,6,25,33,35,39,74
BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,7,13,97,99,104,112,216
CABEZAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,18,16,199,180,217,196,413
CAIROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,16,17,57,49,73,66,139
"CAIZA ""D""",control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,8,5,75,65,83,70,153
CAJUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,9,19,97,96,106,115,221
CALACOTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,4,5,29,33,33,38,71
CALAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,8,7,91,85,99,92,191
CAMARGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,11,10,120,121,131,131,262
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,0,26,22,31,22,53
CAMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,52,38,272,257,324,295,619
CAPINOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,24,26,254,212,278,238,516
CAQUIAVIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,8,93,63,98,71,169
CARACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,11,15,181,159,192,174,366
CARANAVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,99,95,285,322,384,417,801
CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,0,0,1,1,1,1,2
CARAPARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,9,13,173,125,182,138,320
CARIPUYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,8,9,54,55,62,64,126
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,10,7,17,18,27,25,52
CATACORA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1,0,4,8,5,8,13
CHACARILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1,0,14,12,15,12,27
CHALLAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,54,43,261,235,315,278,593
CHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,7,6,67,57,74,63,137
CHARAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,28,27,216,230,244,257,501
CHARAÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,3,0,15,11,18,11,29
CHAYANTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,14,11,119,110,133,121,254
CHIMORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,94,77,246,238,340,315,655
CHIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,3,2,17,5,20,7,27
CHOQUE COTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,0,0,6,9,6,9,15
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,2,1,14,29,16,30,46
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,14,12,100,98,114,110,224
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,17,13,58,76,75,89,164
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,13,7,59,55,72,62,134
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,15,17,112,120,127,137,264
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,79,63,157,130,236,193,429
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,83,69,594,531,677,600,1277
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,26,22,181,144,207,166,373
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1283,1174,3224,3050,4507,4224,8731
COIPASA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,1,1,9,8,10,9,19
COLCAPIRHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,71,60,326,260,397,320,717
"COLCHA ""K""",control de crecimiento infantil, control del nino menor de 1 ano,2014-09-01,5,10,172,135,177,145,322
