municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
VILLAZON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,1026,1026
VINTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,60,60
VITICHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,92,92
WARNES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,264,264
YACO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,50,50
YACUIBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,47,47
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,204,204
YANACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,87,87
YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,547,547
YOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,40,40
YOTALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,196,196
YUNCHARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,9,9
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-07-01,25,25
ACACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,70,70
ACHACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,142,142
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,107,107
AIQUILE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,159,159
ALCALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,11,11
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,227,227
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,54,54
ANZALDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,158,158
APOLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,6,6
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,15,15
ARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,15,15
ARBIETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,113,113
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,57,57
ATOCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,152,152
AYATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,7,7
AYO AYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,20,20
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,208,208
AZURDUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,25,25
BAURES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,116,116
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,8,8
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,62,62
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,58,58
BERMEJO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,59,59
BETANZOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,320,320
BOLIVAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,15,15
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,19,19
BOYUIBE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,130,130
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,69,69
CABEZAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,80,80
CAIROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,10,10
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,39,39
CALAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,96,96
CAMARGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,258,258
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,8,8
CAMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,265,265
CAPINOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,111,111
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,266,266
CARANAVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,175,175
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,128,128
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,102,102
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,29,29
CATACORA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,10,10
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,29,29
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,251,251
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,160,160
CHARAÑA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,97,97
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,81,81
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,104,104
CHUA COCANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,120,120
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,11,11
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,203,203
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,20,20
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,182,182
CLIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,181,181
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,115,115
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,17,17
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,286,286
COIPASA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,32,32
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,235,235
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,196,196
COLLANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,87,87
COLOMI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,11,11
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,34,34
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,69,69
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,35,35
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,63,63
COMANCHE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,53,53
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,139,139
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,37,37
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,8,8
CORIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,64,64
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,44,44
COROICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,48,48
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,120,120
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,195,195
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,73,73
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,90,90
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,42,42
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,67,67
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,58,58
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,30,30
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,30,30
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,2282,2282
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,105,105
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,92,92
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,169,169
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-08-01,251,251
