municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,69,69
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,18,18
RAVELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,76,76
REYES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,97,97
RIBERALTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,1072,1072
ROBORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,7,7
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,65,65
SACABA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,1185,1185
SACABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,147,147
SACACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,54,54
SAIPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,103,103
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,47,47
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,8,8
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,12,12
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,45,45
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,4,4
SAN BENITO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,16,16
SAN BORJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,88,88
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,60,60
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,68,68
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,25,25
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,29,29
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,25,25
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,9,9
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,4,4
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,74,74
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,157,157
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,12,12
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,212,212
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,12,12
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,19,19
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,20,20
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,24,24
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,7,7
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,3,3
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,78,78
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,110,110
SAN RAFAEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,20,20
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,111,111
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,4,4
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,42,42
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,95,95
SANTIVAÑES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,270,270
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,25,25
SHINAOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,18,18
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,121,121
SICAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,180,180
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,272,272
SOPACHUY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,54,54
SORACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,70,70
SORATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,14,14
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,1032,1032
TACACOMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,30,30
TACOPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,130,130
TAHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,10,10
TARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,325,325
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,47,47
TARATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,191,191
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,2324,2324
TARVITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,317,317
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,82,82
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,182,182
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,180,180
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,274,274
TOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,10,10
TOMINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,398,398
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,40,40
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,17,17
TRIGAL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,7,7
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,237,237
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,122,122
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,9,9
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,83,83
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,1,1
VACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,86,86
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,114,114
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,161,161
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,91,91
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,91,91
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,22,22
VILLA RIVERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,86,86
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,57,57
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,109,109
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,180,180
VILLAZON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,169,169
VINTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,86,86
VITICHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,40,40
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,250,250
YACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,80,80
YACUIBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,370,370
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,92,92
YANACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,79,79
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,457,457
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,26,26
YOTALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,35,35
YUNCHARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,58,58
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-09-01,109,109
ACACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,19,19
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,90,90
