,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,3,2,5
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,2,3
PASORAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,6,6
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,3,0,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,26,6,32
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,2,1,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,6,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,6,4,10
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,7,11,18
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
REYES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,15,0,15
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,2,2
SABAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,6,6
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,10,0,10
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,6,6
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,296,296
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,2,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,9,0,9
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,5,0,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,2,3,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,3,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,180,41,221
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,2,2,4
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,2,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,18,4,22
TARABUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,7,2,9
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,1,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,7,11,18
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,5,5
TOLATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,5,0,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,15,7,22
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,3,1,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,2,0,2
VILA VILA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,8,1,9
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,3,1,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,3,1,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,1,4,5
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-12-01,0,1,1
