,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
SAN AGUSTIN,consultas prenatales, repetidas,2014-07-01,6,1,7
SAN ANDRES,consultas prenatales, repetidas,2014-07-01,38,2,40
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-07-01,8,2,10
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-07-01,10,0,10
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-07-01,20,17,37
SAN BENITO,consultas prenatales, repetidas,2014-07-01,77,0,77
SAN BORJA,consultas prenatales, repetidas,2014-07-01,298,1,299
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-07-01,88,0,88
SAN CARLOS,consultas prenatales, repetidas,2014-07-01,136,0,136
SAN IGNACIO,consultas prenatales, repetidas,2014-07-01,114,0,114
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-07-01,330,18,348
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-07-01,9,0,9
SAN JAVIER(STC),consultas prenatales, repetidas,2014-07-01,128,0,128
SAN JOAQUIN,consultas prenatales, repetidas,2014-07-01,29,0,29
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-07-01,128,1,129
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-07-01,54,1,55
SAN JULIAN,consultas prenatales, repetidas,2014-07-01,393,8,401
SAN LORENZO(PND),consultas prenatales, repetidas,2014-07-01,25,8,33
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-07-01,148,7,155
SAN LUCAS,consultas prenatales, repetidas,2014-07-01,176,61,237
SAN MATIAS,consultas prenatales, repetidas,2014-07-01,73,1,74
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-07-01,79,7,86
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-07-01,7,4,11
SAN PEDRO,consultas prenatales, repetidas,2014-07-01,103,0,103
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-07-01,93,18,111
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-07-01,18,2,20
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-07-01,5,0,5
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-07-01,27,0,27
SAN PEDRO(PND),consultas prenatales, repetidas,2014-07-01,2,9,11
SAN RAFAEL,consultas prenatales, repetidas,2014-07-01,33,0,33
SAN RAMON BENI,consultas prenatales, repetidas,2014-07-01,47,0,47
SAN RAMON SCZ,consultas prenatales, repetidas,2014-07-01,102,0,102
SANTA ANA,consultas prenatales, repetidas,2014-07-01,166,0,166
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-07-01,11899,3,11902
SANTA ROSA,consultas prenatales, repetidas,2014-07-01,52,1,53
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-07-01,105,0,105
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-07-01,5,7,12
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-07-01,75,1,76
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-07-01,35,0,35
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-07-01,17,0,17
SANTIVAÑES,consultas prenatales, repetidas,2014-07-01,38,0,38
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-07-01,21,0,21
SAPAHAQUI,consultas prenatales, repetidas,2014-07-01,33,3,36
SENA,consultas prenatales, repetidas,2014-07-01,28,0,28
SHINAOTA,consultas prenatales, repetidas,2014-07-01,315,13,328
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-07-01,102,2,104
SICAYA,consultas prenatales, repetidas,2014-07-01,27,0,27
SIPE SIPE,consultas prenatales, repetidas,2014-07-01,429,0,429
SOPACHUY,consultas prenatales, repetidas,2014-07-01,37,12,49
SORACACHI,consultas prenatales, repetidas,2014-07-01,33,9,42
SORATA,consultas prenatales, repetidas,2014-07-01,73,8,81
SUCRE,consultas prenatales, repetidas,2014-07-01,3221,11,3232
TACACHI,consultas prenatales, repetidas,2014-07-01,2,0,2
TACACOMA,consultas prenatales, repetidas,2014-07-01,31,0,31
TACOBAMBA,consultas prenatales, repetidas,2014-07-01,36,10,46
TACOPAYA,consultas prenatales, repetidas,2014-07-01,35,5,40
TAHUA,consultas prenatales, repetidas,2014-07-01,2,2,4
TAPACARI,consultas prenatales, repetidas,2014-07-01,118,18,136
TARABUCO,consultas prenatales, repetidas,2014-07-01,94,16,110
TARACO,consultas prenatales, repetidas,2014-07-01,24,4,28
TARATA,consultas prenatales, repetidas,2014-07-01,55,1,56
TARIJA,consultas prenatales, repetidas,2014-07-01,2239,41,2280
TARVITA,consultas prenatales, repetidas,2014-07-01,55,25,80
TEOPONTE,consultas prenatales, repetidas,2014-07-01,54,3,57
TIAWANACU,consultas prenatales, repetidas,2014-07-01,66,6,72
TINGUIPAYA,consultas prenatales, repetidas,2014-07-01,44,15,59
TIPUANI,consultas prenatales, repetidas,2014-07-01,94,0,94
TIQUIPAYA,consultas prenatales, repetidas,2014-07-01,615,5,620
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-07-01,137,5,142
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-07-01,3,0,3
TOCO,consultas prenatales, repetidas,2014-07-01,45,0,45
TOLATA,consultas prenatales, repetidas,2014-07-01,31,0,31
TOLEDO,consultas prenatales, repetidas,2014-07-01,22,6,28
TOMAVE,consultas prenatales, repetidas,2014-07-01,45,19,64
TOMINA,consultas prenatales, repetidas,2014-07-01,63,7,70
TORO TORO,consultas prenatales, repetidas,2014-07-01,36,9,45
TOTORA(CBBA),consultas prenatales, repetidas,2014-07-01,168,2,170
TOTORA(ORR),consultas prenatales, repetidas,2014-07-01,20,2,22
TRIGAL,consultas prenatales, repetidas,2014-07-01,7,0,7
TRINIDAD,consultas prenatales, repetidas,2014-07-01,1099,0,1099
TUPIZA,consultas prenatales, repetidas,2014-07-01,319,9,328
TURCO,consultas prenatales, repetidas,2014-07-01,17,4,21
UMALA,consultas prenatales, repetidas,2014-07-01,14,15,29
UNCIA,consultas prenatales, repetidas,2014-07-01,165,11,176
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-07-01,94,2,96
URUBICHA,consultas prenatales, repetidas,2014-07-01,47,0,47
UYUNI,consultas prenatales, repetidas,2014-07-01,319,10,329
VACAS,consultas prenatales, repetidas,2014-07-01,44,0,44
VALLEGRANDE,consultas prenatales, repetidas,2014-07-01,125,0,125
VIACHA,consultas prenatales, repetidas,2014-07-01,440,0,440
VILA VILA,consultas prenatales, repetidas,2014-07-01,11,2,13
VILLA CHARCAS,consultas prenatales, repetidas,2014-07-01,100,39,139
VILLA MONTES,consultas prenatales, repetidas,2014-07-01,375,10,385
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-07-01,11,0,11
VILLA RIVERO,consultas prenatales, repetidas,2014-07-01,76,1,77
VILLA SERRANO,consultas prenatales, repetidas,2014-07-01,58,20,78
VILLA TUNARI,consultas prenatales, repetidas,2014-07-01,657,0,657
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-07-01,47,8,55
VILLAZON,consultas prenatales, repetidas,2014-07-01,379,8,387
VINTO,consultas prenatales, repetidas,2014-07-01,321,0,321
VITICHI,consultas prenatales, repetidas,2014-07-01,54,3,57
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-07-01,10,2,12
WARNES,consultas prenatales, repetidas,2014-07-01,625,0,625
YACO,consultas prenatales, repetidas,2014-07-01,13,9,22
YACUIBA,consultas prenatales, repetidas,2014-07-01,648,6,654
YAMPARAEZ,consultas prenatales, repetidas,2014-07-01,30,8,38
YANACACHI,consultas prenatales, repetidas,2014-07-01,36,0,36
YAPACANI,consultas prenatales, repetidas,2014-07-01,372,22,394
YOCALLA,consultas prenatales, repetidas,2014-07-01,35,4,39
YOTALA,consultas prenatales, repetidas,2014-07-01,62,1,63
YUNCHARA,consultas prenatales, repetidas,2014-07-01,12,21,33
ZUDAÑEZ,consultas prenatales, repetidas,2014-07-01,51,7,58
ACACIO,consultas prenatales, repetidas,2014-08-01,18,9,27
ACHACACHI,consultas prenatales, repetidas,2014-08-01,238,5,243
ACHOCALLA,consultas prenatales, repetidas,2014-08-01,73,39,112
AIQUILE,consultas prenatales, repetidas,2014-08-01,188,4,192
ALALAY,consultas prenatales, repetidas,2014-08-01,4,0,4
ALCALA,consultas prenatales, repetidas,2014-08-01,29,1,30
ALTO BENI,consultas prenatales, repetidas,2014-08-01,41,0,41
ANCORAIMES,consultas prenatales, repetidas,2014-08-01,25,6,31
ANDAMARCA,consultas prenatales, repetidas,2014-08-01,14,4,18
ANTEQUERA,consultas prenatales, repetidas,2014-08-01,3,5,8
ANZALDO,consultas prenatales, repetidas,2014-08-01,22,1,23
APOLO,consultas prenatales, repetidas,2014-08-01,114,5,119
ARAMPAMPA,consultas prenatales, repetidas,2014-08-01,11,11,22
ARANI,consultas prenatales, repetidas,2014-08-01,92,5,97
ARBIETO,consultas prenatales, repetidas,2014-08-01,94,0,94
ARQUE,consultas prenatales, repetidas,2014-08-01,54,0,54
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-08-01,262,1,263
ATOCHA,consultas prenatales, repetidas,2014-08-01,64,1,65
AUCAPATA,consultas prenatales, repetidas,2014-08-01,15,1,16
AYATA,consultas prenatales, repetidas,2014-08-01,27,6,33
AYO AYO,consultas prenatales, repetidas,2014-08-01,33,1,34
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-08-01,113,10,123
AZURDUY,consultas prenatales, repetidas,2014-08-01,30,18,48
BATALLAS,consultas prenatales, repetidas,2014-08-01,79,9,88
BAURES,consultas prenatales, repetidas,2014-08-01,28,0,28
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-08-01,4,0,4
BELEN DE URMIRI,consultas prenatales, repetidas,2014-08-01,3,3,6
BELLA FLOR,consultas prenatales, repetidas,2014-08-01,20,1,21
BERMEJO,consultas prenatales, repetidas,2014-08-01,299,2,301
BETANZOS,consultas prenatales, repetidas,2014-08-01,145,19,164
BOLIVAR,consultas prenatales, repetidas,2014-08-01,7,6,13
BOLPEBRA,consultas prenatales, repetidas,2014-08-01,7,2,9
BOYUIBE,consultas prenatales, repetidas,2014-08-01,15,2,17
BUENA VISTA,consultas prenatales, repetidas,2014-08-01,51,0,51
CABEZAS,consultas prenatales, repetidas,2014-08-01,153,4,157
CAIROMA,consultas prenatales, repetidas,2014-08-01,56,5,61
"CAIZA ""D""",consultas prenatales, repetidas,2014-08-01,53,3,56
CAJUATA,consultas prenatales, repetidas,2014-08-01,70,0,70
CALACOTO,consultas prenatales, repetidas,2014-08-01,10,7,17
CALAMARCA,consultas prenatales, repetidas,2014-08-01,61,3,64
CAMARGO,consultas prenatales, repetidas,2014-08-01,67,22,89
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-08-01,12,3,15
CAMIRI,consultas prenatales, repetidas,2014-08-01,244,2,246
CAPINOTA,consultas prenatales, repetidas,2014-08-01,162,0,162
CAQUIAVIRI,consultas prenatales, repetidas,2014-08-01,23,1,24
CARACOLLO,consultas prenatales, repetidas,2014-08-01,118,1,119
CARANAVI,consultas prenatales, repetidas,2014-08-01,382,5,387
CARAPARI,consultas prenatales, repetidas,2014-08-01,69,9,78
CARIPUYO,consultas prenatales, repetidas,2014-08-01,17,26,43
CARMEN RIVERO TORREZ,consultas prenatales, repetidas,2014-08-01,25,1,26
CATACORA,consultas prenatales, repetidas,2014-08-01,8,0,8
CHACARILLA,consultas prenatales, repetidas,2014-08-01,0,1,1
CHALLAPATA,consultas prenatales, repetidas,2014-08-01,240,21,261
CHAQUI,consultas prenatales, repetidas,2014-08-01,33,0,33
CHARAGUA,consultas prenatales, repetidas,2014-08-01,88,2,90
CHARAÑA,consultas prenatales, repetidas,2014-08-01,4,0,4
CHAYANTA,consultas prenatales, repetidas,2014-08-01,47,16,63
CHIMORE,consultas prenatales, repetidas,2014-08-01,96,2,98
CHIPAYA,consultas prenatales, repetidas,2014-08-01,12,0,12
CHUA COCANI,consultas prenatales, repetidas,2014-08-01,11,0,11
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-08-01,130,0,130
CHUMA,consultas prenatales, repetidas,2014-08-01,22,7,29
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-08-01,46,3,49
CKOCHAS,consultas prenatales, repetidas,2014-08-01,64,16,80
CLIZA,consultas prenatales, repetidas,2014-08-01,235,2,237
COBIJA,consultas prenatales, repetidas,2014-08-01,666,0,666
COCAPATA,consultas prenatales, repetidas,2014-08-01,33,30,63
COCHABAMBA,consultas prenatales, repetidas,2014-08-01,6942,1,6943
COIPASA,consultas prenatales, repetidas,2014-08-01,6,0,6
COLCAPIRHUA,consultas prenatales, repetidas,2014-08-01,389,2,391
"COLCHA ""K""",consultas prenatales, repetidas,2014-08-01,53,3,56
COLLANA,consultas prenatales, repetidas,2014-08-01,9,1,10
COLOMI,consultas prenatales, repetidas,2014-08-01,126,4,130
COLPA BELGICA,consultas prenatales, repetidas,2014-08-01,37,0,37
COLQUECHACA,consultas prenatales, repetidas,2014-08-01,129,37,166
COLQUENCHA,consultas prenatales, repetidas,2014-08-01,49,1,50
COLQUIRI,consultas prenatales, repetidas,2014-08-01,47,10,57
COMANCHE,consultas prenatales, repetidas,2014-08-01,9,0,9
COMARAPA,consultas prenatales, repetidas,2014-08-01,140,0,140
COMBAYA,consultas prenatales, repetidas,2014-08-01,5,5,10
CONCEPCION,consultas prenatales, repetidas,2014-08-01,138,8,146
COPACABANA,consultas prenatales, repetidas,2014-08-01,66,7,73
CORIPATA,consultas prenatales, repetidas,2014-08-01,117,0,117
CORO CORO,consultas prenatales, repetidas,2014-08-01,30,7,37
COROICO,consultas prenatales, repetidas,2014-08-01,116,1,117
CORQUE,consultas prenatales, repetidas,2014-08-01,31,6,37
COTAGAITA,consultas prenatales, repetidas,2014-08-01,116,26,142
COTOCA,consultas prenatales, repetidas,2014-08-01,419,0,419
CRUZ DE MACHACAMARCA,consultas prenatales, repetidas,2014-08-01,1,0,1
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-08-01,196,5,201
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-08-01,4,2,6
CUEVO,consultas prenatales, repetidas,2014-08-01,18,3,21
CULPINA,consultas prenatales, repetidas,2014-08-01,98,15,113
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-08-01,29,0,29
CURVA,consultas prenatales, repetidas,2014-08-01,8,8,16
DESAGUADERO,consultas prenatales, repetidas,2014-08-01,44,0,44
EL ALTO,consultas prenatales, repetidas,2014-08-01,6359,384,6743
EL CHORO,consultas prenatales, repetidas,2014-08-01,11,14,25
EL PUENTE(STC),consultas prenatales, repetidas,2014-08-01,71,0,71
EL PUENTE(TJA),consultas prenatales, repetidas,2014-08-01,71,7,78
EL TORNO,consultas prenatales, repetidas,2014-08-01,432,1,433
EL VILLAR,consultas prenatales, repetidas,2014-08-01,19,7,26
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-08-01,153,17,170
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-08-01,265,0,265
ESCARA,consultas prenatales, repetidas,2014-08-01,1,0,1
ESCOMA,consultas prenatales, repetidas,2014-08-01,20,0,20
EUCALIPTUS,consultas prenatales, repetidas,2014-08-01,28,0,28
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-08-01,7,6,13
EXALTACION,consultas prenatales, repetidas,2014-08-01,9,0,9
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-08-01,88,0,88
FILADELFIA,consultas prenatales, repetidas,2014-08-01,23,3,26
GENERAL SAAVEDRA,consultas prenatales, repetidas,2014-08-01,76,0,76
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-08-01,34,4,38
GUANAY,consultas prenatales, repetidas,2014-08-01,96,8,104
GUAQUI,consultas prenatales, repetidas,2014-08-01,20,2,22
GUAYARAMERIN,consultas prenatales, repetidas,2014-08-01,518,1,519
GUTIERREZ,consultas prenatales, repetidas,2014-08-01,75,11,86
HUACARETA,consultas prenatales, repetidas,2014-08-01,44,22,66
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-08-01,18,8,26
HUACHACALLA,consultas prenatales, repetidas,2014-08-01,9,0,9
HUANUNI,consultas prenatales, repetidas,2014-08-01,185,0,185
HUARACAJE,consultas prenatales, repetidas,2014-08-01,22,0,22
HUARINA,consultas prenatales, repetidas,2014-08-01,35,1,36
HUATAJATA,consultas prenatales, repetidas,2014-08-01,9,0,9
HUAYLLAMARCA,consultas prenatales, repetidas,2014-08-01,7,0,7
HUMANATA,consultas prenatales, repetidas,2014-08-01,9,1,10
ICHOCA,consultas prenatales, repetidas,2014-08-01,7,6,13
ICLA,consultas prenatales, repetidas,2014-08-01,34,20,54
INCAHUASI,consultas prenatales, repetidas,2014-08-01,46,24,70
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-08-01,4,0,4
INQUISIVI,consultas prenatales, repetidas,2014-08-01,34,18,52
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-08-01,54,5,59
IXIAMAS,consultas prenatales, repetidas,2014-08-01,60,3,63
JESUS DE MACHACA,consultas prenatales, repetidas,2014-08-01,71,1,72
LA ASUNTA,consultas prenatales, repetidas,2014-08-01,154,7,161
LA GUARDIA,consultas prenatales, repetidas,2014-08-01,545,0,545
LA PAZ,consultas prenatales, repetidas,2014-08-01,6883,0,6883
LAGUNILLAS,consultas prenatales, repetidas,2014-08-01,40,5,45
LAJA,consultas prenatales, repetidas,2014-08-01,90,1,91
LAS CARRERAS,consultas prenatales, repetidas,2014-08-01,34,2,36
LICOMA PAMPA,consultas prenatales, repetidas,2014-08-01,14,0,14
LLALLAGUA,consultas prenatales, repetidas,2014-08-01,307,6,313
LLICA,consultas prenatales, repetidas,2014-08-01,14,1,15
LORETO,consultas prenatales, repetidas,2014-08-01,8,0,8
LURIBAY,consultas prenatales, repetidas,2014-08-01,16,1,17
MACHACAMARCA,consultas prenatales, repetidas,2014-08-01,16,3,19
MACHARETI,consultas prenatales, repetidas,2014-08-01,59,0,59
MAGDALENA,consultas prenatales, repetidas,2014-08-01,111,3,114
MAIRANA,consultas prenatales, repetidas,2014-08-01,107,0,107
MALLA,consultas prenatales, repetidas,2014-08-01,5,5,10
MAPIRI,consultas prenatales, repetidas,2014-08-01,117,4,121
MECAPACA,consultas prenatales, repetidas,2014-08-01,50,3,53
MINEROS,consultas prenatales, repetidas,2014-08-01,152,1,153
MIZQUE,consultas prenatales, repetidas,2014-08-01,169,2,171
MOCOMOCO,consultas prenatales, repetidas,2014-08-01,26,9,35
MOJINETE,consultas prenatales, repetidas,2014-08-01,5,3,8
MOJOCOYA,consultas prenatales, repetidas,2014-08-01,29,10,39
MONTEAGUDO,consultas prenatales, repetidas,2014-08-01,244,9,253
MONTERO,consultas prenatales, repetidas,2014-08-01,912,0,912
MORO MORO,consultas prenatales, repetidas,2014-08-01,6,3,9
MOROCHATA,consultas prenatales, repetidas,2014-08-01,35,18,53
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-08-01,21,0,21
NAZACARA DE PACAJES,consultas prenatales, repetidas,2014-08-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-08-01,14,3,17
OCURI,consultas prenatales, repetidas,2014-08-01,52,28,80
OKINAWA,consultas prenatales, repetidas,2014-08-01,105,0,105
OMEREQUE,consultas prenatales, repetidas,2014-08-01,26,4,30
ORURO,consultas prenatales, repetidas,2014-08-01,2973,0,2973
PADCAYA,consultas prenatales, repetidas,2014-08-01,108,5,113
PADILLA,consultas prenatales, repetidas,2014-08-01,43,10,53
PAILON,consultas prenatales, repetidas,2014-08-01,115,1,116
PALCA,consultas prenatales, repetidas,2014-08-01,95,4,99
PALOS BLANCOS,consultas prenatales, repetidas,2014-08-01,236,0,236
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-08-01,19,2,21
PAMPA GRANDE,consultas prenatales, repetidas,2014-08-01,58,0,58
PAPEL PAMPA,consultas prenatales, repetidas,2014-08-01,29,3,32
PASORAPA,consultas prenatales, repetidas,2014-08-01,7,0,7
PATACAMAYA,consultas prenatales, repetidas,2014-08-01,152,3,155
PAZÑA,consultas prenatales, repetidas,2014-08-01,18,2,20
PELECHUCO,consultas prenatales, repetidas,2014-08-01,26,0,26
POCOATA,consultas prenatales, repetidas,2014-08-01,57,41,98
POCONA,consultas prenatales, repetidas,2014-08-01,47,3,50
POJO (CBBA),consultas prenatales, repetidas,2014-08-01,75,0,75
POOPO,consultas prenatales, repetidas,2014-08-01,27,0,27
PORCO,consultas prenatales, repetidas,2014-08-01,92,3,95
POROMA,consultas prenatales, repetidas,2014-08-01,64,25,89
PORONGO,consultas prenatales, repetidas,2014-08-01,41,0,41
PORTACHUELO,consultas prenatales, repetidas,2014-08-01,161,0,161
PORVENIR,consultas prenatales, repetidas,2014-08-01,52,0,52
POSTRER VALLE,consultas prenatales, repetidas,2014-08-01,4,0,4
POTOSI,consultas prenatales, repetidas,2014-08-01,1651,6,1657
PRESTO,consultas prenatales, repetidas,2014-08-01,33,30,63
PUCARA,consultas prenatales, repetidas,2014-08-01,3,1,4
PUCARANI,consultas prenatales, repetidas,2014-08-01,108,7,115
PUERTO ACOSTA,consultas prenatales, repetidas,2014-08-01,22,20,42
PUERTO CARABUCO,consultas prenatales, repetidas,2014-08-01,35,8,43
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-08-01,49,4,53
PUERTO PEREZ,consultas prenatales, repetidas,2014-08-01,16,7,23
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-08-01,101,0,101
PUERTO RICO,consultas prenatales, repetidas,2014-08-01,56,8,64
PUERTO SILES,consultas prenatales, repetidas,2014-08-01,1,0,1
PUERTO SUAREZ,consultas prenatales, repetidas,2014-08-01,141,0,141
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-08-01,559,0,559
PUNA,consultas prenatales, repetidas,2014-08-01,103,8,111
PUNATA,consultas prenatales, repetidas,2014-08-01,295,0,295
QUIABAYA,consultas prenatales, repetidas,2014-08-01,14,0,14
QUILLACOLLO,consultas prenatales, repetidas,2014-08-01,816,43,859
QUIME,consultas prenatales, repetidas,2014-08-01,49,0,49
