,group,variable,month,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
EL VILLAR,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
ESCOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,7,5,7,5,12
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,3,1,3,4
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,1,1,1,2
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,5,5,5,5,10
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,4,4,4,8
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,8,3,8,3,11
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,3,1,3,1,4
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,27,31,27,31,58
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,191,205,191,205,396
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,1,2,1,3
LAS CARRERAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
LICOMA PAMPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
LURIBAY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
MAGDALENA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,3,1,3,1,4
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,10,9,10,9,19
MIZQUE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,8,3,8,3,11
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,3,1,3,4
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,18,15,18,15,33
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,40,33,40,33,73
ORURO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,23,33,23,33,56
PADILLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,8,4,8,4,12
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,13,3,13,3,16
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,1,4,1,5
POROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,4,4,4,8
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,1,4,1,5
PRESTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,5,2,5,2,7
PUCARANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
PUERTO SUAREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,13,7,13,7,20
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,31,28,31,28,59
ROBORE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,6,4,6,10
SACABA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,49,59,49,59,108
SAN ANDRES DE MACHACA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,6,5,6,5,11
SAN JOSE DE CHIQUITOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,6,5,6,5,11
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
SAN JULIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,21,21,21,21,42
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,14,12,14,12,26
SAN MATIAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,6,10,6,10,16
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,268,265,268,265,533
SOPACHUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,1,2,1,3
SORATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
SUCRE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,150,124,150,124,274
TARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,5,4,5,9
TARVITA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,0,4,0,4
TOMINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,1,1,1,2
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,4,2,4,6
TUPIZA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,1,1,1,2
UMALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
URUBICHA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,2,2,2,4
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,1,4,1,5
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,8,5,8,5,13
VILLA SERRANO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
WARNES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,37,37,37,37,74
YACUIBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,5,2,5,2,7
YAMPARAEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,1,2,1,3
YOTALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
