,group,variable,month,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,6,11,17
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,2,4
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,15,20
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,2,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,3,5
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,32,65,97
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,270,390,660
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,2,5
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,4,5,9
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,1,4
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,16,23,39
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,7,9,16
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,11,16
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,2,3
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,0,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,4,15,19
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,10,20,30
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,9,12
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,0,3
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,3,4
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,8,0,8
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,4,2,6
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,13,7,20
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,348,448,796
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,4,7,11
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,4,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,88,91,179
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,26,40,66
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,0,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,6,6
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,11,16,27
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,7,5,12
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,9,7,16
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,11,19,30
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,28,13,41
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,4,9
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,1,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,38,27,65
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,1,3
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,0,3
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,12,7,19
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,36,82,118
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,494,680,1174
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,26,31
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,6,6,12
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,0,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,8,13
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,1,4
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,0,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,7,9,16
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,11,11,22
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,8,9,17
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,10,5,15
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,3,8
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,2,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,6,8
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,46,50,96
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,30,25,55
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,2,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,5,8
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,34,0,34
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,170,258,428
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,12,18,30
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,3,8
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,1,4
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,4,6
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,5,7
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,10,15
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,3,5
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,19,20,39
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,8,9,17
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,4,13,17
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,5,0,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,147,218,365
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,1,4,5
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,10,0,10
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,7,7,14
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,2,4
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,6,5,11
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,0,3
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,4,4
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,15,13,28
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,52,73,125
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,3,5,8
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,4,7,11
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,52,56,108
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,6,26,32
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,7,2,9
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,2,8,10
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,19,22,41
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-07-01,56,98,154
