,group,variable,month,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,25,8,33
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,32,33,65
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,31,6,37
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,14,8,22
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,5,1,6
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,22,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,30,56,86
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,10,11
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,3,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,8,5,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,15,18
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,32,3,35
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,2785,68,2853
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,15,0,15
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,26,6,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,2,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,14,6,20
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,8,5,13
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,0,1
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,6,1,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,0,2,2
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,10,5,15
SENA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,8,4,12
SHINAOTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,44,3,47
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,17,22,39
SICAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,2,8,10
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,79,7,86
SOPACHUY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,10,7,17
SORACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,7,8,15
SORATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,19,17,36
SUCRE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,515,29,544
TACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,13,4,17
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,10,7,17
TACOPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,10,14,24
TAHUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,23,29,52
TARABUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,7,10,17
TARACO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,4,2,6
TARATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,16,2,18
TARIJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,361,23,384
TARVITA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,10,9,19
TEOPONTE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,17,8,25
TIAWANACU,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,11,3,14
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,41,17,58
TIPUANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,29,50,79
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,88,23,111
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,30,12,42
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,5,4,9
TOLATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,6,2,8
TOLEDO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,4,0,4
TOMAVE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,19,21,40
TOMINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,6,9
TORO TORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,20,23
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,17,15,32
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,1,4
TRIGAL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,217,5,222
TUPIZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,101,18,119
TURCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,0,3
UMALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,2,5,7
UNCIA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,32,10,42
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,17,3,20
URUBICHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,17,6,23
UYUNI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,56,5,61
VACAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,6,9,15
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,35,1,36
VIACHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,90,3,93
VILA VILA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,4,7
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,23,10,33
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,75,21,96
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,4,3,7
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,14,6,20
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,12,7,19
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,136,19,155
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,9,3,12
VILLAZON,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,93,14,107
VINTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,125,4,129
VITICHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,13,7,20
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,0,1
WARNES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,182,8,190
YACO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,3,8,11
YACUIBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,185,45,230
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,5,2,7
YANACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,5,1,6
YAPACANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,67,6,73
YOCALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,16,7,23
YOTALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,10,8,18
YUNCHARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,1,12,13
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-06-01,4,5,9
ACACIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,14,4,18
ACHACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,36,23,59
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,9,6,15
AIQUILE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,25,12,37
ALALAY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,3,2,5
ALCALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,3,1,4
ALTO BENI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,27,0,27
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,15,4,19
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,5,1,6
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,4,4,8
APOLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,20,17,37
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,1,13,14
ARANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,17,0,17
ARBIETO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,11,12,23
ARQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,22,6,28
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,73,10,83
ATOCHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,19,8,27
AUCAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,3,5
AYATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,0,5,5
AYO AYO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,9,4,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,22,12,34
AZURDUY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,14,5,19
BATALLAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,21,11,32
BAURES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,13,0,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,1,7
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,52,28,80
BETANZOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,37,22,59
BOLIVAR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,5,11,16
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,23,12,35
CABEZAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,34,6,40
CAIROMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,10,7,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,12,6,18
CAJUATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,5,3,8
CALACOTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,4,10
CALAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,14,9,23
CAMARGO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,20,5,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,2,8
CAMIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,80,2,82
CAPINOTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,27,4,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,6,12
CARACOLLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,18,17,35
CARANAVI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,58,23,81
CARAPARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,24,9,33
CARIPUYO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,17,19
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,4,7,11
CHACARILLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,55,13,68
CHAQUI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,10,8,18
CHARAGUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,23,28,51
CHARAÑA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,11,8,19
CHIMORE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,51,3,54
CHIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,4,1,5
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,28,1,29
CHUMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,11,10,21
CKOCHAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,25,11,36
CLIZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,32,6,38
COBIJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,113,19,132
COCAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,10,31,41
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,1373,19,1392
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,110,1,111
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,22,1,23
COLLANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,0,2,2
COLOMI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,28,9,37
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,8,2,10
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,23,50,73
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,14,0,14
COLQUIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,10,32,42
COMANCHE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,1,3
COMARAPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,22,2,24
COMBAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,46,25,71
COPACABANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,19,10,29
CORIPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,25,5,30
CORO CORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,7,13
COROICO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,24,2,26
CORQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,5,7
COTAGAITA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,30,21,51
COTOCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,144,34,178
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,38,19,57
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,4,0,4
CUEVO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,2,4,6
CULPINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,33,18,51
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,6,1,7
CURVA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,4,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,9,8,17
EL ALTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,1704,87,1791
EL CHORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-07-01,4,7,11
