,group,variable,month,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
TOMINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,10,20
TORO TORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,16,21
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,27,16,43
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,6,1,7
TRIGAL,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,291,7,298
TUPIZA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,107,26,133
TURCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,2,7
UMALA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,4,8,12
UNCIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,39,22,61
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,1,11
URUBICHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,22,8,30
UYUNI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,76,9,85
VACAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,10,3,13
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,43,1,44
VIACHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,95,3,98
VILA VILA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,9,14
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,18,4,22
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,84,19,103
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,1,6,7
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,9,3,12
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,9,8,17
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,184,16,200
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,19,6,25
VILLAZON,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,102,6,108
VINTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,116,5,121
VITICHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,5,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,4,6
WARNES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,235,9,244
YACO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,3,9,12
YACUIBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,217,38,255
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,5,5,10
YANACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,8,3,11
YAPACANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,140,6,146
YOCALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,15,6,21
YOTALA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,7,5,12
YUNCHARA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,0,13,13
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-06-01,2,5,7
ACACIO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,5,11
ACHACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,54,25,79
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,8,12,20
AIQUILE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,23,13,36
ALALAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,4,7
ALCALA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,1,4
ALTO BENI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,16,1,17
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,15,5,20
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,3,5
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,10,1,11
ANZALDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,8,11
APOLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,25,12,37
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,5,5
ARANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,13,2,15
ARBIETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,14,17,31
ARQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,17,4,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,43,9,52
ATOCHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,18,5,23
AUCAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,6,8
AYATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,2,4
AYO AYO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,9,4,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,22,22,44
AZURDUY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,13,6,19
BATALLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,23,9,32
BAURES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,46,24,70
BETANZOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,49,22,71
BOLIVAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,8,13
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,27,11,38
CABEZAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,41,7,48
CAIROMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,9,12,21
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,8,7,15
CAJUATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,13,6,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,2,3
CALAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,10,6,16
CAMARGO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,21,2,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,66,1,67
CAPINOTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,29,1,30
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,7,12
CARACOLLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,32,14,46
CARANAVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,62,24,86
CARANGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,18,3,21
CARIPUYO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,15,20
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,8,5,13
CHACARILLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,58,10,68
CHAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,7,11
CHARAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,25,20,45
CHARAÑA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,21,14,35
CHIMORE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,44,4,48
CHIPAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,28,1,29
CHUMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,7,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,8,18,26
CKOCHAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,26,11,37
CLIZA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,35,13,48
COBIJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,115,12,127
COCAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,8,37,45
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1444,16,1460
COIPASA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,113,1,114
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,17,3,20
COLLANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,1,2
COLOMI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,43,3,46
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,13,1,14
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,38,48,86
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,16,3,19
COLQUIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,18,32,50
COMANCHE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,3,5
COMARAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,28,4,32
COMBAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,9,9
CONCEPCION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,39,16,55
COPACABANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,14,15,29
CORIPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,26,2,28
CORO CORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,4,10
COROICO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,27,3,30
CORQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,4,8
COTAGAITA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,30,17,47
COTOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,122,18,140
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,30,24,54
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,12,2,14
CULPINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,21,11,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,1,5
CURVA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,1,3
EL ALTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1765,25,1790
EL CHORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,5,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,23,0,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,18,2,20
EL TORNO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,125,5,130
EL VILLAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,21,10,31
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,67,11,78
ESCOMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,2,7
ESMERALDA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,9,2,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,0,4
EXALTACION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,9,12
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,26,2,28
FILADELFIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,8,4,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,35,30,65
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,10,10,20
GUANAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,18,12,30
GUAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,6,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,110,12,122
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,29,3,32
HUACARETA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,11,2,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,2,5
HUANUNI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,56,0,56
HUARACAJE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,0,5
HUARINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,7,3,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,0,2
HUMANATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,4,6
ICHOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,3,7
ICLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,7,4,11
INCAHUASI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,11,14,25
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,8,8
INQUISIVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,9,8,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,13,4,17
IXIAMAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,18,0,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,14,2,16
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,78,4,82
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,176,1,177
LA PAZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1372,21,1393
LA RIVERA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,13,2,15
LAJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,15,6,21
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,73,20,93
LLICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,10,0,10
LORETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,1,14,15
LURIBAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,5,6,11
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,9,2,11
MAGDALENA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,28,4,32
MAIRANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,32,0,32
MALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,24,0,24
MECAPACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,9,10,19
MINEROS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,54,1,55
MIZQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,37,13,50
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,19,6,25
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-07-01,2,2,4
