,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,12,28,0,2,12,30,42
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,5,0,0,4,5,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,19,17,4,2,23,19,42
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,38,26,11,18,49,44,93
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,10,10,11,10,21
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,1,3,2,4,6
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,3,4,3,4,7
CATACORA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,2,0,0,0,2,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,2,1,2,1,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,24,17,10,6,34,23,57
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,4,6,4,10,8,18
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,2,42,52,48,54,102
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,3,0,1,4,4,8
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,20,23,5,2,25,25,50
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,5,0,6,0,6
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,8,3,8,6,16,22
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,2,1,1,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,2,5,5,11,7,18
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,2,7,6,10,8,18
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,16,11,5,4,21,15,36
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,44,35,27,27,71,62,133
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,19,8,20,8,28
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,514,512,11,12,525,524,1049
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,26,41,7,10,33,51,84
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,13,11,3,4,16,15,31
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,2,2,2,2,4,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,12,10,18,20,30,30,60
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,1,0,1,3,2,5
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,14,13,14,22,28,35,63
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,1,5,2,7,3,10
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,3,20,20,24,23,47
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,2,0,0,2,2,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,7,4,3,14,10,24
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,1,2,1,2,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,21,13,9,8,30,21,51
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,3,0,3,4,6,10
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,15,7,0,0,15,7,22
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,6,7,6,7,13
COROICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,2,6,7,9,9,18
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,3,3,3,3,6
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,7,6,10,15,17,21,38
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,59,59,10,11,69,70,139
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,20,18,6,7,26,25,51
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,5,6,5,6,11
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,3,1,4,2,6
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,6,5,5,13,11,24
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,6,1,0,6,6,12
CURVA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,8,3,8,3,11
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,1,3,1,7,2,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,508,514,234,228,742,742,1484
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,4,5,4,7,8,15
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,9,6,4,4,13,10,23
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,4,11,11,16,15,31
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,45,54,19,15,64,69,133
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,2,0,0,5,2,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,7,6,8,9,15,15,30
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,41,41,0,0,41,41,82
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,2,1,0,2,2,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,0,1,1,1,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,5,11,5,12,17
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,19,11,5,2,24,13,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,7,3,5,8,12,11,23
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,10,5,5,11,15,26
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,29,32,14,23,43,55,98
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,5,6,5,6,11
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,4,9,1,15,5,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,7,2,8,3,11
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,0,3,1,4,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,24,26,4,4,28,30,58
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,2,0,0,1,2,3
HUARINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,6,7,7,8,15
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,2,3,2,4,6
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,0,1,1,3,1,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,1,2,1,2,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,1,2,0,4,1,5
ICLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,2,2,4,3,6,9
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,5,4,6,4,10
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,1,11,8,15,9,24
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,9,3,3,13,12,25
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,1,5,2,13,3,16
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,3,2,5,7,8,15
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,35,17,7,7,42,24,66
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,73,78,13,13,86,91,177
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,526,471,14,14,540,485,1025
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,9,11,9,12,21
LAJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,13,6,4,5,17,11,28
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,4,1,4,1,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,23,11,20,17,43,28,71
LLICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,0,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,7,2,2,5,9,14
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,5,4,5,5,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,14,3,6,6,20,9,29
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,14,12,0,3,14,15,29
MALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,15,11,0,0,15,11,26
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,4,9,3,17,7,24
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,2,2,4,7,6,13
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,19,11,13,22,32,54
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,5,9,10,14,15,29
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,5,1,0,3,5,8
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,21,26,0,0,21,26,47
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,114,105,5,12,119,117,236
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,0,3,0,6,0,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,9,6,10,6,16
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,6,7,7,7,14
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,0,0,1,1,2
OCURI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,7,6,11,10,18,28
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,10,2,3,13,13,26
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,8,5,8,5,13
ORURO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,262,230,19,16,281,246,527
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,15,16,5,5,20,21,41
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,6,0,2,8,8,16
PAILON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,18,10,36,27,54,37,91
PALCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,18,8,12,7,30,15,45
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,21,18,14,13,35,31,66
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,9,9,1,0,10,9,19
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,2,0,0,2,2,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,1,2,2,3,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,13,10,5,1,18,11,29
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,3,4,5,6,8,14
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,2,2,2,6,4,10
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,3,14,10,18,13,31
POCONA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,3,11,13,16,16,32
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,4,5,7,15,11,26
POOPO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,3,2,3,2,5
PORCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,7,3,4,7,11,18
POROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,7,4,4,7,11,11,22
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,0,10,10,14,10,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,14,22,0,0,14,22,36
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,4,6,5,7,12
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,1,2,1,2,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,284,256,23,27,307,283,590
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,1,0,4,3,5,8
PUCARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,0,0,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,8,8,9,18,17,35
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,5,7,5,7,12
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,5,6,5,7,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,3,5,7,10,10,20
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,13,3,2,14,15,29
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,0,6,5,8,5,13
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,21,13,17,12,38,25,63
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,59,61,4,4,63,65,128
PUNA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,6,5,5,11,11,22
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,22,27,3,2,25,29,54
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,81,60,83,85,164,145,309
QUIME,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,7,10,7,10,17
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,7,17,13,21,20,41
REYES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,7,7,7,3,14,10,24
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,90,82,72,66,162,148,310
ROBORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,2,6,7,8,9,17
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,9,12,3,4,12,16,28
SABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,3,0,0,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,114,96,3,3,117,99,216
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,1,0,0,1,1,2
SACACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,12,6,3,16,15,31
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,6,9,6,11,12,23
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,5,9,15,14,20,34
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,5,6,5,10,10,20
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,7,1,5,9,12,21
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,2,4,2,4,6
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,1,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,3,2,2,4,5,9
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,8,7,7,17,15,32
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,39,36,18,29,57,65,122
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,10,10,1,1,11,11,22
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,14,6,1,17,15,32
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,19,14,5,4,24,18,42
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,48,51,16,18,64,69,133
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,12,8,0,0,12,8,20
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,14,12,3,2,17,14,31
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,3,9,3,13,6,19
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,24,25,57,69,81,94,175
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,7,7,12,6,19,13,32
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,39,34,13,13,52,47,99
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,5,28,18,33,23,56
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,14,12,2,6,16,18,34
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,18,18,3,5,21,23,44
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,13,15,1,2,14,17,31
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,15,1,1,12,16,28
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,3,0,0,0,3,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,9,7,4,10,13,23
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,12,29,25,40,37,77
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,3,0,1,1,4,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,3,2,4,2,6
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,2,0,2,0,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,7,2,2,3,9,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,1,1,1,1,2
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,11,0,0,5,11,16
