,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,23,33,70,71,93,104,197
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,1,1,1,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,3,4,0,6,3,9
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,11,9,0,0,11,9,20
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,4,0,0,4,4,8
HUARINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,6,0,2,1,8,9
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,1,0,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,2,0,0,3,2,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,4,1,6,3,9
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,1,0,0,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,5,2,6,7,11,18
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,8,40,30,47,38,85
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,1,5,5,6,6,12
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,120,88,34,35,154,123,277
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,81,88,70,83,151,171,322
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,502,463,33,29,535,492,1027
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,3,2,1,2,4,6
LAJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,6,2,5,2,11,4,15
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,9,0,0,7,9,16
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,0,1,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,27,20,0,0,27,20,47
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,9,9,1,3,10,12,22
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,23,25,10,7,33,32,65
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,1,0,1,4,2,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,5,0,2,3,7,10
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,3,1,3,1,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,15,13,0,0,15,13,28
MONTERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,88,92,3,2,91,94,185
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,3,15,14,20,17,37
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,2,5,3,6,5,11
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,8,4,0,0,8,4,12
OCURI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,18,13,1,1,19,14,33
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,166,167,9,14,175,181,356
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,2,0,1,3,3,6
PADILLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,1,0,3,2,5
PAILON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,20,14,41,27,61,41,102
PALCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,6,2,2,4,8,6,14
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,7,5,11,9,18,27
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,4,0,1,0,5,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,1,5,3,6,9
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,6,2,1,6,7,13
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,1,5,3,6,9
POCOATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,22,20,24,22,46
POCONA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,1,0,0,3,1,4
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,15,2,4,9,19,28
PORCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,43,46,81,82,124,128,252
POROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,11,11,16,16,27,27,54
PORONGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,1,1,2,4,3,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,3,0,0,2,3,5
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,9,1,4,8,13,21
POTOSI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,291,338,37,52,328,390,718
PUCARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,3,0,0,0,3,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,3,19,17,26,20,46
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,6,2,34,31,40,33,73
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,8,1,6,5,14,6,20
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,1,13,8,17,9,26
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,23,28,0,0,23,28,51
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,2,3,7,4,9,13
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,11,7,0,0,11,7,18
PUNA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,3,3,5,5,8,13
PUNATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,12,14,24,29,36,43,79
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,183,158,202,128,385,286,671
QUIME,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,2,3,5,7,7,14
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,0,0,2,2,4
RAVELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,5,5,5,6,11
REYES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,5,0,0,4,5,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,11,4,3,11,14,25
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,9,1,2,8,11,19
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,7,1,0,6,7,13
SABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,5,3,7,4,11
SACABA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,89,88,54,44,143,132,275
SACACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,6,20,21,25,27,52
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,1,7,2,12,3,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,6,7,4,4,10,11,21
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,4,0,0,7,4,11
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,12,18,12,10,24,28,52
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,8,1,1,8,9,17
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,45,43,16,12,61,55,116
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,13,14,13,10,26,24,50
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,22,21,1,0,23,21,44
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,21,18,27,23,48,41,89
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,64,49,21,18,85,67,152
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,24,18,0,0,24,18,42
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,19,20,50,49,69,69,138
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,9,9,2,0,11,9,20
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,76,95,33,39,109,134,243
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,12,20,27,24,39,63
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,14,6,2,0,16,6,22
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,49,39,3,4,52,43,95
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,6,1,0,3,6,9
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,3,2,5,6,8,14
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,5,5,9,8,14,22
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,6,11,11,14,17,31
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,2,0,1,0,3,3
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,3,5,4,5,7,12
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,3,0,0,1,3,4
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,1,0,0,5,1,6
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,21,13,0,0,21,13,34
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1040,1036,76,82,1116,1118,2234
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,14,14,0,0,14,14,28
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,30,24,25,22,55,46,101
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,2,0,0,0,2,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,1,1,3,2,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,4,1,4,4,8,12
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,3,1,0,4,3,7
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,3,2,2,5,5,10
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,8,8,7,15,15,30
SENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,14,15,2,0,16,15,31
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,3,10,6,15,9,24
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
SICAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,1,4,8,7,9,16
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,5,14,15,19,20,39
SORATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,5,12,10,16,15,31
SUCRE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,51,41,11,32,62,73,135
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,5,24,22,27,27,54
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,1,1,1,2
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,1,3,4,6,5,11
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,1,10,7,14,8,22
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,3,3,4,3,7
TARATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,14,7,2,0,16,7,23
TARIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,63,66,27,31,90,97,187
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,15,5,1,0,16,5,21
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,0,0,2,2,4
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,2,21,32,25,34,59
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,2,10,11,13,13,26
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,14,13,77,75,91,88,179
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,1,1,1,2
TOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,5,4,12,11,17,28
TOLATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,2,3,4,5,9
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,4,1,4,2,8,10
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,12,16,13,16,29
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,6,17,8,19,27
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,4,3,4,8,8,16
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,9,5,9,6,15
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,97,93,12,12,109,105,214
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,11,6,4,13,15,28
UNCIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,2,2,2,2,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,1,2,6,6,7,13
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,8,6,2,3,10,9,19
UYUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,16,17,4,5,20,22,42
VACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,9,8,7,7,16,15,31
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,31,20,2,6,33,26,59
VIACHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,23,16,22,18,45,34,79
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,43,37,15,18,58,55,113
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,15,8,2,3,17,11,28
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,52,58,2,2,54,60,114
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,0,1,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,30,25,3,0,33,25,58
VINTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,0,0,2,2,4
VITICHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,0,1,0,1,1
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,12,6,12,6,18
WARNES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,79,54,1,1,80,55,135
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,36,26,27,45,63,71,134
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,4,10,7,12,11,23
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,53,46,12,6,65,52,117
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,10,2,2,7,12,9,21
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,2,2,2,2,4
