,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,13,10,0,0,13,10,23
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,7,1,0,8,7,15
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,2,2,2,2,4,6
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,3,3,3,8,6,14
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,2,2,2,2,4
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,6,8,7,17,13,30
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,7,2,2,9,9,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,9,2,7,9,16,25
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,5,0,4,9,9,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,32,17,2,1,34,18,52
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,6,5,1,0,7,5,12
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,2,0,1,2,3,5
AYATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,2,3,1,8,3,11
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,2,0,0,5,2,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,7,7,10,15,17,32
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,7,7,2,18,9,27
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,0,1,1,9,1,10
BAURES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,0,0,2,1,3
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,1,0,2,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,0,5,5,9,5,14
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,24,23,7,7,31,30,61
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,10,16,2,2,12,18,30
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,1,6,1,6,7
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,0,0,1,2,1,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,2,0,0,2,2,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,6,7,4,14,10,24
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,9,11,5,19,14,33
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,3,1,1,5,4,9
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,2,0,0,3,2,5
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,2,3,4,4,8
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,2,4,2,4,6
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,5,1,4,10,9,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,1,1,0,5,1,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,14,4,4,15,18,33
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,7,2,3,11,10,21
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,10,5,1,1,11,6,17
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,7,0,0,8,7,15
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,24,22,3,4,27,26,53
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,5,6,0,11,5,16
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,0,1,2,2,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,3,0,0,1,3,4
CATACORA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,12,3,4,8,16,24
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,3,0,0,0,3,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,10,8,9,15,19,34
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,4,20,18,27,22,49
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,16,1,3,10,19,29
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,3,4,1,7,4,11
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,4,1,3,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,6,5,3,6,9,15
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,15,5,5,6,20,11,31
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,40,33,21,14,61,47,108
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,6,11,14,19,20,39
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,367,399,11,16,378,415,793
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,22,20,3,1,25,21,46
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,5,1,0,8,5,13
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,0,1,4,3,4,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,14,1,0,12,14,26
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,6,4,12,15,18,33
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,0,0,0,3,0,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,3,3,3,4,6,10
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,3,0,0,3,3,6
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,10,8,0,0,10,8,18
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,2,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,23,17,8,5,31,22,53
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,3,1,1,1,4,5
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,3,0,0,11,3,14
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,3,1,1,3,4,7
COROICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,2,8,10,11,12,23
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,1,0,3,1,4,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,9,6,2,10,11,21
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,26,19,0,0,26,19,45
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,13,18,1,3,14,21,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,0,1,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,2,1,2,3,4,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,7,3,3,5,10,15
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,5,0,0,7,5,12
CURVA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,2,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,268,271,79,65,347,336,683
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,1,0,1,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,7,0,0,5,7,12
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,4,4,0,6,4,10
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,32,42,5,8,37,50,87
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,1,1,0,6,1,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,10,7,2,4,12,11,23
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,15,8,2,0,17,8,25
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,5,0,5,5
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,3,0,4,0,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,3,1,0,4,3,7
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,1,0,0,4,1,5
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,8,0,0,9,8,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,1,1,3,2,5
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,2,4,3,5,5,10
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,18,33,5,0,23,33,56
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,2,1,4,2,6
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,2,0,1,3,3,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,2,4,1,6,3,9
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,16,1,0,5,16,21
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,3,1,0,1,3,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,5,0,5,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,0,1,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,2,0,3,3,5,8
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,5,4,5,7,10,17
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,2,1,1,4,3,7
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,6,6,5,14,11,25
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,7,1,1,5,8,13
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,7,1,1,10,8,18
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,26,21,5,1,31,22,53
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,75,71,2,4,77,75,152
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,345,293,5,10,350,303,653
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,11,13,12,13,25
LAJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,8,0,0,5,8,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,1,0,3,1,4
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,3,4,5,5,8,13
LLICA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,1,0,0,3,1,4
LORETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,2,0,1,0,3,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,1,0,0,3,1,4
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,3,2,2,5,5,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,0,1,0,9,0,9
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,6,12,0,1,6,13,19
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,8,1,1,10,9,19
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,2,1,2,2,4,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,2,1,0,3,2,5
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,22,25,2,6,24,31,55
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,6,1,1,12,7,19
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,3,0,2,7,5,12
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,22,15,1,0,23,15,38
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,96,96,4,6,100,102,202
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,1,1,0,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,2,9,7,9,9,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,4,3,3,4,7,11
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,6,3,0,0,6,3,9
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,1,3,6,4,7,11
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,13,13,0,0,13,13,26
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,1,5,5,7,6,13
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,170,146,7,6,177,152,329
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,3,3,1,11,4,15
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,7,5,1,2,8,7,15
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,6,3,16,7,22,10,32
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,10,9,0,2,10,11,21
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,2,0,0,11,2,13
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,12,0,0,5,12,17
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,0,0,1,3,1,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,1,0,2,0,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,0,1,5,2,5,7
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,2,3,1,3,3,6,9
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,3,2,1,1,4,3,7
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,1,4,5,5,6,11
POCONA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,8,3,6,8,14,22
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,9,1,1,2,10,3,13
POROMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,4,3,11,6,15,9,24
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,6,1,2,6,8,14
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,8,3,1,2,9,5,14
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,193,176,11,16,204,192,396
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,3,6,3,11,6,17
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,10,7,5,18,15,33
