municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
JESUS DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,21,21
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,225,225
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9654,9654
LA RIVERA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,23,23
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,54,54
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,22,22
LORETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
LURIBAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
MAIRANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,47,47
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,15,15
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,100,100
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
MOCOMOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,62,62
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1153,1153
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
MOROCHATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
NAZACARA DE PACAJES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,37,37
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,671,671
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,48,48
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,11,11
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,51,51
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
PAMPA GRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,13,13
PAPEL PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
PASORAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,33,33
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,6,6
POOPO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,28,28
PORCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,11,11
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
PORTACHUELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,15,15
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,30,30
POSTRER VALLE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,284,284
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
PUCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,45,45
PUERTO ACOSTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
PUERTO QUIJARRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,20,20
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,29,29
PUERTO SILES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
PUERTO SUAREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,34,34
PUNA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,17,17
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,56,56
QUIABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,101,101
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,29,29
QUIRUSILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
RAVELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,31,31
REYES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
RIBERALTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,194,194
ROBORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,45,45
RURRENABAQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,30,30
SABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SACABA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,139,139
SACABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
SACACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,11,11
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
SAMAIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,19,19
SAN AGUSTIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,17,17
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
SAN BENITO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,34,34
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,6,6
SAN CARLOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,68,68
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,39,39
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SAN JAVIER(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
SAN JOAQUIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,22,22
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,55,55
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,47,47
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,109,109
SAN LUCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,27,27
SAN MATIAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,19,19
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,22,22
SAN PABLO DE LIPEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,30,30
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,16,16
SAN PEDRO DE CURAHUARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
SAN PEDRO DE QUEMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,16,16
SAN PEDRO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,8,8
SAN RAMON BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
SAN RAMON SCZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
SANTA ANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,19,19
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,11303,11303
SANTA ROSA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
SANTA ROSA DEL SARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,64,64
SANTIAGO DE CALLAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
SANTIAGO DE HUARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
SANTIAGO DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SANTIVAÑES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,18,18
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,37,37
SICAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,32,32
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,28,28
SORACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,21,21
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1312,1312
TACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
TACOBAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,26,26
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,16,16
TARATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,6,6
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,651,651
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,20,20
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
TIAWANACU,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,19,19
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,33,33
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,62,62
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,19,19
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
