,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SACABA,estado nutricional,l talla normal,2012-07-01,1383,1295,888,872,685,724,2956,2891,5847
SACABAMBA,estado nutricional,l talla normal,2012-07-01,43,24,24,37,30,25,97,86,183
SACACA,estado nutricional,l talla normal,2012-07-01,184,186,106,122,123,140,413,448,861
SAIPINA,estado nutricional,l talla normal,2012-07-01,56,37,43,50,39,29,138,116,254
SALINAS DE GARCI MENDOZA,estado nutricional,l talla normal,2012-07-01,109,95,74,91,87,87,270,273,543
SAMAIPATA,estado nutricional,l talla normal,2012-07-01,67,69,55,56,45,33,167,158,325
SAN AGUSTIN,estado nutricional,l talla normal,2012-07-01,9,10,8,7,11,5,28,22,50
SAN ANDRES,estado nutricional,l talla normal,2012-07-01,95,97,87,110,110,110,292,317,609
SAN ANDRES DE MACHACA,estado nutricional,l talla normal,2012-07-01,23,19,18,20,12,7,53,46,99
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla normal,2012-07-01,13,12,5,8,5,10,23,30,53
SAN ANTONIO DE LOMERIO,estado nutricional,l talla normal,2012-07-01,72,68,66,64,97,97,235,229,464
SAN BENITO,estado nutricional,l talla normal,2012-07-01,114,113,98,95,69,93,281,301,582
SAN BORJA,estado nutricional,l talla normal,2012-07-01,378,321,286,246,252,260,916,827,1743
SAN BUENA VENTURA,estado nutricional,l talla normal,2012-07-01,75,73,39,40,52,34,166,147,313
SAN CARLOS,estado nutricional,l talla normal,2012-07-01,269,271,230,168,178,141,677,580,1257
SAN IGNACIO,estado nutricional,l talla normal,2012-07-01,318,248,248,245,322,339,888,832,1720
SAN IGNACIO DE VELASCO,estado nutricional,l talla normal,2012-07-01,640,617,523,488,449,438,1612,1543,3155
SAN JAVIER(BNI),estado nutricional,l talla normal,2012-07-01,14,20,11,15,27,17,52,52,104
SAN JAVIER(STC),estado nutricional,l talla normal,2012-07-01,86,91,42,40,70,48,198,179,377
SAN JOAQUIN,estado nutricional,l talla normal,2012-07-01,72,53,31,32,38,21,141,106,247
SAN JOSE DE CHIQUITOS,estado nutricional,l talla normal,2012-07-01,121,110,76,87,65,56,262,253,515
SAN JUAN DE YAPACANI,estado nutricional,l talla normal,2012-07-01,79,55,62,50,52,54,193,159,352
SAN JULIAN,estado nutricional,l talla normal,2012-07-01,314,309,206,196,206,205,726,710,1436
SAN LORENZO(PND),estado nutricional,l talla normal,2012-07-01,53,53,47,46,37,46,137,145,282
SAN LORENZO(TJA),estado nutricional,l talla normal,2012-07-01,233,225,174,166,164,158,571,549,1120
SAN LUCAS,estado nutricional,l talla normal,2012-07-01,145,148,117,96,241,332,503,576,1079
SAN MATIAS,estado nutricional,l talla normal,2012-07-01,142,117,82,74,79,73,303,264,567
SAN MIGUEL DE VELASCO,estado nutricional,l talla normal,2012-07-01,130,118,93,92,58,59,281,269,550
SAN PABLO DE LIPEZ,estado nutricional,l talla normal,2012-07-01,14,14,9,11,4,8,27,33,60
SAN PEDRO,estado nutricional,l talla normal,2012-07-01,152,134,133,102,146,120,431,356,787
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla normal,2012-07-01,251,212,159,187,131,157,541,556,1097
SAN PEDRO DE CURAHUARA,estado nutricional,l talla normal,2012-07-01,45,33,42,43,34,39,121,115,236
SAN PEDRO DE QUEMES,estado nutricional,l talla normal,2012-07-01,2,2,3,4,0,5,5,11,16
SAN PEDRO DE TIQUINA,estado nutricional,l talla normal,2012-07-01,25,23,20,24,22,24,67,71,138
SAN PEDRO(PND),estado nutricional,l talla normal,2012-07-01,13,13,10,8,7,15,30,36,66
SAN RAFAEL,estado nutricional,l talla normal,2012-07-01,58,66,59,54,36,35,153,155,308
SAN RAMON BENI,estado nutricional,l talla normal,2012-07-01,45,32,15,21,21,43,81,96,177
SAN RAMON SCZ,estado nutricional,l talla normal,2012-07-01,40,43,38,32,41,38,119,113,232
SANTA ANA,estado nutricional,l talla normal,2012-07-01,184,167,104,82,98,101,386,350,736
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla normal,2012-07-01,7252,6390,3712,3444,3077,2849,14041,12683,26724
SANTA ROSA,estado nutricional,l talla normal,2012-07-01,108,106,62,68,55,64,225,238,463
SANTA ROSA DEL SARA,estado nutricional,l talla normal,2012-07-01,121,123,86,91,55,59,262,273,535
SANTIAGO DE CALLAPA,estado nutricional,l talla normal,2012-07-01,19,26,22,27,13,14,54,67,121
SANTIAGO DE HUARI,estado nutricional,l talla normal,2012-07-01,89,95,28,48,73,75,190,218,408
SANTIAGO DE HUATA,estado nutricional,l talla normal,2012-07-01,40,41,24,35,33,25,97,101,198
SANTIAGO DE MACHACA,estado nutricional,l talla normal,2012-07-01,22,17,24,14,13,18,59,49,108
SANTIVAÑES,estado nutricional,l talla normal,2012-07-01,41,51,28,32,39,46,108,129,237
SANTUARIO DE QUILLACAS,estado nutricional,l talla normal,2012-07-01,29,29,36,39,28,15,93,83,176
SAPAHAQUI,estado nutricional,l talla normal,2012-07-01,62,52,48,40,54,53,164,145,309
SENA,estado nutricional,l talla normal,2012-07-01,55,45,29,28,25,29,109,102,211
SHINAOTA,estado nutricional,l talla normal,2012-07-01,390,298,265,210,208,200,863,708,1571
SICA SICA (VILLA AROMA),estado nutricional,l talla normal,2012-07-01,154,159,134,129,147,146,435,434,869
SICAYA,estado nutricional,l talla normal,2012-07-01,31,35,37,24,14,12,82,71,153
SIPE SIPE,estado nutricional,l talla normal,2012-07-01,406,382,227,234,194,189,827,805,1632
SOPACHUY,estado nutricional,l talla normal,2012-07-01,67,55,35,47,60,64,162,166,328
SORACACHI,estado nutricional,l talla normal,2012-07-01,98,107,77,75,111,98,286,280,566
SORATA,estado nutricional,l talla normal,2012-07-01,116,107,93,95,99,75,308,277,585
SUCRE,estado nutricional,l talla normal,2012-07-01,2754,2660,2254,2174,2126,1986,7134,6820,13954
TACACHI,estado nutricional,l talla normal,2012-07-01,6,0,3,6,2,11,11,17,28
TACACOMA,estado nutricional,l talla normal,2012-07-01,65,46,41,45,42,30,148,121,269
TACOBAMBA,estado nutricional,l talla normal,2012-07-01,66,78,60,49,42,41,168,168,336
TACOPAYA,estado nutricional,l talla normal,2012-07-01,79,85,44,67,117,110,240,262,502
TAHUA,estado nutricional,l talla normal,2012-07-01,3,7,4,6,1,1,8,14,22
TAPACARI,estado nutricional,l talla normal,2012-07-01,158,170,123,132,118,110,399,412,811
TARABUCO,estado nutricional,l talla normal,2012-07-01,123,95,92,102,144,145,359,342,701
TARACO,estado nutricional,l talla normal,2012-07-01,17,16,22,11,28,25,67,52,119
TARATA,estado nutricional,l talla normal,2012-07-01,78,91,57,72,49,35,184,198,382
TARIJA,estado nutricional,l talla normal,2012-07-01,1607,1401,1090,987,965,878,3662,3266,6928
TARVITA,estado nutricional,l talla normal,2012-07-01,127,128,86,86,156,152,369,366,735
TEOPONTE,estado nutricional,l talla normal,2012-07-01,123,123,78,53,79,107,280,283,563
TIAWANACU,estado nutricional,l talla normal,2012-07-01,77,68,74,57,53,54,204,179,383
TINGUIPAYA,estado nutricional,l talla normal,2012-07-01,146,120,124,109,113,120,383,349,732
TIPUANI,estado nutricional,l talla normal,2012-07-01,124,73,67,53,68,98,259,224,483
TIQUIPAYA,estado nutricional,l talla normal,2012-07-01,593,571,405,349,434,449,1432,1369,2801
TIRAQUE (CBBA),estado nutricional,l talla normal,2012-07-01,168,148,132,138,72,67,372,353,725
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla normal,2012-07-01,4,5,2,6,3,6,9,17,26
TOCO,estado nutricional,l talla normal,2012-07-01,37,43,34,31,47,41,118,115,233
TODOS SANTOS,estado nutricional,l talla normal,2012-07-01,2,1,3,3,0,0,5,4,9
TOLATA,estado nutricional,l talla normal,2012-07-01,42,52,37,31,36,43,115,126,241
TOLEDO,estado nutricional,l talla normal,2012-07-01,32,41,39,33,30,42,101,116,217
TOMAVE,estado nutricional,l talla normal,2012-07-01,75,78,75,62,59,72,209,212,421
TOMINA,estado nutricional,l talla normal,2012-07-01,77,72,59,67,113,125,249,264,513
TORO TORO,estado nutricional,l talla normal,2012-07-01,84,77,67,63,66,66,217,206,423
TOTORA(CBBA),estado nutricional,l talla normal,2012-07-01,196,107,115,127,48,62,359,296,655
TOTORA(ORR),estado nutricional,l talla normal,2012-07-01,52,34,23,34,23,31,98,99,197
TRIGAL,estado nutricional,l talla normal,2012-07-01,8,7,16,12,7,12,31,31,62
TRINIDAD,estado nutricional,l talla normal,2012-07-01,848,797,477,496,387,410,1712,1703,3415
TUPIZA,estado nutricional,l talla normal,2012-07-01,296,288,221,189,227,228,744,705,1449
TURCO,estado nutricional,l talla normal,2012-07-01,35,38,24,28,33,23,92,89,181
UMALA,estado nutricional,l talla normal,2012-07-01,54,62,37,50,74,63,165,175,340
UNCIA,estado nutricional,l talla normal,2012-07-01,135,149,112,113,87,82,334,344,678
URIONDO (A. CONCEPCION),estado nutricional,l talla normal,2012-07-01,110,126,114,105,132,133,356,364,720
URUBICHA,estado nutricional,l talla normal,2012-07-01,73,72,70,58,8,12,151,142,293
UYUNI,estado nutricional,l talla normal,2012-07-01,200,225,110,133,68,64,378,422,800
VACAS,estado nutricional,l talla normal,2012-07-01,74,83,73,61,60,70,207,214,421
VALLEGRANDE,estado nutricional,l talla normal,2012-07-01,99,115,96,92,64,53,259,260,519
VIACHA,estado nutricional,l talla normal,2012-07-01,353,353,274,258,173,169,800,780,1580
VILA VILA,estado nutricional,l talla normal,2012-07-01,41,55,20,27,49,58,110,140,250
VILLA CHARCAS,estado nutricional,l talla normal,2012-07-01,160,148,88,104,132,109,380,361,741
VILLA MONTES,estado nutricional,l talla normal,2012-07-01,313,341,227,221,230,222,770,784,1554
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla normal,2012-07-01,31,35,19,32,31,44,81,111,192
VILLA RIVERO,estado nutricional,l talla normal,2012-07-01,97,62,76,77,64,39,237,178,415
VILLA SERRANO,estado nutricional,l talla normal,2012-07-01,81,69,84,100,130,129,295,298,593
VILLA TUNARI,estado nutricional,l talla normal,2012-07-01,922,794,791,703,661,593,2374,2090,4464
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla normal,2012-07-01,74,75,63,79,116,83,253,237,490
VILLAZON,estado nutricional,l talla normal,2012-07-01,300,299,271,231,276,266,847,796,1643
VINTO,estado nutricional,l talla normal,2012-07-01,410,306,263,208,128,154,801,668,1469
VITICHI,estado nutricional,l talla normal,2012-07-01,57,65,72,61,52,77,181,203,384
WALDO BALLIVIAN,estado nutricional,l talla normal,2012-07-01,10,12,11,13,5,8,26,33,59
WARNES,estado nutricional,l talla normal,2012-07-01,470,429,326,350,294,279,1090,1058,2148
YACO,estado nutricional,l talla normal,2012-07-01,51,60,54,56,48,29,153,145,298
YACUIBA,estado nutricional,l talla normal,2012-07-01,686,593,459,429,391,418,1536,1440,2976
YAMPARAEZ,estado nutricional,l talla normal,2012-07-01,49,51,37,45,84,103,170,199,369
YANACACHI,estado nutricional,l talla normal,2012-07-01,50,43,50,50,44,46,144,139,283
YAPACANI,estado nutricional,l talla normal,2012-07-01,469,482,358,347,285,274,1112,1103,2215
YOCALLA,estado nutricional,l talla normal,2012-07-01,90,78,61,61,87,73,238,212,450
YOTALA,estado nutricional,l talla normal,2012-07-01,67,60,58,50,123,120,248,230,478
YUNCHARA,estado nutricional,l talla normal,2012-07-01,33,42,25,31,74,60,132,133,265
YUNGUYO DE LITORAL,estado nutricional,l talla normal,2012-07-01,2,0,0,0,0,0,2,0,2
ZUDAÑEZ,estado nutricional,l talla normal,2012-07-01,55,48,36,43,85,103,176,194,370
ACACIO,estado nutricional,l talla normal,2012-08-01,45,40,34,37,38,39,117,116,233
ACHACACHI,estado nutricional,l talla normal,2012-08-01,249,283,216,239,266,227,731,749,1480
ACHOCALLA,estado nutricional,l talla normal,2012-08-01,64,55,54,54,48,50,166,159,325
AIQUILE,estado nutricional,l talla normal,2012-08-01,269,288,240,206,243,243,752,737,1489
ALALAY,estado nutricional,l talla normal,2012-08-01,19,16,23,19,11,18,53,53,106
ALCALA,estado nutricional,l talla normal,2012-08-01,31,23,18,26,53,40,102,89,191
ALTO BENI,estado nutricional,l talla normal,2012-08-01,107,89,80,79,87,99,274,267,541
ANCORAIMES,estado nutricional,l talla normal,2012-08-01,63,73,64,73,90,90,217,236,453
ANDAMARCA,estado nutricional,l talla normal,2012-08-01,23,20,11,16,25,45,59,81,140
ANTEQUERA,estado nutricional,l talla normal,2012-08-01,31,32,29,21,26,25,86,78,164
ANZALDO,estado nutricional,l talla normal,2012-08-01,61,62,45,50,46,38,152,150,302
APOLO,estado nutricional,l talla normal,2012-08-01,225,241,139,131,221,187,585,559,1144
ARAMPAMPA,estado nutricional,l talla normal,2012-08-01,38,40,23,28,32,25,93,93,186
ARANI,estado nutricional,l talla normal,2012-08-01,130,98,91,91,86,75,307,264,571
ARBIETO,estado nutricional,l talla normal,2012-08-01,112,124,120,101,137,132,369,357,726
ARQUE,estado nutricional,l talla normal,2012-08-01,103,87,82,71,72,54,257,212,469
ASCENCION DE GUARAYOS,estado nutricional,l talla normal,2012-08-01,245,240,165,193,261,271,671,704,1375
ATOCHA,estado nutricional,l talla normal,2012-08-01,111,107,64,71,117,90,292,268,560
AUCAPATA,estado nutricional,l talla normal,2012-08-01,36,46,24,32,32,35,92,113,205
AYATA,estado nutricional,l talla normal,2012-08-01,72,81,45,61,31,34,148,176,324
AYO AYO,estado nutricional,l talla normal,2012-08-01,56,77,36,46,35,45,127,168,295
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-08-01,258,246,206,153,186,185,650,584,1234
AZURDUY,estado nutricional,l talla normal,2012-08-01,70,101,71,68,92,109,233,278,511
BATALLAS,estado nutricional,l talla normal,2012-08-01,149,130,83,104,75,78,307,312,619
BAURES,estado nutricional,l talla normal,2012-08-01,41,48,34,18,45,28,120,94,214
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-08-01,24,17,8,10,18,19,50,46,96
BELEN DE URMIRI,estado nutricional,l talla normal,2012-08-01,12,16,6,9,12,13,30,38,68
BELLA FLOR,estado nutricional,l talla normal,2012-08-01,30,21,31,19,45,70,106,110,216
BERMEJO,estado nutricional,l talla normal,2012-08-01,287,300,268,243,194,199,749,742,1491
BETANZOS,estado nutricional,l talla normal,2012-08-01,290,245,183,231,241,225,714,701,1415
BOLIVAR,estado nutricional,l talla normal,2012-08-01,52,50,19,27,60,55,131,132,263
BOLPEBRA,estado nutricional,l talla normal,2012-08-01,17,13,16,27,24,28,57,68,125
BOYUIBE,estado nutricional,l talla normal,2012-08-01,34,31,23,27,34,43,91,101,192
BUENA VISTA,estado nutricional,l talla normal,2012-08-01,102,101,100,80,75,71,277,252,529
CABEZAS,estado nutricional,l talla normal,2012-08-01,157,122,99,112,102,71,358,305,663
CAIROMA,estado nutricional,l talla normal,2012-08-01,57,65,44,42,62,61,163,168,331
"CAIZA ""D""",estado nutricional,l talla normal,2012-08-01,78,74,68,74,46,56,192,204,396
CAJUATA,estado nutricional,l talla normal,2012-08-01,74,87,82,73,66,54,222,214,436
CALACOTO,estado nutricional,l talla normal,2012-08-01,39,33,29,50,33,24,101,107,208
CALAMARCA,estado nutricional,l talla normal,2012-08-01,64,90,76,77,62,81,202,248,450
CAMARGO,estado nutricional,l talla normal,2012-08-01,116,111,69,88,113,115,298,314,612
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-08-01,33,32,26,13,43,49,102,94,196
CAMIRI,estado nutricional,l talla normal,2012-08-01,358,326,293,212,430,368,1081,906,1987
CAPINOTA,estado nutricional,l talla normal,2012-08-01,81,76,70,65,43,42,194,183,377
CAQUIAVIRI,estado nutricional,l talla normal,2012-08-01,66,56,33,55,60,42,159,153,312
CARACOLLO,estado nutricional,l talla normal,2012-08-01,174,179,139,127,144,145,457,451,908
CARANAVI,estado nutricional,l talla normal,2012-08-01,406,386,292,299,202,205,900,890,1790
CARANGAS,estado nutricional,l talla normal,2012-08-01,2,3,2,3,2,2,6,8,14
CARAPARI,estado nutricional,l talla normal,2012-08-01,136,144,139,118,107,86,382,348,730
CARIPUYO,estado nutricional,l talla normal,2012-08-01,59,80,45,59,57,44,161,183,344
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-08-01,41,34,20,12,21,19,82,65,147
CATACORA,estado nutricional,l talla normal,2012-08-01,5,4,16,3,3,5,24,12,36
CHACARILLA,estado nutricional,l talla normal,2012-08-01,9,3,6,3,5,8,20,14,34
CHALLAPATA,estado nutricional,l talla normal,2012-08-01,300,326,199,177,253,218,752,721,1473
CHAQUI,estado nutricional,l talla normal,2012-08-01,52,52,41,38,21,30,114,120,234
CHARAGUA,estado nutricional,l talla normal,2012-08-01,287,248,180,165,230,246,697,659,1356
CHARAÑA,estado nutricional,l talla normal,2012-08-01,14,10,18,17,9,14,41,41,82
CHAYANTA,estado nutricional,l talla normal,2012-08-01,109,128,80,99,108,143,297,370,667
CHIMORE,estado nutricional,l talla normal,2012-08-01,100,92,90,83,82,62,272,237,509
CHIPAYA,estado nutricional,l talla normal,2012-08-01,17,19,10,18,24,19,51,56,107
CHOQUE COTA,estado nutricional,l talla normal,2012-08-01,6,10,8,5,13,12,27,27,54
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-08-01,108,109,63,67,74,45,245,221,466
CHUMA,estado nutricional,l talla normal,2012-08-01,71,54,57,81,44,42,172,177,349
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-08-01,54,48,44,40,37,33,135,121,256
CKOCHAS,estado nutricional,l talla normal,2012-08-01,130,131,106,100,57,80,293,311,604
CLIZA,estado nutricional,l talla normal,2012-08-01,153,131,108,80,105,106,366,317,683
COBIJA,estado nutricional,l talla normal,2012-08-01,509,481,355,302,261,261,1125,1044,2169
COCAPATA,estado nutricional,l talla normal,2012-08-01,181,155,115,120,139,145,435,420,855
COCHABAMBA,estado nutricional,l talla normal,2012-08-01,3419,3156,2094,1989,1445,1396,6958,6541,13499
COIPASA,estado nutricional,l talla normal,2012-08-01,6,5,8,4,5,6,19,15,34
COLCAPIRHUA,estado nutricional,l talla normal,2012-08-01,454,340,312,234,273,251,1039,825,1864
"COLCHA ""K""",estado nutricional,l talla normal,2012-08-01,126,121,128,124,93,107,347,352,699
COLLANA,estado nutricional,l talla normal,2012-08-01,25,19,18,20,19,18,62,57,119
COLOMI,estado nutricional,l talla normal,2012-08-01,181,160,125,108,82,75,388,343,731
COLPA BELGICA,estado nutricional,l talla normal,2012-08-01,10,5,2,0,0,2,12,7,19
COLQUECHACA,estado nutricional,l talla normal,2012-08-01,256,266,209,238,142,125,607,629,1236
COLQUENCHA,estado nutricional,l talla normal,2012-08-01,54,56,50,80,33,30,137,166,303
COLQUIRI,estado nutricional,l talla normal,2012-08-01,162,157,109,115,91,90,362,362,724
COMANCHE,estado nutricional,l talla normal,2012-08-01,17,13,20,13,8,12,45,38,83
COMARAPA,estado nutricional,l talla normal,2012-08-01,155,112,122,137,52,63,329,312,641
COMBAYA,estado nutricional,l talla normal,2012-08-01,27,17,19,20,25,34,71,71,142
CONCEPCION,estado nutricional,l talla normal,2012-08-01,137,150,109,103,108,130,354,383,737
COPACABANA,estado nutricional,l talla normal,2012-08-01,78,59,49,50,74,66,201,175,376
CORIPATA,estado nutricional,l talla normal,2012-08-01,160,139,129,103,102,118,391,360,751
CORO CORO,estado nutricional,l talla normal,2012-08-01,48,61,52,40,43,52,143,153,296
COROICO,estado nutricional,l talla normal,2012-08-01,115,107,90,75,104,106,309,288,597
CORQUE,estado nutricional,l talla normal,2012-08-01,46,63,51,41,49,47,146,151,297
COTAGAITA,estado nutricional,l talla normal,2012-08-01,165,167,108,125,137,149,410,441,851
COTOCA,estado nutricional,l talla normal,2012-08-01,379,347,203,183,163,184,745,714,1459
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-08-01,2,0,2,0,2,2,6,2,8
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-08-01,138,152,121,112,139,144,398,408,806
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-08-01,9,8,12,8,10,6,31,22,53
CUEVO,estado nutricional,l talla normal,2012-08-01,23,45,32,26,52,30,107,101,208
CULPINA,estado nutricional,l talla normal,2012-08-01,156,168,120,146,189,166,465,480,945
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-08-01,38,44,33,39,49,33,120,116,236
CURVA,estado nutricional,l talla normal,2012-08-01,30,29,11,21,29,10,70,60,130
DESAGUADERO,estado nutricional,l talla normal,2012-08-01,25,28,34,23,28,27,87,78,165
EL ALTO,estado nutricional,l talla normal,2012-08-01,5265,4965,3596,3643,2896,2686,11757,11294,23051
EL CHORO,estado nutricional,l talla normal,2012-08-01,59,66,38,54,55,62,152,182,334
EL PUENTE(STC),estado nutricional,l talla normal,2012-08-01,119,102,115,113,95,93,329,308,637
EL PUENTE(TJA),estado nutricional,l talla normal,2012-08-01,81,79,73,77,109,115,263,271,534
EL TORNO,estado nutricional,l talla normal,2012-08-01,474,457,314,266,233,262,1021,985,2006
