,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
BUENA VISTA,estado nutricional,l talla baja,2012-07-01,0,1,0,1,3,1,3,3,6
CABEZAS,estado nutricional,l talla baja,2012-07-01,0,0,5,3,2,2,7,5,12
CAIROMA,estado nutricional,l talla baja,2012-07-01,8,11,18,14,12,18,38,43,81
"CAIZA ""D""",estado nutricional,l talla baja,2012-07-01,6,4,25,11,18,19,49,34,83
CAJUATA,estado nutricional,l talla baja,2012-07-01,4,2,8,4,5,5,17,11,28
CALACOTO,estado nutricional,l talla baja,2012-07-01,3,0,8,7,7,5,18,12,30
CALAMARCA,estado nutricional,l talla baja,2012-07-01,15,11,18,18,23,24,56,53,109
CAMARGO,estado nutricional,l talla baja,2012-07-01,13,10,37,20,62,53,112,83,195
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla baja,2012-07-01,2,1,5,2,12,6,19,9,28
CAMIRI,estado nutricional,l talla baja,2012-07-01,3,6,7,5,6,8,16,19,35
CAPINOTA,estado nutricional,l talla baja,2012-07-01,8,8,10,12,10,25,28,45,73
CAQUIAVIRI,estado nutricional,l talla baja,2012-07-01,4,8,14,15,12,9,30,32,62
CARACOLLO,estado nutricional,l talla baja,2012-07-01,18,15,59,20,27,26,104,61,165
CARANAVI,estado nutricional,l talla baja,2012-07-01,19,29,43,32,38,44,100,105,205
CARANGAS,estado nutricional,l talla baja,2012-07-01,0,0,1,0,0,0,1,0,1
CARAPARI,estado nutricional,l talla baja,2012-07-01,4,4,8,5,8,1,20,10,30
CARIPUYO,estado nutricional,l talla baja,2012-07-01,8,13,38,36,74,77,120,126,246
CARMEN RIVERO TORREZ,estado nutricional,l talla baja,2012-07-01,0,1,3,0,3,2,6,3,9
CATACORA,estado nutricional,l talla baja,2012-07-01,0,0,7,1,2,1,9,2,11
CHACARILLA,estado nutricional,l talla baja,2012-07-01,2,1,3,0,1,0,6,1,7
CHALLAPATA,estado nutricional,l talla baja,2012-07-01,32,19,77,43,51,44,160,106,266
CHAQUI,estado nutricional,l talla baja,2012-07-01,10,7,18,15,19,19,47,41,88
CHARAGUA,estado nutricional,l talla baja,2012-07-01,2,4,8,8,13,14,23,26,49
CHARAÑA,estado nutricional,l talla baja,2012-07-01,1,0,2,1,1,3,4,4,8
CHAYANTA,estado nutricional,l talla baja,2012-07-01,12,15,42,15,25,32,79,62,141
CHIMORE,estado nutricional,l talla baja,2012-07-01,2,2,9,5,8,5,19,12,31
CHIPAYA,estado nutricional,l talla baja,2012-07-01,2,0,7,5,8,6,17,11,28
CHOQUE COTA,estado nutricional,l talla baja,2012-07-01,1,2,0,2,0,3,1,7,8
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla baja,2012-07-01,3,2,7,3,2,3,12,8,20
CHUMA,estado nutricional,l talla baja,2012-07-01,8,12,19,12,20,23,47,47,94
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla baja,2012-07-01,1,9,10,11,14,9,25,29,54
CKOCHAS,estado nutricional,l talla baja,2012-07-01,29,31,55,45,56,55,140,131,271
CLIZA,estado nutricional,l talla baja,2012-07-01,9,5,25,15,8,11,42,31,73
COBIJA,estado nutricional,l talla baja,2012-07-01,15,10,42,14,27,24,84,48,132
COCAPATA,estado nutricional,l talla baja,2012-07-01,25,12,66,41,76,79,167,132,299
COCHABAMBA,estado nutricional,l talla baja,2012-07-01,99,87,182,161,131,127,412,375,787
COIPASA,estado nutricional,l talla baja,2012-07-01,0,0,0,0,1,1,1,1,2
COLCAPIRHUA,estado nutricional,l talla baja,2012-07-01,5,8,14,7,26,14,45,29,74
"COLCHA ""K""",estado nutricional,l talla baja,2012-07-01,4,9,20,10,7,7,31,26,57
COLLANA,estado nutricional,l talla baja,2012-07-01,7,1,3,2,2,4,12,7,19
COLOMI,estado nutricional,l talla baja,2012-07-01,8,8,27,13,18,16,53,37,90
COLQUECHACA,estado nutricional,l talla baja,2012-07-01,74,53,159,114,82,89,315,256,571
COLQUENCHA,estado nutricional,l talla baja,2012-07-01,22,3,23,14,14,12,59,29,88
COLQUIRI,estado nutricional,l talla baja,2012-07-01,13,12,23,19,36,25,72,56,128
COMANCHE,estado nutricional,l talla baja,2012-07-01,5,3,10,7,3,4,18,14,32
COMARAPA,estado nutricional,l talla baja,2012-07-01,6,1,18,5,6,8,30,14,44
COMBAYA,estado nutricional,l talla baja,2012-07-01,0,0,3,3,4,7,7,10,17
CONCEPCION,estado nutricional,l talla baja,2012-07-01,7,5,7,4,6,13,20,22,42
COPACABANA,estado nutricional,l talla baja,2012-07-01,6,2,8,1,3,5,17,8,25
CORIPATA,estado nutricional,l talla baja,2012-07-01,1,1,2,3,8,6,11,10,21
CORO CORO,estado nutricional,l talla baja,2012-07-01,8,5,31,15,11,13,50,33,83
COROICO,estado nutricional,l talla baja,2012-07-01,0,2,8,10,9,13,17,25,42
CORQUE,estado nutricional,l talla baja,2012-07-01,8,7,29,15,10,9,47,31,78
COTAGAITA,estado nutricional,l talla baja,2012-07-01,22,7,43,29,84,82,149,118,267
COTOCA,estado nutricional,l talla baja,2012-07-01,4,2,4,3,1,2,9,7,16
CUATRO CAÑADAS,estado nutricional,l talla baja,2012-07-01,4,4,8,2,10,3,22,9,31
CUEVO,estado nutricional,l talla baja,2012-07-01,6,4,7,7,11,11,24,22,46
CULPINA,estado nutricional,l talla baja,2012-07-01,22,20,41,32,51,50,114,102,216
CURAHUARA DE CARANGAS,estado nutricional,l talla baja,2012-07-01,8,3,10,6,15,8,33,17,50
CURVA,estado nutricional,l talla baja,2012-07-01,4,3,7,4,10,8,21,15,36
DESAGUADERO,estado nutricional,l talla baja,2012-07-01,3,1,10,0,1,0,14,1,15
EL ALTO,estado nutricional,l talla baja,2012-07-01,481,274,652,442,384,296,1517,1012,2529
EL CHORO,estado nutricional,l talla baja,2012-07-01,3,2,10,2,11,15,24,19,43
EL PUENTE(STC),estado nutricional,l talla baja,2012-07-01,4,7,2,6,6,5,12,18,30
EL PUENTE(TJA),estado nutricional,l talla baja,2012-07-01,3,4,18,12,16,13,37,29,66
EL TORNO,estado nutricional,l talla baja,2012-07-01,2,1,10,6,9,10,21,17,38
EL VILLAR,estado nutricional,l talla baja,2012-07-01,1,0,2,5,10,10,13,15,28
ENTRE RIOS TRJ,estado nutricional,l talla baja,2012-07-01,5,6,9,4,16,18,30,28,58
ENTRE RIOS CBBA,estado nutricional,l talla baja,2012-07-01,2,7,11,13,24,13,37,33,70
ESCARA,estado nutricional,l talla baja,2012-07-01,0,0,0,0,2,0,2,0,2
ESCOMA,estado nutricional,l talla baja,2012-07-01,0,1,6,2,2,1,8,4,12
ESMERALDA,estado nutricional,l talla baja,2012-07-01,0,0,0,0,1,0,1,0,1
EUCALIPTUS,estado nutricional,l talla baja,2012-07-01,3,4,8,5,10,12,21,21,42
EUREKA (SANTOS MERCADO),estado nutricional,l talla baja,2012-07-01,0,0,2,3,3,3,5,6,11
EXALTACION,estado nutricional,l talla baja,2012-07-01,1,1,3,1,4,1,8,3,11
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-07-01,2,0,5,2,4,4,11,6,17
FILADELFIA,estado nutricional,l talla baja,2012-07-01,1,0,2,1,1,1,4,2,6
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-07-01,2,1,2,0,1,1,5,2,7
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-07-01,14,9,27,10,28,29,69,48,117
GUANAY,estado nutricional,l talla baja,2012-07-01,7,4,12,8,12,14,31,26,57
GUAQUI,estado nutricional,l talla baja,2012-07-01,5,5,7,2,7,4,19,11,30
GUAYARAMERIN,estado nutricional,l talla baja,2012-07-01,35,21,41,23,27,20,103,64,167
GUTIERREZ,estado nutricional,l talla baja,2012-07-01,5,3,29,19,45,47,79,69,148
HUACARETA,estado nutricional,l talla baja,2012-07-01,0,0,12,6,15,6,27,12,39
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-07-01,2,0,7,2,7,5,16,7,23
HUACHACALLA,estado nutricional,l talla baja,2012-07-01,1,0,0,0,3,2,4,2,6
HUANUNI,estado nutricional,l talla baja,2012-07-01,32,17,54,23,33,30,119,70,189
HUARACAJE,estado nutricional,l talla baja,2012-07-01,1,0,2,3,1,1,4,4,8
HUARINA,estado nutricional,l talla baja,2012-07-01,2,3,2,1,4,11,8,15,23
HUAYLLAMARCA,estado nutricional,l talla baja,2012-07-01,1,0,2,0,7,8,10,8,18
HUMANATA,estado nutricional,l talla baja,2012-07-01,3,5,13,7,7,5,23,17,40
ICHOCA,estado nutricional,l talla baja,2012-07-01,1,1,9,6,8,11,18,18,36
ICLA,estado nutricional,l talla baja,2012-07-01,5,7,35,23,101,90,141,120,261
INCAHUASI,estado nutricional,l talla baja,2012-07-01,13,9,41,23,40,43,94,75,169
INGAVI (HUMAITA),estado nutricional,l talla baja,2012-07-01,0,0,0,0,0,1,0,1,1
INQUISIVI,estado nutricional,l talla baja,2012-07-01,6,4,7,9,3,7,16,20,36
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-07-01,1,1,1,1,2,2,4,4,8
IXIAMAS,estado nutricional,l talla baja,2012-07-01,0,2,4,1,3,3,7,6,13
JESUS DE MACHACA,estado nutricional,l talla baja,2012-07-01,8,5,9,15,11,13,28,33,61
LA ASUNTA,estado nutricional,l talla baja,2012-07-01,9,16,25,20,17,37,51,73,124
LA GUARDIA,estado nutricional,l talla baja,2012-07-01,8,7,2,4,9,5,19,16,35
LA PAZ,estado nutricional,l talla baja,2012-07-01,386,257,423,292,284,246,1093,795,1888
LAGUNILLAS,estado nutricional,l talla baja,2012-07-01,1,8,3,4,3,7,7,19,26
LAJA,estado nutricional,l talla baja,2012-07-01,11,9,18,9,5,8,34,26,60
LAS CARRERAS,estado nutricional,l talla baja,2012-07-01,1,0,3,0,5,4,9,4,13
LICOMA PAMPA,estado nutricional,l talla baja,2012-07-01,1,0,7,0,1,1,9,1,10
LLALLAGUA,estado nutricional,l talla baja,2012-07-01,39,32,81,83,43,56,163,171,334
LLICA,estado nutricional,l talla baja,2012-07-01,3,0,3,1,1,0,7,1,8
LORETO,estado nutricional,l talla baja,2012-07-01,3,1,2,0,1,1,6,2,8
LURIBAY,estado nutricional,l talla baja,2012-07-01,1,3,9,12,12,4,22,19,41
MACHACAMARCA,estado nutricional,l talla baja,2012-07-01,5,4,11,0,1,1,17,5,22
MACHARETI,estado nutricional,l talla baja,2012-07-01,4,2,3,3,9,27,16,32,48
MAGDALENA,estado nutricional,l talla baja,2012-07-01,7,3,1,1,1,3,9,7,16
MAIRANA,estado nutricional,l talla baja,2012-07-01,3,4,9,7,4,2,16,13,29
MALLA,estado nutricional,l talla baja,2012-07-01,5,2,15,9,12,13,32,24,56
MAPIRI,estado nutricional,l talla baja,2012-07-01,5,2,15,5,17,15,37,22,59
MECAPACA,estado nutricional,l talla baja,2012-07-01,13,3,24,21,14,12,51,36,87
MINEROS,estado nutricional,l talla baja,2012-07-01,5,1,10,12,11,10,26,23,49
MIZQUE,estado nutricional,l talla baja,2012-07-01,7,10,33,31,11,22,51,63,114
MOCOMOCO,estado nutricional,l talla baja,2012-07-01,5,2,9,9,4,0,18,11,29
MOJINETE,estado nutricional,l talla baja,2012-07-01,1,1,0,1,0,1,1,3,4
MOJOCOYA,estado nutricional,l talla baja,2012-07-01,2,1,10,8,24,18,36,27,63
MONTEAGUDO,estado nutricional,l talla baja,2012-07-01,7,3,17,10,22,27,46,40,86
MONTERO,estado nutricional,l talla baja,2012-07-01,16,14,32,10,18,28,66,52,118
MORO MORO,estado nutricional,l talla baja,2012-07-01,0,2,2,1,1,1,3,4,7
MOROCHATA,estado nutricional,l talla baja,2012-07-01,29,27,62,42,53,46,144,115,259
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-07-01,1,0,6,1,2,0,9,1,10
NAZACARA DE PACAJES,estado nutricional,l talla baja,2012-07-01,0,0,2,1,0,3,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-07-01,0,0,2,3,4,4,6,7,13
OCURI,estado nutricional,l talla baja,2012-07-01,40,24,93,64,92,83,225,171,396
OKINAWA,estado nutricional,l talla baja,2012-07-01,0,1,3,2,1,2,4,5,9
OMEREQUE,estado nutricional,l talla baja,2012-07-01,2,2,3,1,4,1,9,4,13
ORURO,estado nutricional,l talla baja,2012-07-01,287,158,398,250,200,179,885,587,1472
PADCAYA,estado nutricional,l talla baja,2012-07-01,5,3,13,11,8,9,26,23,49
PADILLA,estado nutricional,l talla baja,2012-07-01,5,4,28,15,39,30,72,49,121
PAILON,estado nutricional,l talla baja,2012-07-01,2,1,9,2,7,3,18,6,24
PALCA,estado nutricional,l talla baja,2012-07-01,11,10,22,13,19,15,52,38,90
PALOS BLANCOS,estado nutricional,l talla baja,2012-07-01,9,3,14,8,16,13,39,24,63
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-07-01,4,2,5,9,7,8,16,19,35
PAMPA GRANDE,estado nutricional,l talla baja,2012-07-01,3,0,6,2,3,8,12,10,22
PAPEL PAMPA,estado nutricional,l talla baja,2012-07-01,1,2,7,7,10,8,18,17,35
PASORAPA,estado nutricional,l talla baja,2012-07-01,0,1,0,10,1,2,1,13,14
PATACAMAYA,estado nutricional,l talla baja,2012-07-01,19,14,22,20,14,7,55,41,96
PAZÑA,estado nutricional,l talla baja,2012-07-01,4,5,10,9,14,15,28,29,57
PELECHUCO,estado nutricional,l talla baja,2012-07-01,6,1,9,12,5,3,20,16,36
POCOATA,estado nutricional,l talla baja,2012-07-01,44,36,84,64,65,93,193,193,386
POCONA,estado nutricional,l talla baja,2012-07-01,9,1,22,13,15,15,46,29,75
POJO (CBBA),estado nutricional,l talla baja,2012-07-01,8,2,17,13,13,15,38,30,68
POOPO,estado nutricional,l talla baja,2012-07-01,5,2,8,8,13,8,26,18,44
PORCO,estado nutricional,l talla baja,2012-07-01,9,7,21,9,13,13,43,29,72
POROMA,estado nutricional,l talla baja,2012-07-01,17,5,43,33,78,74,138,112,250
PORONGO,estado nutricional,l talla baja,2012-07-01,0,1,5,0,3,3,8,4,12
PORTACHUELO,estado nutricional,l talla baja,2012-07-01,5,12,9,7,5,13,19,32,51
PORVENIR,estado nutricional,l talla baja,2012-07-01,3,1,6,0,1,3,10,4,14
POSTRER VALLE,estado nutricional,l talla baja,2012-07-01,0,0,3,4,1,1,4,5,9
POTOSI,estado nutricional,l talla baja,2012-07-01,217,121,270,179,163,139,650,439,1089
PRESTO,estado nutricional,l talla baja,2012-07-01,10,9,35,19,43,37,88,65,153
PUCARA,estado nutricional,l talla baja,2012-07-01,3,0,1,1,0,0,4,1,5
PUCARANI,estado nutricional,l talla baja,2012-07-01,15,11,27,21,7,11,49,43,92
PUERTO ACOSTA,estado nutricional,l talla baja,2012-07-01,7,4,14,4,3,3,24,11,35
PUERTO CARABUCO,estado nutricional,l talla baja,2012-07-01,4,2,14,8,24,20,42,30,72
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-07-01,17,9,30,23,38,26,85,58,143
PUERTO PEREZ,estado nutricional,l talla baja,2012-07-01,6,1,7,6,1,5,14,12,26
PUERTO QUIJARRO,estado nutricional,l talla baja,2012-07-01,0,0,0,0,1,0,1,0,1
PUERTO RICO,estado nutricional,l talla baja,2012-07-01,1,3,8,6,11,11,20,20,40
PUERTO SUAREZ,estado nutricional,l talla baja,2012-07-01,1,4,7,2,4,1,12,7,19
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-07-01,6,36,44,35,24,35,74,106,180
PUNA,estado nutricional,l talla baja,2012-07-01,17,11,43,26,51,52,111,89,200
PUNATA,estado nutricional,l talla baja,2012-07-01,10,5,14,27,12,12,36,44,80
QUIABAYA,estado nutricional,l talla baja,2012-07-01,1,0,3,2,1,3,5,5,10
QUILLACOLLO,estado nutricional,l talla baja,2012-07-01,20,13,55,40,33,26,108,79,187
QUIME,estado nutricional,l talla baja,2012-07-01,5,6,15,0,6,6,26,12,38
QUIRUSILLAS,estado nutricional,l talla baja,2012-07-01,0,0,2,0,0,0,2,0,2
RAVELO,estado nutricional,l talla baja,2012-07-01,33,37,77,63,121,158,231,258,489
REYES,estado nutricional,l talla baja,2012-07-01,5,5,7,2,5,3,17,10,27
RIBERALTA,estado nutricional,l talla baja,2012-07-01,51,34,123,99,47,68,221,201,422
ROBORE,estado nutricional,l talla baja,2012-07-01,1,0,1,1,0,1,2,2,4
RURRENABAQUE,estado nutricional,l talla baja,2012-07-01,6,7,13,13,11,5,30,25,55
SABAYA,estado nutricional,l talla baja,2012-07-01,0,0,1,0,0,2,1,2,3
SACABA,estado nutricional,l talla baja,2012-07-01,44,24,108,64,81,66,233,154,387
SACABAMBA,estado nutricional,l talla baja,2012-07-01,12,5,13,8,10,10,35,23,58
SACACA,estado nutricional,l talla baja,2012-07-01,51,31,104,72,103,105,258,208,466
SAIPINA,estado nutricional,l talla baja,2012-07-01,0,0,0,3,3,6,3,9,12
SALINAS DE GARCI MENDOZA,estado nutricional,l talla baja,2012-07-01,16,7,23,10,25,22,64,39,103
SAMAIPATA,estado nutricional,l talla baja,2012-07-01,2,1,1,0,3,1,6,2,8
SAN AGUSTIN,estado nutricional,l talla baja,2012-07-01,1,0,1,2,0,0,2,2,4
SAN ANDRES,estado nutricional,l talla baja,2012-07-01,3,1,1,1,5,9,9,11,20
SAN ANDRES DE MACHACA,estado nutricional,l talla baja,2012-07-01,1,2,6,0,2,0,9,2,11
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla baja,2012-07-01,0,1,7,6,2,2,9,9,18
SAN ANTONIO DE LOMERIO,estado nutricional,l talla baja,2012-07-01,4,2,7,13,10,13,21,28,49
SAN BENITO,estado nutricional,l talla baja,2012-07-01,7,8,21,6,7,0,35,14,49
SAN BORJA,estado nutricional,l talla baja,2012-07-01,19,17,55,41,45,44,119,102,221
SAN BUENA VENTURA,estado nutricional,l talla baja,2012-07-01,2,2,3,3,2,4,7,9,16
SAN CARLOS,estado nutricional,l talla baja,2012-07-01,5,5,9,6,6,3,20,14,34
SAN IGNACIO,estado nutricional,l talla baja,2012-07-01,16,10,29,22,33,31,78,63,141
SAN IGNACIO DE VELASCO,estado nutricional,l talla baja,2012-07-01,21,15,41,31,28,21,90,67,157
SAN JAVIER(BNI),estado nutricional,l talla baja,2012-07-01,1,1,0,0,1,0,2,1,3
SAN JOAQUIN,estado nutricional,l talla baja,2012-07-01,2,0,3,0,0,0,5,0,5
SAN JOSE DE CHIQUITOS,estado nutricional,l talla baja,2012-07-01,6,3,6,2,1,2,13,7,20
SAN JUAN DE YAPACANI,estado nutricional,l talla baja,2012-07-01,1,0,3,1,1,1,5,2,7
SAN JULIAN,estado nutricional,l talla baja,2012-07-01,6,12,6,12,12,9,24,33,57
SAN LORENZO(PND),estado nutricional,l talla baja,2012-07-01,2,3,5,4,8,10,15,17,32
SAN LORENZO(TJA),estado nutricional,l talla baja,2012-07-01,13,5,13,15,21,21,47,41,88
SAN LUCAS,estado nutricional,l talla baja,2012-07-01,27,36,62,73,129,145,218,254,472
SAN MATIAS,estado nutricional,l talla baja,2012-07-01,1,2,3,1,1,2,5,5,10
SAN MIGUEL DE VELASCO,estado nutricional,l talla baja,2012-07-01,11,5,21,11,14,6,46,22,68
SAN PABLO DE LIPEZ,estado nutricional,l talla baja,2012-07-01,1,2,1,0,2,1,4,3,7
SAN PEDRO,estado nutricional,l talla baja,2012-07-01,1,1,4,0,2,1,7,2,9
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla baja,2012-07-01,56,46,99,84,96,98,251,228,479
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-07-01,1,1,2,4,2,6,5,11,16
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-07-01,2,0,1,2,1,1,4,3,7
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-07-01,0,0,2,0,2,1,4,1,5
SAN PEDRO(PND),estado nutricional,l talla baja,2012-07-01,0,0,1,1,4,0,5,1,6
SAN RAFAEL,estado nutricional,l talla baja,2012-07-01,1,0,8,6,10,7,19,13,32
SAN RAMON BENI,estado nutricional,l talla baja,2012-07-01,2,0,3,1,2,3,7,4,11
SAN RAMON SCZ,estado nutricional,l talla baja,2012-07-01,2,3,4,3,2,2,8,8,16
SANTA ANA,estado nutricional,l talla baja,2012-07-01,4,3,5,5,0,0,9,8,17
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla baja,2012-07-01,118,81,114,71,91,92,323,244,567
SANTA ROSA,estado nutricional,l talla baja,2012-07-01,2,0,7,0,3,2,12,2,14
SANTA ROSA DEL SARA,estado nutricional,l talla baja,2012-07-01,0,0,3,3,1,4,4,7,11
SANTIAGO DE CALLAPA,estado nutricional,l talla baja,2012-07-01,1,4,1,5,0,1,2,10,12
SANTIAGO DE HUARI,estado nutricional,l talla baja,2012-07-01,15,6,17,13,17,20,49,39,88
SANTIAGO DE HUATA,estado nutricional,l talla baja,2012-07-01,2,0,1,2,1,0,4,2,6
SANTIAGO DE MACHACA,estado nutricional,l talla baja,2012-07-01,2,4,9,4,6,3,17,11,28
SANTIVAÑES,estado nutricional,l talla baja,2012-07-01,3,0,3,10,8,9,14,19,33
SANTUARIO DE QUILLACAS,estado nutricional,l talla baja,2012-07-01,3,1,13,2,6,11,22,14,36
SAPAHAQUI,estado nutricional,l talla baja,2012-07-01,7,4,13,10,11,13,31,27,58
SENA,estado nutricional,l talla baja,2012-07-01,0,0,4,3,1,1,5,4,9
SHINAOTA,estado nutricional,l talla baja,2012-07-01,5,9,15,20,10,5,30,34,64
SICA SICA (VILLA AROMA),estado nutricional,l talla baja,2012-07-01,12,7,36,19,25,27,73,53,126
SICAYA,estado nutricional,l talla baja,2012-07-01,1,7,9,8,15,8,25,23,48
SIPE SIPE,estado nutricional,l talla baja,2012-07-01,27,29,61,53,40,34,128,116,244
SOPACHUY,estado nutricional,l talla baja,2012-07-01,5,10,20,10,37,54,62,74,136
SORACACHI,estado nutricional,l talla baja,2012-07-01,17,6,29,13,25,28,71,47,118
SORATA,estado nutricional,l talla baja,2012-07-01,4,3,8,5,13,10,25,18,43
SUCRE,estado nutricional,l talla baja,2012-07-01,85,63,193,141,175,153,453,357,810
TACACHI,estado nutricional,l talla baja,2012-07-01,5,0,0,0,0,0,5,0,5
TACACOMA,estado nutricional,l talla baja,2012-07-01,7,4,14,6,6,2,27,12,39
TACOBAMBA,estado nutricional,l talla baja,2012-07-01,5,1,19,4,16,11,40,16,56
TACOPAYA,estado nutricional,l talla baja,2012-07-01,15,8,38,20,51,60,104,88,192
TAHUA,estado nutricional,l talla baja,2012-07-01,0,0,0,2,0,0,0,2,2
TAPACARI,estado nutricional,l talla baja,2012-07-01,39,14,50,36,47,41,136,91,227
TARABUCO,estado nutricional,l talla baja,2012-07-01,20,20,63,34,136,154,219,208,427
TARACO,estado nutricional,l talla baja,2012-07-01,1,0,3,0,0,0,4,0,4
TARATA,estado nutricional,l talla baja,2012-07-01,2,4,13,11,8,4,23,19,42
TARIJA,estado nutricional,l talla baja,2012-07-01,51,38,56,50,74,84,181,172,353
TARVITA,estado nutricional,l talla baja,2012-07-01,17,12,62,45,129,123,208,180,388
TEOPONTE,estado nutricional,l talla baja,2012-07-01,0,0,3,2,2,3,5,5,10
TIAWANACU,estado nutricional,l talla baja,2012-07-01,3,2,7,5,5,2,15,9,24
TINGUIPAYA,estado nutricional,l talla baja,2012-07-01,37,31,57,54,56,61,150,146,296
TIPUANI,estado nutricional,l talla baja,2012-07-01,1,0,5,6,5,5,11,11,22
TIQUIPAYA,estado nutricional,l talla baja,2012-07-01,18,24,40,56,55,47,113,127,240
TIRAQUE (CBBA),estado nutricional,l talla baja,2012-07-01,11,13,32,33,14,17,57,63,120
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla baja,2012-07-01,0,0,3,2,2,1,5,3,8
TOCO,estado nutricional,l talla baja,2012-07-01,0,1,12,5,2,7,14,13,27
TODOS SANTOS,estado nutricional,l talla baja,2012-07-01,0,0,0,0,1,0,1,0,1
TOLATA,estado nutricional,l talla baja,2012-07-01,0,1,0,0,1,1,1,2,3
TOLEDO,estado nutricional,l talla baja,2012-07-01,3,2,7,8,10,9,20,19,39
TOMAVE,estado nutricional,l talla baja,2012-07-01,20,10,23,14,27,26,70,50,120
TOMINA,estado nutricional,l talla baja,2012-07-01,6,4,19,19,72,66,97,89,186
TORO TORO,estado nutricional,l talla baja,2012-07-01,4,9,34,12,43,48,81,69,150
TOTORA(CBBA),estado nutricional,l talla baja,2012-07-01,4,2,13,12,7,4,24,18,42
TOTORA(ORR),estado nutricional,l talla baja,2012-07-01,5,4,2,0,16,9,23,13,36
TRIGAL,estado nutricional,l talla baja,2012-07-01,0,0,0,0,0,1,0,1,1
TRINIDAD,estado nutricional,l talla baja,2012-07-01,29,122,23,19,24,49,76,190,266
TUPIZA,estado nutricional,l talla baja,2012-07-01,36,16,27,22,32,39,95,77,172
TURCO,estado nutricional,l talla baja,2012-07-01,0,1,3,2,3,5,6,8,14
UMALA,estado nutricional,l talla baja,2012-07-01,4,3,8,4,4,3,16,10,26
UNCIA,estado nutricional,l talla baja,2012-07-01,35,10,69,34,66,49,170,93,263
URIONDO (A. CONCEPCION),estado nutricional,l talla baja,2012-07-01,1,4,3,4,4,5,8,13,21
URUBICHA,estado nutricional,l talla baja,2012-07-01,4,4,14,5,1,0,19,9,28
UYUNI,estado nutricional,l talla baja,2012-07-01,19,14,41,17,12,16,72,47,119
VACAS,estado nutricional,l talla baja,2012-07-01,19,10,24,16,17,15,60,41,101
VALLEGRANDE,estado nutricional,l talla baja,2012-07-01,4,1,3,3,3,1,10,5,15
VIACHA,estado nutricional,l talla baja,2012-07-01,29,15,31,24,20,16,80,55,135
VILA VILA,estado nutricional,l talla baja,2012-07-01,4,6,12,7,14,33,30,46,76
VILLA CHARCAS,estado nutricional,l talla baja,2012-07-01,27,15,54,56,113,88,194,159,353
VILLA MONTES,estado nutricional,l talla baja,2012-07-01,4,3,8,11,5,11,17,25,42
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla baja,2012-07-01,0,1,6,6,6,7,12,14,26
VILLA RIVERO,estado nutricional,l talla baja,2012-07-01,4,1,12,28,9,5,25,34,59
VILLA SERRANO,estado nutricional,l talla baja,2012-07-01,11,8,26,17,58,46,95,71,166
VILLA TUNARI,estado nutricional,l talla baja,2012-07-01,38,19,59,62,49,64,146,145,291
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla baja,2012-07-01,3,1,2,4,10,9,15,14,29
VILLAZON,estado nutricional,l talla baja,2012-07-01,26,18,63,39,47,40,136,97,233
VINTO,estado nutricional,l talla baja,2012-07-01,11,5,32,29,12,8,55,42,97
VITICHI,estado nutricional,l talla baja,2012-07-01,6,9,22,22,38,23,66,54,120
