,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
PUERTO RICO,estado nutricional,l 9.1 talla normal,2011-07-01,95,78,55,44,56,56,206,178,384
PUERTO SILES,estado nutricional,l 9.1 talla normal,2011-07-01,14,10,7,9,12,7,33,26,59
PUERTO SUAREZ,estado nutricional,l 9.1 talla normal,2011-07-01,124,106,43,37,23,29,190,172,362
PUERTO VILLARROEL,estado nutricional,l 9.1 talla normal,2011-07-01,547,536,377,368,302,281,1226,1185,2411
PUNA,estado nutricional,l 9.1 talla normal,2011-07-01,202,196,150,152,169,168,521,516,1037
PUNATA,estado nutricional,l 9.1 talla normal,2011-07-01,279,237,170,173,131,110,580,520,1100
QUIABAYA,estado nutricional,l 9.1 talla normal,2011-07-01,21,21,12,6,1,6,34,33,67
QUILLACOLLO,estado nutricional,l 9.1 talla normal,2011-07-01,810,704,342,459,333,278,1485,1441,2926
QUIME,estado nutricional,l 9.1 talla normal,2011-07-01,80,74,42,38,55,45,177,157,334
QUIRUSILLAS,estado nutricional,l 9.1 talla normal,2011-07-01,13,9,10,5,8,21,31,35,66
RAVELO,estado nutricional,l 9.1 talla normal,2011-07-01,106,131,68,76,94,102,268,309,577
REYES,estado nutricional,l 9.1 talla normal,2011-07-01,123,109,46,65,58,66,227,240,467
RIBERALTA,estado nutricional,l 9.1 talla normal,2011-07-01,1360,1243,764,724,526,451,2650,2418,5068
ROBORE,estado nutricional,l 9.1 talla normal,2011-07-01,138,142,96,96,91,76,325,314,639
RURRENABAQUE,estado nutricional,l 9.1 talla normal,2011-07-01,136,139,81,85,48,59,265,283,548
SABAYA,estado nutricional,l 9.1 talla normal,2011-07-01,16,9,10,11,10,13,36,33,69
SACABA,estado nutricional,l 9.1 talla normal,2011-07-01,1229,1138,796,778,695,594,2720,2510,5230
SACABAMBA,estado nutricional,l 9.1 talla normal,2011-07-01,34,23,22,32,16,17,72,72,144
SACACA,estado nutricional,l 9.1 talla normal,2011-07-01,148,132,83,97,119,115,350,344,694
SAIPINA,estado nutricional,l 9.1 talla normal,2011-07-01,53,79,57,47,32,35,142,161,303
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.1 talla normal,2011-07-01,86,80,57,68,56,59,199,207,406
SAMAIPATA,estado nutricional,l 9.1 talla normal,2011-07-01,82,71,43,31,27,27,152,129,281
SAN AGUSTIN,estado nutricional,l 9.1 talla normal,2011-07-01,10,10,3,9,8,6,21,25,46
SAN ANDRES,estado nutricional,l 9.1 talla normal,2011-07-01,105,113,75,85,107,150,287,348,635
SAN ANDRES DE MACHACA,estado nutricional,l 9.1 talla normal,2011-07-01,25,32,17,19,10,21,52,72,124
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.1 talla normal,2011-07-01,13,12,4,5,6,3,23,20,43
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.1 talla normal,2011-07-01,56,47,35,49,95,104,186,200,386
SAN BENITO,estado nutricional,l 9.1 talla normal,2011-07-01,141,162,98,97,77,89,316,348,664
SAN BORJA,estado nutricional,l 9.1 talla normal,2011-07-01,404,393,266,242,192,218,862,853,1715
SAN BUENA VENTURA,estado nutricional,l 9.1 talla normal,2011-07-01,104,96,69,61,85,62,258,219,477
SAN CARLOS,estado nutricional,l 9.1 talla normal,2011-07-01,264,259,184,167,140,145,588,571,1159
SAN IGNACIO,estado nutricional,l 9.1 talla normal,2011-07-01,305,277,189,197,312,252,806,726,1532
SAN IGNACIO DE VELASCO,estado nutricional,l 9.1 talla normal,2011-07-01,756,677,378,407,501,505,1635,1589,3224
SAN JAVIER(BNI),estado nutricional,l 9.1 talla normal,2011-07-01,18,18,20,14,17,20,55,52,107
SAN JAVIER(STC),estado nutricional,l 9.1 talla normal,2011-07-01,58,133,68,83,77,69,203,285,488
SAN JOAQUIN,estado nutricional,l 9.1 talla normal,2011-07-01,35,44,17,13,19,31,71,88,159
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.1 talla normal,2011-07-01,102,127,61,65,65,56,228,248,476
SAN JUAN DE YAPACANI,estado nutricional,l 9.1 talla normal,2011-07-01,100,62,47,52,54,72,201,186,387
SAN JULIAN,estado nutricional,l 9.1 talla normal,2011-07-01,323,288,223,230,214,194,760,712,1472
SAN LORENZO(PND),estado nutricional,l 9.1 talla normal,2011-07-01,47,48,48,24,24,31,119,103,222
SAN LORENZO(TJA),estado nutricional,l 9.1 talla normal,2011-07-01,202,177,164,153,137,114,503,444,947
SAN LUCAS,estado nutricional,l 9.1 talla normal,2011-07-01,133,123,97,107,144,161,374,391,765
SAN MATIAS,estado nutricional,l 9.1 talla normal,2011-07-01,109,89,48,49,52,48,209,186,395
SAN MIGUEL DE VELASCO,estado nutricional,l 9.1 talla normal,2011-07-01,143,152,89,92,103,129,335,373,708
SAN PABLO DE LIPEZ,estado nutricional,l 9.1 talla normal,2011-07-01,18,14,12,8,7,8,37,30,67
SAN PEDRO,estado nutricional,l 9.1 talla normal,2011-07-01,142,129,106,111,95,88,343,328,671
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-07-01,209,215,138,133,125,125,472,473,945
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.1 talla normal,2011-07-01,46,40,34,32,39,42,119,114,233
SAN PEDRO DE QUEMES,estado nutricional,l 9.1 talla normal,2011-07-01,2,1,0,1,0,3,2,5,7
SAN PEDRO DE TIQUINA,estado nutricional,l 9.1 talla normal,2011-07-01,18,20,16,24,17,26,51,70,121
SAN PEDRO(PND),estado nutricional,l 9.1 talla normal,2011-07-01,7,4,3,9,4,10,14,23,37
SAN RAFAEL,estado nutricional,l 9.1 talla normal,2011-07-01,61,60,38,63,78,70,177,193,370
SAN RAMON BENI,estado nutricional,l 9.1 talla normal,2011-07-01,38,28,20,22,32,35,90,85,175
SAN RAMON SCZ,estado nutricional,l 9.1 talla normal,2011-07-01,92,93,40,35,47,65,179,193,372
SANTA ANA,estado nutricional,l 9.1 talla normal,2011-07-01,134,159,93,97,79,82,306,338,644
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.1 talla normal,2011-07-01,7406,6324,3225,3057,2622,2395,13253,11776,25029
SANTA ROSA,estado nutricional,l 9.1 talla normal,2011-07-01,92,94,52,56,96,82,240,232,472
SANTA ROSA DEL SARA,estado nutricional,l 9.1 talla normal,2011-07-01,127,102,56,77,71,84,254,263,517
SANTIAGO DE CALLAPA,estado nutricional,l 9.1 talla normal,2011-07-01,18,21,21,16,11,18,50,55,105
SANTIAGO DE HUARI,estado nutricional,l 9.1 talla normal,2011-07-01,59,57,58,46,61,56,178,159,337
SANTIAGO DE HUATA,estado nutricional,l 9.1 talla normal,2011-07-01,48,37,27,11,13,13,88,61,149
SANTIAGO DE MACHACA,estado nutricional,l 9.1 talla normal,2011-07-01,33,14,8,23,23,20,64,57,121
SANTIVAÑES,estado nutricional,l 9.1 talla normal,2011-07-01,42,43,32,35,42,35,116,113,229
SANTUARIO DE QUILLACAS,estado nutricional,l 9.1 talla normal,2011-07-01,33,23,20,25,20,15,73,63,136
SAPAHAQUI,estado nutricional,l 9.1 talla normal,2011-07-01,69,41,42,35,48,46,159,122,281
SENA,estado nutricional,l 9.1 talla normal,2011-07-01,43,22,22,16,10,14,75,52,127
SHINAOTA,estado nutricional,l 9.1 talla normal,2011-07-01,350,301,239,160,191,161,780,622,1402
SICA SICA (VILLA AROMA),estado nutricional,l 9.1 talla normal,2011-07-01,174,167,123,143,91,129,388,439,827
SICAYA,estado nutricional,l 9.1 talla normal,2011-07-01,55,31,13,20,20,15,88,66,154
SIPE SIPE,estado nutricional,l 9.1 talla normal,2011-07-01,359,319,222,198,158,130,739,647,1386
SOPACHUY,estado nutricional,l 9.1 talla normal,2011-07-01,55,66,42,52,69,58,166,176,342
SORACACHI,estado nutricional,l 9.1 talla normal,2011-07-01,94,94,82,97,76,92,252,283,535
SORATA,estado nutricional,l 9.1 talla normal,2011-07-01,187,142,88,110,108,101,383,353,736
SUCRE,estado nutricional,l 9.1 talla normal,2011-07-01,2892,2680,2054,1935,1882,1880,6828,6495,13323
TACACHI,estado nutricional,l 9.1 talla normal,2011-07-01,13,9,5,7,5,4,23,20,43
TACACOMA,estado nutricional,l 9.1 talla normal,2011-07-01,45,47,28,19,37,36,110,102,212
TACOBAMBA,estado nutricional,l 9.1 talla normal,2011-07-01,73,59,69,51,32,38,174,148,322
TACOPAYA,estado nutricional,l 9.1 talla normal,2011-07-01,99,89,73,86,148,138,320,313,633
TAHUA,estado nutricional,l 9.1 talla normal,2011-07-01,3,8,3,3,1,1,7,12,19
TAPACARI,estado nutricional,l 9.1 talla normal,2011-07-01,147,155,102,102,120,99,369,356,725
TARABUCO,estado nutricional,l 9.1 talla normal,2011-07-01,137,136,98,106,148,161,383,403,786
TARACO,estado nutricional,l 9.1 talla normal,2011-07-01,26,23,34,20,17,12,77,55,132
TARATA,estado nutricional,l 9.1 talla normal,2011-07-01,82,96,57,46,39,9,178,151,329
TARIJA,estado nutricional,l 9.1 talla normal,2011-07-01,1300,1222,1016,805,652,606,2968,2633,5601
TARVITA,estado nutricional,l 9.1 talla normal,2011-07-01,135,125,59,91,156,161,350,377,727
TEOPONTE,estado nutricional,l 9.1 talla normal,2011-07-01,54,62,46,45,39,56,139,163,302
TIAWANACU,estado nutricional,l 9.1 talla normal,2011-07-01,116,86,102,79,78,62,296,227,523
TINGUIPAYA,estado nutricional,l 9.1 talla normal,2011-07-01,91,83,74,66,48,35,213,184,397
TIPUANI,estado nutricional,l 9.1 talla normal,2011-07-01,104,78,70,49,58,71,232,198,430
TIQUIPAYA,estado nutricional,l 9.1 talla normal,2011-07-01,561,460,376,334,356,364,1293,1158,2451
TIRAQUE (CBBA),estado nutricional,l 9.1 talla normal,2011-07-01,198,189,146,118,78,66,422,373,795
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.1 talla normal,2011-07-01,6,11,5,5,6,8,17,24,41
TOCO,estado nutricional,l 9.1 talla normal,2011-07-01,53,37,19,32,22,20,94,89,183
TODOS SANTOS,estado nutricional,l 9.1 talla normal,2011-07-01,0,3,3,0,0,0,3,3,6
TOLATA,estado nutricional,l 9.1 talla normal,2011-07-01,85,74,60,29,46,45,191,148,339
TOLEDO,estado nutricional,l 9.1 talla normal,2011-07-01,40,16,36,37,11,25,87,78,165
TOMAVE,estado nutricional,l 9.1 talla normal,2011-07-01,94,72,55,63,35,35,184,170,354
TOMINA,estado nutricional,l 9.1 talla normal,2011-07-01,69,74,49,53,119,138,237,265,502
TORO TORO,estado nutricional,l 9.1 talla normal,2011-07-01,69,65,47,50,43,81,159,196,355
TOTORA(CBBA),estado nutricional,l 9.1 talla normal,2011-07-01,133,147,99,108,41,41,273,296,569
TOTORA(ORR),estado nutricional,l 9.1 talla normal,2011-07-01,33,32,35,32,32,39,100,103,203
TRIGAL,estado nutricional,l 9.1 talla normal,2011-07-01,15,9,8,16,21,15,44,40,84
TRINIDAD,estado nutricional,l 9.1 talla normal,2011-07-01,954,846,443,427,438,398,1835,1671,3506
TUPIZA,estado nutricional,l 9.1 talla normal,2011-07-01,290,239,206,209,250,240,746,688,1434
TURCO,estado nutricional,l 9.1 talla normal,2011-07-01,32,32,34,28,24,41,90,101,191
UMALA,estado nutricional,l 9.1 talla normal,2011-07-01,62,76,54,64,62,62,178,202,380
UNCIA,estado nutricional,l 9.1 talla normal,2011-07-01,141,126,108,84,60,76,309,286,595
URIONDO (A. CONCEPCION),estado nutricional,l 9.1 talla normal,2011-07-01,168,129,133,119,153,127,454,375,829
URUBICHA,estado nutricional,l 9.1 talla normal,2011-07-01,82,68,55,53,3,2,140,123,263
UYUNI,estado nutricional,l 9.1 talla normal,2011-07-01,222,211,145,180,73,72,440,463,903
VACAS,estado nutricional,l 9.1 talla normal,2011-07-01,85,81,44,50,35,43,164,174,338
VALLEGRANDE,estado nutricional,l 9.1 talla normal,2011-07-01,144,157,92,77,71,63,307,297,604
VIACHA,estado nutricional,l 9.1 talla normal,2011-07-01,370,390,267,283,185,174,822,847,1669
VILA VILA,estado nutricional,l 9.1 talla normal,2011-07-01,36,35,21,25,63,49,120,109,229
VILLA CHARCAS,estado nutricional,l 9.1 talla normal,2011-07-01,125,148,93,97,100,110,318,355,673
VILLA MONTES,estado nutricional,l 9.1 talla normal,2011-07-01,316,340,185,197,180,190,681,727,1408
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.1 talla normal,2011-07-01,36,38,25,46,38,42,99,126,225
VILLA RIVERO,estado nutricional,l 9.1 talla normal,2011-07-01,83,91,63,59,45,34,191,184,375
VILLA SERRANO,estado nutricional,l 9.1 talla normal,2011-07-01,92,109,105,76,115,117,312,302,614
VILLA TUNARI,estado nutricional,l 9.1 talla normal,2011-07-01,884,781,546,518,513,494,1943,1793,3736
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.1 talla normal,2011-07-01,74,70,64,55,111,101,249,226,475
VILLAZON,estado nutricional,l 9.1 talla normal,2011-07-01,317,298,253,289,184,183,754,770,1524
VINTO,estado nutricional,l 9.1 talla normal,2011-07-01,347,281,180,146,70,110,597,537,1134
VITICHI,estado nutricional,l 9.1 talla normal,2011-07-01,91,68,56,45,60,69,207,182,389
WALDO BALLIVIAN,estado nutricional,l 9.1 talla normal,2011-07-01,17,16,12,15,4,11,33,42,75
WARNES,estado nutricional,l 9.1 talla normal,2011-07-01,398,256,197,183,244,222,839,661,1500
YACO,estado nutricional,l 9.1 talla normal,2011-07-01,77,67,29,50,41,34,147,151,298
YACUIBA,estado nutricional,l 9.1 talla normal,2011-07-01,619,593,414,351,318,257,1351,1201,2552
YAMPARAEZ,estado nutricional,l 9.1 talla normal,2011-07-01,58,48,30,34,96,92,184,174,358
YANACACHI,estado nutricional,l 9.1 talla normal,2011-07-01,66,58,39,41,33,49,138,148,286
YAPACANI,estado nutricional,l 9.1 talla normal,2011-07-01,486,494,337,338,228,211,1051,1043,2094
YOCALLA,estado nutricional,l 9.1 talla normal,2011-07-01,61,53,66,60,39,39,166,152,318
YOTALA,estado nutricional,l 9.1 talla normal,2011-07-01,59,46,57,52,82,106,198,204,402
YUNCHARA,estado nutricional,l 9.1 talla normal,2011-07-01,33,40,33,29,59,48,125,117,242
ZUDAÑEZ,estado nutricional,l 9.1 talla normal,2011-07-01,50,55,21,33,92,93,163,181,344
ACACIO,estado nutricional,l 9.1 talla normal,2011-08-01,49,60,34,40,32,18,115,118,233
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-08-01,291,296,220,175,213,198,724,669,1393
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-08-01,97,86,63,73,41,37,201,196,397
AIQUILE,estado nutricional,l 9.1 talla normal,2011-08-01,290,283,228,178,203,194,721,655,1376
ALALAY,estado nutricional,l 9.1 talla normal,2011-08-01,36,22,29,21,20,16,85,59,144
ALCALA,estado nutricional,l 9.1 talla normal,2011-08-01,24,26,17,15,51,49,92,90,182
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-08-01,110,93,70,77,73,73,253,243,496
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-08-01,88,89,47,47,61,61,196,197,393
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-08-01,19,20,11,28,51,41,81,89,170
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-08-01,36,28,17,21,26,17,79,66,145
ANZALDO,estado nutricional,l 9.1 talla normal,2011-08-01,23,22,10,14,37,48,70,84,154
APOLO,estado nutricional,l 9.1 talla normal,2011-08-01,200,173,126,144,201,217,527,534,1061
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-08-01,32,46,23,20,36,45,91,111,202
ARANI,estado nutricional,l 9.1 talla normal,2011-08-01,129,102,76,73,85,69,290,244,534
ARBIETO,estado nutricional,l 9.1 talla normal,2011-08-01,56,50,47,37,57,64,160,151,311
ARQUE,estado nutricional,l 9.1 talla normal,2011-08-01,203,143,94,101,110,105,407,349,756
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-08-01,208,232,95,67,66,69,369,368,737
ATOCHA,estado nutricional,l 9.1 talla normal,2011-08-01,106,79,70,71,94,105,270,255,525
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-08-01,28,39,28,43,21,38,77,120,197
AYATA,estado nutricional,l 9.1 talla normal,2011-08-01,71,82,59,78,49,44,179,204,383
AYO AYO,estado nutricional,l 9.1 talla normal,2011-08-01,62,52,50,45,39,47,151,144,295
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-08-01,291,224,168,157,224,179,683,560,1243
AZURDUY,estado nutricional,l 9.1 talla normal,2011-08-01,107,114,65,87,120,126,292,327,619
BATALLAS,estado nutricional,l 9.1 talla normal,2011-08-01,141,134,75,119,65,73,281,326,607
BAURES,estado nutricional,l 9.1 talla normal,2011-08-01,40,42,33,24,35,40,108,106,214
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-08-01,6,10,11,17,16,14,33,41,74
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-08-01,12,16,9,10,12,3,33,29,62
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-08-01,20,24,22,23,22,21,64,68,132
BERMEJO,estado nutricional,l 9.1 talla normal,2011-08-01,353,335,228,238,416,192,997,765,1762
BETANZOS,estado nutricional,l 9.1 talla normal,2011-08-01,234,278,220,252,237,238,691,768,1459
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-08-01,52,47,36,53,47,54,135,154,289
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-08-01,13,21,8,18,17,12,38,51,89
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-08-01,39,24,22,21,56,62,117,107,224
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-08-01,97,83,61,65,88,77,246,225,471
CABEZAS,estado nutricional,l 9.1 talla normal,2011-08-01,157,144,111,109,112,114,380,367,747
CAIROMA,estado nutricional,l 9.1 talla normal,2011-08-01,84,77,47,38,68,81,199,196,395
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-08-01,89,85,76,59,62,73,227,217,444
CAJUATA,estado nutricional,l 9.1 talla normal,2011-08-01,80,84,62,50,64,47,206,181,387
CALACOTO,estado nutricional,l 9.1 talla normal,2011-08-01,36,32,39,32,36,31,111,95,206
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-08-01,82,85,54,60,47,65,183,210,393
CAMARGO,estado nutricional,l 9.1 talla normal,2011-08-01,120,126,109,103,130,126,359,355,714
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.1 talla normal,2011-08-01,26,23,36,17,50,46,112,86,198
CAMIRI,estado nutricional,l 9.1 talla normal,2011-08-01,395,352,183,183,248,261,826,796,1622
CAPINOTA,estado nutricional,l 9.1 talla normal,2011-08-01,108,114,56,65,40,44,204,223,427
CAQUIAVIRI,estado nutricional,l 9.1 talla normal,2011-08-01,79,78,59,53,42,28,180,159,339
CARACOLLO,estado nutricional,l 9.1 talla normal,2011-08-01,178,148,104,128,94,121,376,397,773
CARANAVI,estado nutricional,l 9.1 talla normal,2011-08-01,439,420,336,301,254,253,1029,974,2003
CARANGAS,estado nutricional,l 9.1 talla normal,2011-08-01,1,2,0,1,0,4,1,7,8
CARAPARI,estado nutricional,l 9.1 talla normal,2011-08-01,161,125,125,111,120,113,406,349,755
CARIPUYO,estado nutricional,l 9.1 talla normal,2011-08-01,53,78,44,43,53,64,150,185,335
CARMEN RIVERO TORREZ,estado nutricional,l 9.1 talla normal,2011-08-01,46,36,28,20,45,28,119,84,203
CATACORA,estado nutricional,l 9.1 talla normal,2011-08-01,2,0,0,2,2,5,4,7,11
CHACARILLA,estado nutricional,l 9.1 talla normal,2011-08-01,9,4,3,8,3,3,15,15,30
CHALLAPATA,estado nutricional,l 9.1 talla normal,2011-08-01,345,300,179,198,163,155,687,653,1340
CHAQUI,estado nutricional,l 9.1 talla normal,2011-08-01,57,54,40,53,30,28,127,135,262
CHARAGUA,estado nutricional,l 9.1 talla normal,2011-08-01,231,212,146,127,208,234,585,573,1158
CHARAÑA,estado nutricional,l 9.1 talla normal,2011-08-01,35,20,13,20,20,22,68,62,130
CHAYANTA,estado nutricional,l 9.1 talla normal,2011-08-01,110,106,52,58,50,65,212,229,441
CHIMORE,estado nutricional,l 9.1 talla normal,2011-08-01,95,51,42,45,54,50,191,146,337
CHIPAYA,estado nutricional,l 9.1 talla normal,2011-08-01,16,14,19,16,8,13,43,43,86
CHOQUE COTA,estado nutricional,l 9.1 talla normal,2011-08-01,14,7,8,4,6,0,28,11,39
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.1 talla normal,2011-08-01,85,56,42,45,49,43,176,144,320
CHUMA,estado nutricional,l 9.1 talla normal,2011-08-01,78,72,56,42,40,28,174,142,316
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.1 talla normal,2011-08-01,52,65,59,48,36,43,147,156,303
CKOCHAS,estado nutricional,l 9.1 talla normal,2011-08-01,102,88,69,63,84,75,255,226,481
CLIZA,estado nutricional,l 9.1 talla normal,2011-08-01,238,191,144,129,115,97,497,417,914
COBIJA,estado nutricional,l 9.1 talla normal,2011-08-01,558,460,278,276,206,210,1042,946,1988
COCAPATA,estado nutricional,l 9.1 talla normal,2011-08-01,150,149,130,92,113,102,393,343,736
COCHABAMBA,estado nutricional,l 9.1 talla normal,2011-08-01,3340,3246,2050,1858,1422,1439,6812,6543,13355
COIPASA,estado nutricional,l 9.1 talla normal,2011-08-01,5,3,1,7,3,4,9,14,23
COLCAPIRHUA,estado nutricional,l 9.1 talla normal,2011-08-01,426,350,202,217,183,157,811,724,1535
"COLCHA ""K""",estado nutricional,l 9.1 talla normal,2011-08-01,104,94,83,79,99,97,286,270,556
COLLANA,estado nutricional,l 9.1 talla normal,2011-08-01,16,20,18,9,14,12,48,41,89
COLOMI,estado nutricional,l 9.1 talla normal,2011-08-01,215,169,96,94,97,95,408,358,766
COLPA BELGICA,estado nutricional,l 9.1 talla normal,2011-08-01,9,4,1,1,2,0,12,5,17
COLQUECHACA,estado nutricional,l 9.1 talla normal,2011-08-01,239,280,204,235,101,106,544,621,1165
COLQUENCHA,estado nutricional,l 9.1 talla normal,2011-08-01,77,80,41,59,80,50,198,189,387
COLQUIRI,estado nutricional,l 9.1 talla normal,2011-08-01,141,144,64,60,81,85,286,289,575
COMANCHE,estado nutricional,l 9.1 talla normal,2011-08-01,21,30,23,32,13,14,57,76,133
COMARAPA,estado nutricional,l 9.1 talla normal,2011-08-01,275,259,114,100,109,103,498,462,960
COMBAYA,estado nutricional,l 9.1 talla normal,2011-08-01,15,17,15,11,18,22,48,50,98
CONCEPCION,estado nutricional,l 9.1 talla normal,2011-08-01,197,210,81,74,79,89,357,373,730
COPACABANA,estado nutricional,l 9.1 talla normal,2011-08-01,69,67,63,70,40,56,172,193,365
CORIPATA,estado nutricional,l 9.1 talla normal,2011-08-01,157,146,113,115,111,142,381,403,784
CORO CORO,estado nutricional,l 9.1 talla normal,2011-08-01,74,74,38,52,30,45,142,171,313
COROICO,estado nutricional,l 9.1 talla normal,2011-08-01,119,109,106,89,72,93,297,291,588
CORQUE,estado nutricional,l 9.1 talla normal,2011-08-01,82,55,42,35,35,52,159,142,301
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-08-01,141,164,116,137,144,134,401,435,836
COTOCA,estado nutricional,l 9.1 talla normal,2011-08-01,431,439,207,195,177,174,815,808,1623
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-08-01,174,144,143,103,132,126,449,373,822
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-08-01,25,7,15,9,9,8,49,24,73
CUEVO,estado nutricional,l 9.1 talla normal,2011-08-01,39,31,23,24,80,49,142,104,246
CULPINA,estado nutricional,l 9.1 talla normal,2011-08-01,211,209,169,148,196,193,576,550,1126
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-08-01,58,59,36,30,34,30,128,119,247
