,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
SAPAHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,3,0,12
SENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,11,10,1,1,23
SHINAOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,27,25,6,2,60
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,11,4,4,36
SICAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,3,1,7
SIPE SIPE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,53,63,2,3,121
SOPACHUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,2,2,1,10
SORACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,7,3,0,15
SORATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,5,11,9,33
SUCRE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,239,258,5,2,504
TACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,0,0,0,2
TACACOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,2,0,0,8
TACOBAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,5,8,4,24
TACOPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,0,4,4,10
TAPACARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,11,12,10,14,47
TARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,1,2,7,17
TARACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,6,1,0,13
TARATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,0,0,3
TARIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,204,214,6,8,432
TARVITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,4,4,2,12
TEOPONTE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,11,3,4,25
TIAWANACU,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,6,0,0,16
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,5,5,8,28
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,4,0,0,12
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,60,53,19,11,143
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,10,6,3,31
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
TOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,0,1,3
TODOS SANTOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,0,0,2
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,5,3,0,10
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,2,1,6
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,4,6,0,18
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,1,2,1,10
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,3,14,11,35
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,9,4,6,33
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,4,1,1,8
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,135,127,5,1,268
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,38,28,6,3,75
TURCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,4,0,0,5
UMALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,1,3,5
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,18,10,6,5,39
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,8,3,2,25
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,2,5,6,14
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,21,34,2,1,58
VACAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,2,7,2,15
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,12,1,0,25
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,51,65,3,1,120
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,2,2,2,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,4,3,1,15
VILLA MONTES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,55,61,2,9,127
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,2,4,7
VILLA RIVERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,5,1,0,20
VILLA SERRANO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,3,2,4,16
VILLA TUNARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,65,75,6,5,151
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,3,7,4,26
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,36,38,5,1,80
VINTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,36,51,5,1,93
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,5,0,1,10
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
WARNES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,143,135,2,1,281
YACO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,4,4,3,11
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,111,127,8,14,260
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,5,0,3,10
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,10,0,0,11
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,46,51,10,8,115
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,3,2,0,7
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,4,4,4,16
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,3,3,1,8
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,6,2,11
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,2,1,5
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,27,23,7,10,67
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,6,4,7,10,27
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,23,11,8,8,50
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,2,1,0,3
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,3,0,0,4
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,11,2,0,18
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,3,2,2,10
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,4,1,0,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,2,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,5,4,6,16
APOLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,9,4,6,33
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,2,5,9
ARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,8,7,1,1,17
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,13,10,2,2,27
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,6,4,8,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,32,38,4,4,78
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,14,2,1,19
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,2,3,0,6
AYATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,2,2,5,10
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,3,0,1,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,12,9,11,41
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,6,6,3,2,17
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,8,6,2,20
BAURES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,2,0,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,0,4,3,7
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,34,28,5,5,72
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,17,16,12,5,50
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,2,2,2,10
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,6,4,0,1,11
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,10,2,3,24
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,22,19,13,11,65
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,3,5,3,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,10,6,1,2,19
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,6,11,1,3,21
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,3,1,3,7
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,7,7,1,0,15
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,17,11,2,2,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,2,1,1,4
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,37,31,0,0,68
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,21,1,1,37
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,3,0,1,13
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,8,12,3,7,30
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,43,55,10,11,119
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,11,17,7,3,38
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,2,3,5,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,0,4,0,8
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,1,1,0,4
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,21,19,5,6,51
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,6,7,1,2,16
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,22,17,16,22,77
CHARAÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,0,1,3
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,13,6,2,2,23
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,17,16,6,2,41
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,0,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,20,8,2,2,32
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,2,1,2,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,0,0,1,6
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,6,7,9,31
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,11,2,1,28
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,80,64,8,6,158
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,9,10,12,34
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,705,714,4,6,1429
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,34,42,0,0,76
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,15,1,1,20
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,1,0,0,1
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,18,19,2,4,43
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,7,0,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,19,14,16,63
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,4,0,0,9
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,19,4,10,47
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,0,0,2
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,17,14,1,1,33
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,1,3,1,7
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,29,22,5,3,59
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,7,6,5,1,19
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,17,0,0,31
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,2,0,2,9
COROICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,18,7,3,3,31
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,0,3,2,6
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,14,7,3,7,31
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,65,73,4,4,146
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,20,25,5,5,55
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,1,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,4,2,2,9
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,12,8,9,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,4,0,0,5
CURVA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,2,1,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,6,1,0,7
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,669,596,145,143,1553
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,3,1,0,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,18,11,3,3,35
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,9,1,2,16
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,44,55,0,4,103
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,4,0,2,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,18,18,6,3,45
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,25,37,0,0,62
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,1,1,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,1,1,1,3
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,2,1,0,5
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,4,2,2,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,12,12,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,6,0,5,14
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,9,6,6,30
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,2,0,4,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,60,43,1,3,107
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,11,13,6,9,39
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,5,2,0,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,3,0,2,9
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,0,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,21,15,0,0,36
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,5,4,3,0,12
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,2,1,1,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,1,2,1,3,7
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,0,3,3,9
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,0,0,1,1,2
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,2,2,2,8
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,10,9,6,3,28
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,3,0,0,0,3
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,2,6,3,3,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,9,7,3,1,20
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,8,3,1,0,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,6,5,1,1,13
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,57,43,8,4,112
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,92,87,7,5,191
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,625,604,8,6,1243
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-08-01,4,5,5,2,16
