municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
EL VILLAR,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
FILADELFIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,10,10
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,12,12
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,12,12
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
IXIAMAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,54,54
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,8,8
MACHARETI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,80,80
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
OKINAWA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
ORURO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
PALCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,9,9
PAZÑA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
PORCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
POROMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,16,16
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,9,9
PUNA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,8,8
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
SAN ANDRES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,9,9
SAN BORJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,11,11
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,8,8
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,37,37
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,21,21
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,54,54
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,45,45
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,23,23
SAN MATIAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,14,14
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,10,10
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,16,16
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,9,9
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,31,31
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
SHINAOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
