,group,variable,month,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 10 A 14,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 15 A 19,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 20 A 34,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 35 A 49,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 50 Y +,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS < A 10,TOTALES
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,3,2,0,0,5
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,8,0,0,0,8
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,14,9,1,0,28
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,43,26,0,0,73
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,17,10,5,0,0,32
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,29,23,0,0,52
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,22,20,1,0,44
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,2,12,9,0,0,24
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,18,13,0,0,32
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,7,68,38,0,0,113
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,5,83,29,0,0,118
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,7,176,80,5,0,268
LA RIVERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,1,2,0,0,3
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,10,12,2,0,25
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,34,30,0,0,65
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,4,7,0,0,12
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,2,3,0,0,7
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,18,115,36,0,0,169
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,9,7,0,0,18
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,5,5,1,0,12
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,16,13,0,0,29
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,6,3,0,0,9
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,21,10,0,0,34
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,4,21,8,0,33
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,17,9,0,0,27
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,4,2,0,0,6
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,22,9,0,0,32
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,20,15,1,0,37
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,6,26,8,0,0,40
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,4,32,14,0,0,51
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,7,4,0,0,14
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,9,5,0,0,14
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,15,11,1,0,27
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,7,41,29,0,0,77
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,24,39,13,2,82
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,9,11,2,0,25
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,5,19,17,0,0,41
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,8,3,0,0,13
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,6,2,0,0,8
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,7,18,12,0,0,37
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,9,3,0,0,14
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,14,5,1,0,21
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,13,507,121,2,0,643
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,37,40,3,0,84
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,20,24,1,0,48
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,39,9,1,0,53
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,7,61,20,0,0,88
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,10,46,34,0,0,90
PAMPA AULLAGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,2,0,0,0,2
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,15,15,0,0,32
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,2,7,1,0,10
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,11,4,0,0,16
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,12,13,3,0,28
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,8,4,0,0,12
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,18,8,0,0,27
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,11,49,38,0,0,98
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,41,24,0,0,68
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,47,19,1,0,69
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,9,1,0,0,10
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,9,31,9,1,0,50
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,27,32,0,0,63
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,6,32,9,0,0,47
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,7,20,4,0,0,31
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,5,4,2,0,0,11
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,0,4,0,0,0,5
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,44,420,115,0,0,580
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,15,12,0,0,30
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,1,3,0,0,6
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,47,35,3,0,89
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,7,7,1,0,15
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,11,12,0,0,25
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,2,6,36,9,0,0,53
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,10,4,1,0,15
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,12,5,0,0,18
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,14,29,9,0,0,52
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,12,2,0,0,14
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,9,70,39,0,0,119
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,23,14,0,0,38
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,25,17,0,0,43
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,7,8,0,0,15
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,10,76,36,0,0,122
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,16,3,0,0,20
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,1,2,0,0,3
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,18,12,0,0,33
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,2,6,20,21,1,0,50
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,9,4,1,0,16
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,6,42,182,80,0,0,310
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,14,7,0,0,21
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,9,31,15,0,0,55
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,8,3,0,0,11
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,13,119,44,1,0,177
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,7,6,0,0,15
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,3,19,11,0,0,34
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,12,5,0,0,18
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,3,16,6,0,0,26
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,20,16,0,0,37
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,0,3,0,0,3
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,1,1,15,5,1,0,23
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,4,0,0,0,4
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,0,1,2,1,0,4
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,21,9,1,0,35
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,13,7,0,0,21
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,6,23,94,42,2,0,167
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,16,6,0,0,23
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,16,6,0,0,25
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,23,56,14,4,0,97
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,2,16,155,70,0,0,243
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,4,0,0,0,5
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,27,15,0,0,45
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,3,19,1,1,0,24
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,1,16,5,0,0,22
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,4,44,24,2,0,74
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,2,30,11,0,0,43
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,5,35,28,1,0,69
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-06-01,0,21,71,53,0,0,145
