,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
PALCA,atencion odontologica, cirugia bucal menor,2014-07-01,33,58,33,58,91
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-07-01,36,49,36,49,85
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-07-01,6,11,6,11,17
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-07-01,3,3,3,3,6
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-07-01,26,19,26,19,45
PASORAPA,atencion odontologica, cirugia bucal menor,2014-07-01,9,9,9,9,18
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-07-01,76,103,76,103,179
PAZÑA,atencion odontologica, cirugia bucal menor,2014-07-01,26,19,26,19,45
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-07-01,16,9,16,9,25
POCOATA,atencion odontologica, cirugia bucal menor,2014-07-01,25,50,25,50,75
POCONA,atencion odontologica, cirugia bucal menor,2014-07-01,18,50,18,50,68
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-07-01,22,69,22,69,91
POOPO,atencion odontologica, cirugia bucal menor,2014-07-01,28,48,28,48,76
PORCO,atencion odontologica, cirugia bucal menor,2014-07-01,22,22,22,22,44
POROMA,atencion odontologica, cirugia bucal menor,2014-07-01,4,12,4,12,16
PORONGO,atencion odontologica, cirugia bucal menor,2014-07-01,12,19,12,19,31
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-07-01,61,47,61,47,108
PORVENIR,atencion odontologica, cirugia bucal menor,2014-07-01,9,10,9,10,19
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-07-01,20,12,20,12,32
POTOSI,atencion odontologica, cirugia bucal menor,2014-07-01,601,876,601,876,1477
PRESTO,atencion odontologica, cirugia bucal menor,2014-07-01,17,29,17,29,46
PUCARA,atencion odontologica, cirugia bucal menor,2014-07-01,3,0,3,0,3
PUCARANI,atencion odontologica, cirugia bucal menor,2014-07-01,107,166,107,166,273
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-07-01,36,40,36,40,76
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-07-01,49,70,49,70,119
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-07-01,5,5,5,5,10
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-07-01,8,10,8,10,18
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-07-01,21,10,21,10,31
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-07-01,39,36,39,36,75
PUERTO SILES,atencion odontologica, cirugia bucal menor,2014-07-01,4,18,4,18,22
PUERTO SUAREZ,atencion odontologica, cirugia bucal menor,2014-07-01,7,35,7,35,42
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-07-01,30,69,30,69,99
PUNA,atencion odontologica, cirugia bucal menor,2014-07-01,56,92,56,92,148
PUNATA,atencion odontologica, cirugia bucal menor,2014-07-01,80,80,80,80,160
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-07-01,29,34,29,34,63
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-07-01,99,202,99,202,301
QUIME,atencion odontologica, cirugia bucal menor,2014-07-01,127,121,127,121,248
QUIRUSILLAS,atencion odontologica, cirugia bucal menor,2014-07-01,2,1,2,1,3
RAVELO,atencion odontologica, cirugia bucal menor,2014-07-01,20,30,20,30,50
REYES,atencion odontologica, cirugia bucal menor,2014-07-01,28,47,28,47,75
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-07-01,160,146,160,146,306
ROBORE,atencion odontologica, cirugia bucal menor,2014-07-01,4,21,4,21,25
RURRENABAQUE,atencion odontologica, cirugia bucal menor,2014-07-01,44,54,44,54,98
SABAYA,atencion odontologica, cirugia bucal menor,2014-07-01,20,20,20,20,40
SACABA,atencion odontologica, cirugia bucal menor,2014-07-01,219,234,219,234,453
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-07-01,12,20,12,20,32
SACACA,atencion odontologica, cirugia bucal menor,2014-07-01,20,28,20,28,48
SAIPINA,atencion odontologica, cirugia bucal menor,2014-07-01,15,17,15,17,32
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-07-01,38,54,38,54,92
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-07-01,13,11,13,11,24
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-07-01,3,2,3,2,5
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-07-01,24,39,24,39,63
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-07-01,45,39,45,39,84
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-07-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-07-01,12,25,12,25,37
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-07-01,10,14,10,14,24
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-07-01,12,50,12,50,62
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-07-01,17,8,17,8,25
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-07-01,18,29,18,29,47
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-07-01,115,133,115,133,248
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-07-01,11,15,11,15,26
SAN JAVIER(BNI),atencion odontologica, cirugia bucal menor,2014-07-01,8,13,8,13,21
SAN JAVIER(STC),atencion odontologica, cirugia bucal menor,2014-07-01,20,18,20,18,38
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-07-01,36,53,36,53,89
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-07-01,16,30,16,30,46
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-07-01,29,27,29,27,56
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-07-01,5,11,5,11,16
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-07-01,135,235,135,235,370
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-07-01,36,72,36,72,108
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-07-01,22,27,22,27,49
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-07-01,80,70,80,70,150
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-07-01,8,12,8,12,20
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-07-01,39,40,39,40,79
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-07-01,29,48,29,48,77
SAN PEDRO DE CURAHUARA,atencion odontologica, cirugia bucal menor,2014-07-01,21,28,21,28,49
SAN PEDRO DE QUEMES,atencion odontologica, cirugia bucal menor,2014-07-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-07-01,39,53,39,53,92
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-07-01,16,28,16,28,44
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-07-01,4,10,4,10,14
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-07-01,7,8,7,8,15
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-07-01,26,33,26,33,59
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-07-01,813,1187,813,1187,2000
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-07-01,18,31,18,31,49
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-07-01,25,47,25,47,72
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-07-01,9,8,9,8,17
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-07-01,31,34,31,34,65
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-07-01,15,25,15,25,40
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-07-01,30,38,30,38,68
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-07-01,5,1,5,1,6
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-07-01,11,22,11,22,33
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-07-01,20,28,20,28,48
SENA,atencion odontologica, cirugia bucal menor,2014-07-01,16,12,16,12,28
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-07-01,2,10,2,10,12
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-07-01,30,67,30,67,97
SICAYA,atencion odontologica, cirugia bucal menor,2014-07-01,4,3,4,3,7
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-07-01,24,30,24,30,54
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-07-01,20,99,20,99,119
SORACACHI,atencion odontologica, cirugia bucal menor,2014-07-01,12,32,12,32,44
SORATA,atencion odontologica, cirugia bucal menor,2014-07-01,29,43,29,43,72
SUCRE,atencion odontologica, cirugia bucal menor,2014-07-01,381,646,381,646,1027
TACACHI,atencion odontologica, cirugia bucal menor,2014-07-01,0,1,0,1,1
TACACOMA,atencion odontologica, cirugia bucal menor,2014-07-01,25,36,25,36,61
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-07-01,1,5,1,5,6
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-07-01,10,49,10,49,59
TAHUA,atencion odontologica, cirugia bucal menor,2014-07-01,0,1,0,1,1
TAPACARI,atencion odontologica, cirugia bucal menor,2014-07-01,84,67,84,67,151
TARABUCO,atencion odontologica, cirugia bucal menor,2014-07-01,33,44,33,44,77
TARACO,atencion odontologica, cirugia bucal menor,2014-07-01,25,22,25,22,47
TARATA,atencion odontologica, cirugia bucal menor,2014-07-01,53,99,53,99,152
TARIJA,atencion odontologica, cirugia bucal menor,2014-07-01,644,1141,644,1141,1785
TARVITA,atencion odontologica, cirugia bucal menor,2014-07-01,15,70,15,70,85
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-07-01,60,69,60,69,129
TIAWANACU,atencion odontologica, cirugia bucal menor,2014-07-01,20,50,20,50,70
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-07-01,7,21,7,21,28
TIPUANI,atencion odontologica, cirugia bucal menor,2014-07-01,25,30,25,30,55
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-07-01,118,121,118,121,239
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-07-01,59,132,59,132,191
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-07-01,6,11,6,11,17
TOCO,atencion odontologica, cirugia bucal menor,2014-07-01,11,18,11,18,29
TOLATA,atencion odontologica, cirugia bucal menor,2014-07-01,5,8,5,8,13
TOLEDO,atencion odontologica, cirugia bucal menor,2014-07-01,2,2,2,2,4
TOMAVE,atencion odontologica, cirugia bucal menor,2014-07-01,44,73,44,73,117
TOMINA,atencion odontologica, cirugia bucal menor,2014-07-01,38,89,38,89,127
TORO TORO,atencion odontologica, cirugia bucal menor,2014-07-01,8,11,8,11,19
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-07-01,18,27,18,27,45
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-07-01,9,42,9,42,51
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-07-01,221,338,221,338,559
TUPIZA,atencion odontologica, cirugia bucal menor,2014-07-01,50,84,50,84,134
TURCO,atencion odontologica, cirugia bucal menor,2014-07-01,12,11,12,11,23
UMALA,atencion odontologica, cirugia bucal menor,2014-07-01,11,18,11,18,29
UNCIA,atencion odontologica, cirugia bucal menor,2014-07-01,35,41,35,41,76
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-07-01,112,157,112,157,269
URUBICHA,atencion odontologica, cirugia bucal menor,2014-07-01,13,17,13,17,30
UYUNI,atencion odontologica, cirugia bucal menor,2014-07-01,51,58,51,58,109
VACAS,atencion odontologica, cirugia bucal menor,2014-07-01,17,14,17,14,31
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-07-01,33,72,33,72,105
VIACHA,atencion odontologica, cirugia bucal menor,2014-07-01,124,200,124,200,324
VILA VILA,atencion odontologica, cirugia bucal menor,2014-07-01,2,0,2,0,2
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-07-01,20,54,20,54,74
VILLA MONTES,atencion odontologica, cirugia bucal menor,2014-07-01,181,329,181,329,510
VILLA NUEVA (LOMA ALTA),atencion odontologica, cirugia bucal menor,2014-07-01,8,11,8,11,19
VILLA RIVERO,atencion odontologica, cirugia bucal menor,2014-07-01,7,22,7,22,29
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-07-01,19,5,19,5,24
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-07-01,51,40,51,40,91
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-07-01,14,30,14,30,44
VILLAZON,atencion odontologica, cirugia bucal menor,2014-07-01,78,192,78,192,270
VINTO,atencion odontologica, cirugia bucal menor,2014-07-01,34,50,34,50,84
VITICHI,atencion odontologica, cirugia bucal menor,2014-07-01,19,42,19,42,61
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-07-01,16,23,16,23,39
WARNES,atencion odontologica, cirugia bucal menor,2014-07-01,36,111,36,111,147
YACO,atencion odontologica, cirugia bucal menor,2014-07-01,11,11,11,11,22
YACUIBA,atencion odontologica, cirugia bucal menor,2014-07-01,163,267,163,267,430
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-07-01,15,47,15,47,62
YANACACHI,atencion odontologica, cirugia bucal menor,2014-07-01,2,8,2,8,10
YAPACANI,atencion odontologica, cirugia bucal menor,2014-07-01,49,77,49,77,126
YOCALLA,atencion odontologica, cirugia bucal menor,2014-07-01,25,29,25,29,54
YOTALA,atencion odontologica, cirugia bucal menor,2014-07-01,26,52,26,52,78
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-07-01,60,83,60,83,143
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-07-01,28,30,28,30,58
ACACIO,atencion odontologica, cirugia bucal menor,2014-08-01,3,2,3,2,5
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-08-01,115,178,115,178,293
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-08-01,20,41,20,41,61
AIQUILE,atencion odontologica, cirugia bucal menor,2014-08-01,6,14,6,14,20
ALALAY,atencion odontologica, cirugia bucal menor,2014-08-01,0,5,0,5,5
ALCALA,atencion odontologica, cirugia bucal menor,2014-08-01,22,54,22,54,76
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-08-01,11,15,11,15,26
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-08-01,40,47,40,47,87
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-08-01,22,25,22,25,47
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-08-01,14,18,14,18,32
ANZALDO,atencion odontologica, cirugia bucal menor,2014-08-01,30,30,30,30,60
APOLO,atencion odontologica, cirugia bucal menor,2014-08-01,4,17,4,17,21
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-08-01,6,16,6,16,22
ARANI,atencion odontologica, cirugia bucal menor,2014-08-01,23,30,23,30,53
ARBIETO,atencion odontologica, cirugia bucal menor,2014-08-01,15,17,15,17,32
ARQUE,atencion odontologica, cirugia bucal menor,2014-08-01,27,26,27,26,53
ASCENCION DE GUARAYOS,atencion odontologica, cirugia bucal menor,2014-08-01,9,31,9,31,40
ATOCHA,atencion odontologica, cirugia bucal menor,2014-08-01,79,134,79,134,213
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-08-01,12,29,12,29,41
AYATA,atencion odontologica, cirugia bucal menor,2014-08-01,25,35,25,35,60
AYO AYO,atencion odontologica, cirugia bucal menor,2014-08-01,15,39,15,39,54
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-08-01,41,46,41,46,87
AZURDUY,atencion odontologica, cirugia bucal menor,2014-08-01,17,9,17,9,26
BATALLAS,atencion odontologica, cirugia bucal menor,2014-08-01,38,68,38,68,106
BAURES,atencion odontologica, cirugia bucal menor,2014-08-01,7,8,7,8,15
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-08-01,8,13,8,13,21
BELEN DE URMIRI,atencion odontologica, cirugia bucal menor,2014-08-01,10,23,10,23,33
BELLA FLOR,atencion odontologica, cirugia bucal menor,2014-08-01,3,1,3,1,4
BERMEJO,atencion odontologica, cirugia bucal menor,2014-08-01,154,233,154,233,387
BETANZOS,atencion odontologica, cirugia bucal menor,2014-08-01,15,35,15,35,50
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-08-01,11,12,11,12,23
BOLPEBRA,atencion odontologica, cirugia bucal menor,2014-08-01,5,2,5,2,7
BOYUIBE,atencion odontologica, cirugia bucal menor,2014-08-01,4,15,4,15,19
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-08-01,2,8,2,8,10
CABEZAS,atencion odontologica, cirugia bucal menor,2014-08-01,22,61,22,61,83
CAIROMA,atencion odontologica, cirugia bucal menor,2014-08-01,50,86,50,86,136
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-08-01,14,43,14,43,57
CAJUATA,atencion odontologica, cirugia bucal menor,2014-08-01,48,50,48,50,98
CALACOTO,atencion odontologica, cirugia bucal menor,2014-08-01,4,11,4,11,15
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-08-01,42,75,42,75,117
CAMARGO,atencion odontologica, cirugia bucal menor,2014-08-01,10,24,10,24,34
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-08-01,19,13,19,13,32
CAMIRI,atencion odontologica, cirugia bucal menor,2014-08-01,59,111,59,111,170
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-08-01,17,10,17,10,27
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-08-01,33,41,33,41,74
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-08-01,44,54,44,54,98
CARANAVI,atencion odontologica, cirugia bucal menor,2014-08-01,29,44,29,44,73
CARAPARI,atencion odontologica, cirugia bucal menor,2014-08-01,51,82,51,82,133
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-08-01,25,39,25,39,64
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-08-01,18,13,18,13,31
CATACORA,atencion odontologica, cirugia bucal menor,2014-08-01,10,9,10,9,19
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-08-01,111,157,111,157,268
CHAQUI,atencion odontologica, cirugia bucal menor,2014-08-01,5,5,5,5,10
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-08-01,101,138,101,138,239
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-08-01,4,3,4,3,7
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-08-01,29,37,29,37,66
CHIMORE,atencion odontologica, cirugia bucal menor,2014-08-01,16,38,16,38,54
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-08-01,5,4,5,4,9
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-08-01,8,9,8,9,17
CHUA COCANI,atencion odontologica, cirugia bucal menor,2014-08-01,5,22,5,22,27
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-08-01,9,5,9,5,14
CHUMA,atencion odontologica, cirugia bucal menor,2014-08-01,101,93,101,93,194
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, cirugia bucal menor,2014-08-01,10,10,10,10,20
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-08-01,12,37,12,37,49
CLIZA,atencion odontologica, cirugia bucal menor,2014-08-01,40,72,40,72,112
COBIJA,atencion odontologica, cirugia bucal menor,2014-08-01,87,108,87,108,195
COCAPATA,atencion odontologica, cirugia bucal menor,2014-08-01,45,120,45,120,165
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-08-01,299,515,299,515,814
COIPASA,atencion odontologica, cirugia bucal menor,2014-08-01,4,3,4,3,7
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-08-01,24,45,24,45,69
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-08-01,19,25,19,25,44
COLLANA,atencion odontologica, cirugia bucal menor,2014-08-01,10,20,10,20,30
COLOMI,atencion odontologica, cirugia bucal menor,2014-08-01,10,14,10,14,24
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-08-01,9,13,9,13,22
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-08-01,23,32,23,32,55
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-08-01,33,42,33,42,75
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-08-01,65,87,65,87,152
COMANCHE,atencion odontologica, cirugia bucal menor,2014-08-01,12,14,12,14,26
COMARAPA,atencion odontologica, cirugia bucal menor,2014-08-01,32,33,32,33,65
COMBAYA,atencion odontologica, cirugia bucal menor,2014-08-01,3,2,3,2,5
CONCEPCION,atencion odontologica, cirugia bucal menor,2014-08-01,53,107,53,107,160
COPACABANA,atencion odontologica, cirugia bucal menor,2014-08-01,170,185,170,185,355
CORIPATA,atencion odontologica, cirugia bucal menor,2014-08-01,3,2,3,2,5
CORO CORO,atencion odontologica, cirugia bucal menor,2014-08-01,27,59,27,59,86
COROICO,atencion odontologica, cirugia bucal menor,2014-08-01,47,56,47,56,103
CORQUE,atencion odontologica, cirugia bucal menor,2014-08-01,21,38,21,38,59
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-08-01,89,104,89,104,193
COTOCA,atencion odontologica, cirugia bucal menor,2014-08-01,23,24,23,24,47
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-08-01,23,53,23,53,76
