,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,71,79,71,79,150
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,31,90,31,90,121
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,3,1,3,4
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,35,11,35,11,46
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,36,48,36,48,84
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,17,16,17,16,33
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,13,28,13,28,41
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,196,272,196,272,468
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,2,3,2,5
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,21,43,21,43,64
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,210,220,210,220,430
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,4,1,4,5
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,16,0,16,16
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,16,19,16,19,35
HUACHACALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,1,0,1,1
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,115,173,115,173,288
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,2,1,2,3
HUARINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,11,4,11,15
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,20,28,20,28,48
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,22,22,22,22,44
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,49,63,49,63,112
ICHOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,32,32,32,32,64
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,90,140,90,140,230
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,21,29,21,29,50
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,8,0,8,8
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,39,39,39,39,78
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,11,11,11,11,22
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,7,4,7,11
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,8,5,8,13
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,178,202,178,202,380
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6975,2308,6975,2308,9283
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,16,6,16,6,22
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,4,5,4,9
LICOMA PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,10,2,10,12
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,106,120,106,120,226
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,10,3,10,13
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,12,14,12,14,26
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,12,15,12,15,27
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,27,11,27,11,38
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,13,9,13,9,22
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,16,22,16,22,38
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,9,5,9,5,14
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,11,9,11,9,20
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,12,6,12,18
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,58,53,58,53,111
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,17,8,17,8,25
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,17,2,17,19
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,22,27,22,27,49
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,101,78,101,78,179
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,192,275,192,275,467
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,10,8,10,18
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,76,130,76,130,206
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,13,2,13,2,15
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2,0,2,0,2
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,6,3,6,9
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,4,4,4,8
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1489,1481,1489,1481,2970
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,96,97,96,97,193
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,29,34,29,34,63
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,40,58,40,58,98
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,45,52,45,52,97
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,29,76,29,76,105
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,16,8,16,8,24
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,21,33,21,33,54
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,20,21,20,21,41
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,20,12,20,12,32
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,147,66,147,66,213
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,10,16,10,16,26
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,17,20,17,20,37
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,24,30,24,30,54
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,13,29,13,29,42
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,57,62,57,62,119
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,33,74,33,74,107
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,18,8,18,26
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,72,73,72,73,145
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,30,72,30,72,102
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,29,41,29,41,70
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,29,36,29,36,65
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,35,35,35,35,70
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,307,421,307,421,728
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,31,54,31,54,85
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,2,5,2,7
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,10,21,10,21,31
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,11,9,11,9,20
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,10,9,10,9,19
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,15,19,15,19,34
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,5,8,5,13
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,76,92,76,92,168
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,3,6,3,9
PUERTO SILES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,8,4,8,12
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,10,5,10,15
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,85,80,85,80,165
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,8,5,8,13
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,74,142,74,142,216
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,10,6,10,6,16
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,726,1117,726,1117,1843
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,133,186,133,186,319
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,0,5,0,5
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,2,0,2,2
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,17,39,17,39,56
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,146,267,146,267,413
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,5,4,5,9
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,88,109,88,109,197
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,20,5,20,25
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1438,2085,1438,2085,3523
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,13,7,13,20
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,9,8,9,17
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,2,5,2,7
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,87,98,87,98,185
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,30,41,30,41,71
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,15,8,15,23
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,14,9,14,9,23
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,13,6,13,19
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,2,6,2,8
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,47,119,47,119,166
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,28,39,28,39,67
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,2,0,2,2
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,7,14,7,14,21
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,46,74,46,74,120
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,10,8,10,18
SAN JAVIER(BNI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,2,0,2,2
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,80,94,80,94,174
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,64,131,64,131,195
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,23,3,23,26
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,102,98,102,98,200
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,133,288,133,288,421
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,6,34,6,34,40
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,8,9,8,9,17
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,12,7,12,7,19
SAN PABLO DE LIPEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,16,0,16,0,16
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,16,24,16,24,40
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,18,22,18,22,40
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,34,43,34,43,77
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,0,3,0,3
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,4,11,4,11,15
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,3,0,3,3
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,10,11,10,11,21
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,67,152,67,152,219
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,2699,3612,2699,3612,6311
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,9,18,9,18,27
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,13,17,13,17,30
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,3,7,3,7,10
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,62,90,62,90,152
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,5,5,5,10
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,1,2,1,2,3
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,0,8,0,8,8
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,5,7,5,7,12
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,39,42,39,42,81
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-07-01,56,88,56,88,144
