,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
QUIME,atencion odontologica, primera consulta,2014-07-01,64,76,64,76,140
QUIRUSILLAS,atencion odontologica, primera consulta,2014-07-01,2,6,2,6,8
RAVELO,atencion odontologica, primera consulta,2014-07-01,31,51,31,51,82
REYES,atencion odontologica, primera consulta,2014-07-01,63,86,63,86,149
RIBERALTA,atencion odontologica, primera consulta,2014-07-01,240,474,240,474,714
ROBORE,atencion odontologica, primera consulta,2014-07-01,79,110,79,110,189
RURRENABAQUE,atencion odontologica, primera consulta,2014-07-01,70,141,70,141,211
SABAYA,atencion odontologica, primera consulta,2014-07-01,28,51,28,51,79
SACABA,atencion odontologica, primera consulta,2014-07-01,346,480,346,480,826
SACABAMBA,atencion odontologica, primera consulta,2014-07-01,10,14,10,14,24
SACACA,atencion odontologica, primera consulta,2014-07-01,34,53,34,53,87
SAIPINA,atencion odontologica, primera consulta,2014-07-01,18,10,18,10,28
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-07-01,62,62,62,62,124
SAMAIPATA,atencion odontologica, primera consulta,2014-07-01,30,70,30,70,100
SAN AGUSTIN,atencion odontologica, primera consulta,2014-07-01,1,3,1,3,4
SAN ANDRES,atencion odontologica, primera consulta,2014-07-01,32,23,32,23,55
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-07-01,65,72,65,72,137
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-07-01,3,9,3,9,12
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-07-01,16,30,16,30,46
SAN BENITO,atencion odontologica, primera consulta,2014-07-01,25,50,25,50,75
SAN BORJA,atencion odontologica, primera consulta,2014-07-01,79,123,79,123,202
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-07-01,61,78,61,78,139
SAN CARLOS,atencion odontologica, primera consulta,2014-07-01,60,93,60,93,153
SAN IGNACIO,atencion odontologica, primera consulta,2014-07-01,314,386,314,386,700
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-07-01,275,300,275,300,575
SAN JAVIER(BNI),atencion odontologica, primera consulta,2014-07-01,8,11,8,11,19
SAN JAVIER(STC),atencion odontologica, primera consulta,2014-07-01,425,460,425,460,885
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-07-01,132,267,132,267,399
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-07-01,28,39,28,39,67
SAN JULIAN,atencion odontologica, primera consulta,2014-07-01,362,496,362,496,858
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-07-01,17,27,17,27,44
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-07-01,183,307,183,307,490
SAN LUCAS,atencion odontologica, primera consulta,2014-07-01,155,253,155,253,408
SAN MATIAS,atencion odontologica, primera consulta,2014-07-01,58,49,58,49,107
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-07-01,67,97,67,97,164
SAN PABLO DE LIPEZ,atencion odontologica, primera consulta,2014-07-01,14,13,14,13,27
SAN PEDRO,atencion odontologica, primera consulta,2014-07-01,83,126,83,126,209
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-07-01,45,62,45,62,107
SAN PEDRO DE CURAHUARA,atencion odontologica, primera consulta,2014-07-01,16,39,16,39,55
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-07-01,1,5,1,5,6
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-07-01,32,37,32,37,69
SAN RAFAEL,atencion odontologica, primera consulta,2014-07-01,4,11,4,11,15
SAN RAMON BENI,atencion odontologica, primera consulta,2014-07-01,26,56,26,56,82
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-07-01,38,44,38,44,82
SANTA ANA,atencion odontologica, primera consulta,2014-07-01,122,193,122,193,315
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-07-01,6346,8872,6346,8872,15218
SANTA ROSA,atencion odontologica, primera consulta,2014-07-01,5,7,5,7,12
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-07-01,78,164,78,164,242
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-07-01,4,5,4,5,9
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-07-01,40,61,40,61,101
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-07-01,9,16,9,16,25
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-07-01,11,6,11,6,17
SANTIVAÑES,atencion odontologica, primera consulta,2014-07-01,9,8,9,8,17
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-07-01,12,19,12,19,31
SAPAHAQUI,atencion odontologica, primera consulta,2014-07-01,37,41,37,41,78
SENA,atencion odontologica, primera consulta,2014-07-01,88,111,88,111,199
SHINAOTA,atencion odontologica, primera consulta,2014-07-01,8,17,8,17,25
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-07-01,82,115,82,115,197
SICAYA,atencion odontologica, primera consulta,2014-07-01,4,1,4,1,5
SIPE SIPE,atencion odontologica, primera consulta,2014-07-01,80,150,80,150,230
SOPACHUY,atencion odontologica, primera consulta,2014-07-01,30,77,30,77,107
SORACACHI,atencion odontologica, primera consulta,2014-07-01,28,62,28,62,90
SORATA,atencion odontologica, primera consulta,2014-07-01,40,75,40,75,115
SUCRE,atencion odontologica, primera consulta,2014-07-01,2020,3176,2020,3176,5196
TACACHI,atencion odontologica, primera consulta,2014-07-01,3,0,3,0,3
TACACOMA,atencion odontologica, primera consulta,2014-07-01,38,73,38,73,111
TACOBAMBA,atencion odontologica, primera consulta,2014-07-01,7,10,7,10,17
TACOPAYA,atencion odontologica, primera consulta,2014-07-01,20,69,20,69,89
TAHUA,atencion odontologica, primera consulta,2014-07-01,5,6,5,6,11
TAPACARI,atencion odontologica, primera consulta,2014-07-01,93,120,93,120,213
TARABUCO,atencion odontologica, primera consulta,2014-07-01,82,151,82,151,233
TARACO,atencion odontologica, primera consulta,2014-07-01,36,43,36,43,79
TARATA,atencion odontologica, primera consulta,2014-07-01,19,48,19,48,67
TARIJA,atencion odontologica, primera consulta,2014-07-01,1445,2458,1445,2458,3903
TARVITA,atencion odontologica, primera consulta,2014-07-01,90,154,90,154,244
TEOPONTE,atencion odontologica, primera consulta,2014-07-01,54,76,54,76,130
TIAWANACU,atencion odontologica, primera consulta,2014-07-01,84,128,84,128,212
TINGUIPAYA,atencion odontologica, primera consulta,2014-07-01,14,39,14,39,53
TIPUANI,atencion odontologica, primera consulta,2014-07-01,33,36,33,36,69
TIQUIPAYA,atencion odontologica, primera consulta,2014-07-01,200,293,200,293,493
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-07-01,27,54,27,54,81
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-07-01,6,5,6,5,11
TOCO,atencion odontologica, primera consulta,2014-07-01,19,29,19,29,48
TODOS SANTOS,atencion odontologica, primera consulta,2014-07-01,2,1,2,1,3
TOLATA,atencion odontologica, primera consulta,2014-07-01,41,51,41,51,92
TOLEDO,atencion odontologica, primera consulta,2014-07-01,5,5,5,5,10
TOMAVE,atencion odontologica, primera consulta,2014-07-01,48,76,48,76,124
TOMINA,atencion odontologica, primera consulta,2014-07-01,115,160,115,160,275
TORO TORO,atencion odontologica, primera consulta,2014-07-01,46,65,46,65,111
TOTORA(CBBA),atencion odontologica, primera consulta,2014-07-01,20,26,20,26,46
TOTORA(ORR),atencion odontologica, primera consulta,2014-07-01,35,64,35,64,99
TRIGAL,atencion odontologica, primera consulta,2014-07-01,8,26,8,26,34
TRINIDAD,atencion odontologica, primera consulta,2014-07-01,489,817,489,817,1306
TUPIZA,atencion odontologica, primera consulta,2014-07-01,141,206,141,206,347
TURCO,atencion odontologica, primera consulta,2014-07-01,23,23,23,23,46
UMALA,atencion odontologica, primera consulta,2014-07-01,35,42,35,42,77
UNCIA,atencion odontologica, primera consulta,2014-07-01,71,102,71,102,173
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-07-01,168,239,168,239,407
URUBICHA,atencion odontologica, primera consulta,2014-07-01,29,44,29,44,73
UYUNI,atencion odontologica, primera consulta,2014-07-01,127,137,127,137,264
VACAS,atencion odontologica, primera consulta,2014-07-01,53,93,53,93,146
VALLEGRANDE,atencion odontologica, primera consulta,2014-07-01,149,172,149,172,321
VIACHA,atencion odontologica, primera consulta,2014-07-01,291,376,291,376,667
VILA VILA,atencion odontologica, primera consulta,2014-07-01,8,12,8,12,20
VILLA CHARCAS,atencion odontologica, primera consulta,2014-07-01,28,74,28,74,102
VILLA MONTES,atencion odontologica, primera consulta,2014-07-01,312,491,312,491,803
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-07-01,53,75,53,75,128
VILLA RIVERO,atencion odontologica, primera consulta,2014-07-01,8,28,8,28,36
VILLA SERRANO,atencion odontologica, primera consulta,2014-07-01,24,60,24,60,84
VILLA TUNARI,atencion odontologica, primera consulta,2014-07-01,111,177,111,177,288
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-07-01,49,122,49,122,171
VILLAZON,atencion odontologica, primera consulta,2014-07-01,108,210,108,210,318
VINTO,atencion odontologica, primera consulta,2014-07-01,48,94,48,94,142
VITICHI,atencion odontologica, primera consulta,2014-07-01,53,84,53,84,137
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-07-01,9,15,9,15,24
WARNES,atencion odontologica, primera consulta,2014-07-01,76,141,76,141,217
YACO,atencion odontologica, primera consulta,2014-07-01,15,19,15,19,34
YACUIBA,atencion odontologica, primera consulta,2014-07-01,324,665,324,665,989
YAMPARAEZ,atencion odontologica, primera consulta,2014-07-01,20,50,20,50,70
YANACACHI,atencion odontologica, primera consulta,2014-07-01,26,25,26,25,51
YAPACANI,atencion odontologica, primera consulta,2014-07-01,130,185,130,185,315
YOCALLA,atencion odontologica, primera consulta,2014-07-01,25,32,25,32,57
YOTALA,atencion odontologica, primera consulta,2014-07-01,30,94,30,94,124
YUNCHARA,atencion odontologica, primera consulta,2014-07-01,108,135,108,135,243
ZUDAÑEZ,atencion odontologica, primera consulta,2014-07-01,40,58,40,58,98
ACACIO,atencion odontologica, primera consulta,2014-08-01,17,18,17,18,35
ACHACACHI,atencion odontologica, primera consulta,2014-08-01,181,283,181,283,464
ACHOCALLA,atencion odontologica, primera consulta,2014-08-01,29,67,29,67,96
AIQUILE,atencion odontologica, primera consulta,2014-08-01,43,74,43,74,117
ALALAY,atencion odontologica, primera consulta,2014-08-01,10,8,10,8,18
ALCALA,atencion odontologica, primera consulta,2014-08-01,29,47,29,47,76
ALTO BENI,atencion odontologica, primera consulta,2014-08-01,22,28,22,28,50
ANCORAIMES,atencion odontologica, primera consulta,2014-08-01,31,41,31,41,72
ANDAMARCA,atencion odontologica, primera consulta,2014-08-01,25,35,25,35,60
ANTEQUERA,atencion odontologica, primera consulta,2014-08-01,9,7,9,7,16
ANZALDO,atencion odontologica, primera consulta,2014-08-01,55,69,55,69,124
APOLO,atencion odontologica, primera consulta,2014-08-01,19,40,19,40,59
ARAMPAMPA,atencion odontologica, primera consulta,2014-08-01,35,28,35,28,63
ARANI,atencion odontologica, primera consulta,2014-08-01,12,27,12,27,39
ARBIETO,atencion odontologica, primera consulta,2014-08-01,21,61,21,61,82
ARQUE,atencion odontologica, primera consulta,2014-08-01,54,52,54,52,106
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-08-01,68,108,68,108,176
ATOCHA,atencion odontologica, primera consulta,2014-08-01,152,194,152,194,346
AUCAPATA,atencion odontologica, primera consulta,2014-08-01,23,27,23,27,50
AYATA,atencion odontologica, primera consulta,2014-08-01,33,49,33,49,82
AYO AYO,atencion odontologica, primera consulta,2014-08-01,14,33,14,33,47
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-08-01,67,58,67,58,125
AZURDUY,atencion odontologica, primera consulta,2014-08-01,17,29,17,29,46
BATALLAS,atencion odontologica, primera consulta,2014-08-01,54,70,54,70,124
BAURES,atencion odontologica, primera consulta,2014-08-01,27,37,27,37,64
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-08-01,9,16,9,16,25
BELEN DE URMIRI,atencion odontologica, primera consulta,2014-08-01,11,19,11,19,30
BELLA FLOR,atencion odontologica, primera consulta,2014-08-01,70,83,70,83,153
BERMEJO,atencion odontologica, primera consulta,2014-08-01,337,441,337,441,778
BETANZOS,atencion odontologica, primera consulta,2014-08-01,94,117,94,117,211
BOLIVAR,atencion odontologica, primera consulta,2014-08-01,12,22,12,22,34
BOLPEBRA,atencion odontologica, primera consulta,2014-08-01,11,12,11,12,23
BOYUIBE,atencion odontologica, primera consulta,2014-08-01,7,16,7,16,23
BUENA VISTA,atencion odontologica, primera consulta,2014-08-01,5,5,5,5,10
CABEZAS,atencion odontologica, primera consulta,2014-08-01,120,175,120,175,295
CAIROMA,atencion odontologica, primera consulta,2014-08-01,75,115,75,115,190
"CAIZA ""D""",atencion odontologica, primera consulta,2014-08-01,37,54,37,54,91
CAJUATA,atencion odontologica, primera consulta,2014-08-01,80,72,80,72,152
CALACOTO,atencion odontologica, primera consulta,2014-08-01,9,14,9,14,23
CALAMARCA,atencion odontologica, primera consulta,2014-08-01,119,122,119,122,241
CAMARGO,atencion odontologica, primera consulta,2014-08-01,39,67,39,67,106
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-08-01,19,28,19,28,47
CAMIRI,atencion odontologica, primera consulta,2014-08-01,153,219,153,219,372
CAPINOTA,atencion odontologica, primera consulta,2014-08-01,18,38,18,38,56
CAQUIAVIRI,atencion odontologica, primera consulta,2014-08-01,34,56,34,56,90
CARACOLLO,atencion odontologica, primera consulta,2014-08-01,21,23,21,23,44
CARANAVI,atencion odontologica, primera consulta,2014-08-01,149,180,149,180,329
CARAPARI,atencion odontologica, primera consulta,2014-08-01,71,91,71,91,162
CARIPUYO,atencion odontologica, primera consulta,2014-08-01,66,99,66,99,165
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-08-01,38,42,38,42,80
CATACORA,atencion odontologica, primera consulta,2014-08-01,2,7,2,7,9
CHALLAPATA,atencion odontologica, primera consulta,2014-08-01,216,253,216,253,469
CHAQUI,atencion odontologica, primera consulta,2014-08-01,9,16,9,16,25
CHARAGUA,atencion odontologica, primera consulta,2014-08-01,143,196,143,196,339
CHARAÑA,atencion odontologica, primera consulta,2014-08-01,5,8,5,8,13
CHAYANTA,atencion odontologica, primera consulta,2014-08-01,73,107,73,107,180
CHIMORE,atencion odontologica, primera consulta,2014-08-01,51,83,51,83,134
CHIPAYA,atencion odontologica, primera consulta,2014-08-01,2,3,2,3,5
CHOQUE COTA,atencion odontologica, primera consulta,2014-08-01,3,7,3,7,10
CHUA COCANI,atencion odontologica, primera consulta,2014-08-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-08-01,22,31,22,31,53
CHUMA,atencion odontologica, primera consulta,2014-08-01,97,91,97,91,188
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, primera consulta,2014-08-01,25,24,25,24,49
CKOCHAS,atencion odontologica, primera consulta,2014-08-01,38,57,38,57,95
CLIZA,atencion odontologica, primera consulta,2014-08-01,117,138,117,138,255
COBIJA,atencion odontologica, primera consulta,2014-08-01,512,737,512,737,1249
COCAPATA,atencion odontologica, primera consulta,2014-08-01,138,217,138,217,355
COCHABAMBA,atencion odontologica, primera consulta,2014-08-01,1423,2234,1423,2234,3657
COIPASA,atencion odontologica, primera consulta,2014-08-01,8,3,8,3,11
COLCAPIRHUA,atencion odontologica, primera consulta,2014-08-01,36,69,36,69,105
"COLCHA ""K""",atencion odontologica, primera consulta,2014-08-01,29,31,29,31,60
COLLANA,atencion odontologica, primera consulta,2014-08-01,12,17,12,17,29
COLOMI,atencion odontologica, primera consulta,2014-08-01,68,88,68,88,156
COLPA BELGICA,atencion odontologica, primera consulta,2014-08-01,0,1,0,1,1
COLQUECHACA,atencion odontologica, primera consulta,2014-08-01,116,148,116,148,264
COLQUENCHA,atencion odontologica, primera consulta,2014-08-01,41,44,41,44,85
COLQUIRI,atencion odontologica, primera consulta,2014-08-01,81,111,81,111,192
COMANCHE,atencion odontologica, primera consulta,2014-08-01,10,11,10,11,21
COMARAPA,atencion odontologica, primera consulta,2014-08-01,119,130,119,130,249
COMBAYA,atencion odontologica, primera consulta,2014-08-01,9,8,9,8,17
CONCEPCION,atencion odontologica, primera consulta,2014-08-01,85,128,85,128,213
COPACABANA,atencion odontologica, primera consulta,2014-08-01,133,171,133,171,304
CORIPATA,atencion odontologica, primera consulta,2014-08-01,39,40,39,40,79
CORO CORO,atencion odontologica, primera consulta,2014-08-01,31,64,31,64,95
COROICO,atencion odontologica, primera consulta,2014-08-01,26,22,26,22,48
CORQUE,atencion odontologica, primera consulta,2014-08-01,35,70,35,70,105
COTAGAITA,atencion odontologica, primera consulta,2014-08-01,201,270,201,270,471
COTOCA,atencion odontologica, primera consulta,2014-08-01,171,267,171,267,438
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-08-01,83,132,83,132,215
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, primera consulta,2014-08-01,8,20,8,20,28
CUEVO,atencion odontologica, primera consulta,2014-08-01,16,40,16,40,56
CULPINA,atencion odontologica, primera consulta,2014-08-01,54,100,54,100,154
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-08-01,35,40,35,40,75
CURVA,atencion odontologica, primera consulta,2014-08-01,35,45,35,45,80
DESAGUADERO,atencion odontologica, primera consulta,2014-08-01,250,270,250,270,520
EL ALTO,atencion odontologica, primera consulta,2014-08-01,3276,3937,3276,3937,7213
EL CHORO,atencion odontologica, primera consulta,2014-08-01,17,19,17,19,36
EL PUENTE(STC),atencion odontologica, primera consulta,2014-08-01,128,177,128,177,305
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-08-01,91,144,91,144,235
EL TORNO,atencion odontologica, primera consulta,2014-08-01,340,355,340,355,695
EL VILLAR,atencion odontologica, primera consulta,2014-08-01,21,34,21,34,55
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-08-01,237,331,237,331,568
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-08-01,54,70,54,70,124
