,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
ICLA,atencion odontologica, restauraciones,2014-08-01,15,32,15,32,47
INCAHUASI,atencion odontologica, restauraciones,2014-08-01,23,86,23,86,109
INQUISIVI,atencion odontologica, restauraciones,2014-08-01,6,7,6,7,13
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-08-01,79,141,79,141,220
IXIAMAS,atencion odontologica, restauraciones,2014-08-01,9,18,9,18,27
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-08-01,20,37,20,37,57
LA ASUNTA,atencion odontologica, restauraciones,2014-08-01,41,62,41,62,103
LA GUARDIA,atencion odontologica, restauraciones,2014-08-01,70,166,70,166,236
LA PAZ,atencion odontologica, restauraciones,2014-08-01,4795,6503,4795,6503,11298
LAGUNILLAS,atencion odontologica, restauraciones,2014-08-01,18,50,18,50,68
LAJA,atencion odontologica, restauraciones,2014-08-01,6,11,6,11,17
LAS CARRERAS,atencion odontologica, restauraciones,2014-08-01,24,49,24,49,73
LICOMA PAMPA,atencion odontologica, restauraciones,2014-08-01,7,28,7,28,35
LLALLAGUA,atencion odontologica, restauraciones,2014-08-01,65,90,65,90,155
LLICA,atencion odontologica, restauraciones,2014-08-01,6,12,6,12,18
LURIBAY,atencion odontologica, restauraciones,2014-08-01,18,15,18,15,33
MACHACAMARCA,atencion odontologica, restauraciones,2014-08-01,15,38,15,38,53
MACHARETI,atencion odontologica, restauraciones,2014-08-01,23,49,23,49,72
MAGDALENA,atencion odontologica, restauraciones,2014-08-01,19,51,19,51,70
MAIRANA,atencion odontologica, restauraciones,2014-08-01,14,56,14,56,70
MALLA,atencion odontologica, restauraciones,2014-08-01,1,0,1,0,1
MAPIRI,atencion odontologica, restauraciones,2014-08-01,9,13,9,13,22
MECAPACA,atencion odontologica, restauraciones,2014-08-01,27,37,27,37,64
MINEROS,atencion odontologica, restauraciones,2014-08-01,76,202,76,202,278
MIZQUE,atencion odontologica, restauraciones,2014-08-01,10,31,10,31,41
MOCOMOCO,atencion odontologica, restauraciones,2014-08-01,29,31,29,31,60
MOJOCOYA,atencion odontologica, restauraciones,2014-08-01,29,73,29,73,102
MONTEAGUDO,atencion odontologica, restauraciones,2014-08-01,98,193,98,193,291
MONTERO,atencion odontologica, restauraciones,2014-08-01,82,142,82,142,224
MORO MORO,atencion odontologica, restauraciones,2014-08-01,7,11,7,11,18
MOROCHATA,atencion odontologica, restauraciones,2014-08-01,50,109,50,109,159
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, restauraciones,2014-08-01,1,1,1,1,2
OCURI,atencion odontologica, restauraciones,2014-08-01,19,22,19,22,41
OKINAWA,atencion odontologica, restauraciones,2014-08-01,8,17,8,17,25
OMEREQUE,atencion odontologica, restauraciones,2014-08-01,4,32,4,32,36
ORURO,atencion odontologica, restauraciones,2014-08-01,1893,2734,1893,2734,4627
PADCAYA,atencion odontologica, restauraciones,2014-08-01,91,151,91,151,242
PADILLA,atencion odontologica, restauraciones,2014-08-01,42,104,42,104,146
PAILON,atencion odontologica, restauraciones,2014-08-01,59,119,59,119,178
PALCA,atencion odontologica, restauraciones,2014-08-01,44,67,44,67,111
PALOS BLANCOS,atencion odontologica, restauraciones,2014-08-01,55,109,55,109,164
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-08-01,16,29,16,29,45
PAMPA GRANDE,atencion odontologica, restauraciones,2014-08-01,6,18,6,18,24
PAPEL PAMPA,atencion odontologica, restauraciones,2014-08-01,20,20,20,20,40
PASORAPA,atencion odontologica, restauraciones,2014-08-01,11,11,11,11,22
PATACAMAYA,atencion odontologica, restauraciones,2014-08-01,38,63,38,63,101
PAZÑA,atencion odontologica, restauraciones,2014-08-01,44,47,44,47,91
PELECHUCO,atencion odontologica, restauraciones,2014-08-01,31,27,31,27,58
POCOATA,atencion odontologica, restauraciones,2014-08-01,48,98,48,98,146
POCONA,atencion odontologica, restauraciones,2014-08-01,129,143,129,143,272
POJO (CBBA),atencion odontologica, restauraciones,2014-08-01,303,392,303,392,695
POOPO,atencion odontologica, restauraciones,2014-08-01,48,85,48,85,133
PORCO,atencion odontologica, restauraciones,2014-08-01,11,24,11,24,35
POROMA,atencion odontologica, restauraciones,2014-08-01,19,50,19,50,69
PORONGO,atencion odontologica, restauraciones,2014-08-01,2,5,2,5,7
PORTACHUELO,atencion odontologica, restauraciones,2014-08-01,15,31,15,31,46
PORVENIR,atencion odontologica, restauraciones,2014-08-01,51,69,51,69,120
POSTRER VALLE,atencion odontologica, restauraciones,2014-08-01,26,18,26,18,44
POTOSI,atencion odontologica, restauraciones,2014-08-01,710,1490,710,1490,2200
PRESTO,atencion odontologica, restauraciones,2014-08-01,20,35,20,35,55
PUCARA,atencion odontologica, restauraciones,2014-08-01,1,0,1,0,1
PUCARANI,atencion odontologica, restauraciones,2014-08-01,22,58,22,58,80
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-08-01,7,28,7,28,35
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-08-01,57,73,57,73,130
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-08-01,51,69,51,69,120
PUERTO PEREZ,atencion odontologica, restauraciones,2014-08-01,7,10,7,10,17
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-08-01,29,39,29,39,68
PUERTO RICO,atencion odontologica, restauraciones,2014-08-01,12,28,12,28,40
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-08-01,14,35,14,35,49
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-08-01,97,264,97,264,361
PUNA,atencion odontologica, restauraciones,2014-08-01,34,87,34,87,121
PUNATA,atencion odontologica, restauraciones,2014-08-01,55,79,55,79,134
QUIABAYA,atencion odontologica, restauraciones,2014-08-01,17,15,17,15,32
QUILLACOLLO,atencion odontologica, restauraciones,2014-08-01,1274,1233,1274,1233,2507
QUIME,atencion odontologica, restauraciones,2014-08-01,112,145,112,145,257
QUIRUSILLAS,atencion odontologica, restauraciones,2014-08-01,10,9,10,9,19
RAVELO,atencion odontologica, restauraciones,2014-08-01,31,86,31,86,117
REYES,atencion odontologica, restauraciones,2014-08-01,46,66,46,66,112
RIBERALTA,atencion odontologica, restauraciones,2014-08-01,128,275,128,275,403
ROBORE,atencion odontologica, restauraciones,2014-08-01,39,62,39,62,101
RURRENABAQUE,atencion odontologica, restauraciones,2014-08-01,70,143,70,143,213
SABAYA,atencion odontologica, restauraciones,2014-08-01,20,30,20,30,50
SACABA,atencion odontologica, restauraciones,2014-08-01,888,1186,888,1186,2074
SACABAMBA,atencion odontologica, restauraciones,2014-08-01,5,40,5,40,45
SACACA,atencion odontologica, restauraciones,2014-08-01,10,11,10,11,21
SAIPINA,atencion odontologica, restauraciones,2014-08-01,16,26,16,26,42
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-08-01,165,213,165,213,378
SAMAIPATA,atencion odontologica, restauraciones,2014-08-01,14,40,14,40,54
SAN AGUSTIN,atencion odontologica, restauraciones,2014-08-01,1,8,1,8,9
SAN ANDRES,atencion odontologica, restauraciones,2014-08-01,9,38,9,38,47
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-08-01,99,108,99,108,207
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-08-01,8,21,8,21,29
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-08-01,3,15,3,15,18
SAN BENITO,atencion odontologica, restauraciones,2014-08-01,36,43,36,43,79
SAN BORJA,atencion odontologica, restauraciones,2014-08-01,45,137,45,137,182
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-08-01,10,40,10,40,50
SAN CARLOS,atencion odontologica, restauraciones,2014-08-01,34,64,34,64,98
SAN IGNACIO,atencion odontologica, restauraciones,2014-08-01,40,60,40,60,100
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-08-01,97,144,97,144,241
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-08-01,4,9,4,9,13
SAN JAVIER(STC),atencion odontologica, restauraciones,2014-08-01,14,25,14,25,39
SAN JOAQUIN,atencion odontologica, restauraciones,2014-08-01,12,8,12,8,20
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-08-01,65,103,65,103,168
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-08-01,20,52,20,52,72
SAN JULIAN,atencion odontologica, restauraciones,2014-08-01,50,113,50,113,163
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-08-01,3,7,3,7,10
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-08-01,128,298,128,298,426
SAN LUCAS,atencion odontologica, restauraciones,2014-08-01,43,102,43,102,145
SAN MATIAS,atencion odontologica, restauraciones,2014-08-01,7,21,7,21,28
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-08-01,14,42,14,42,56
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-08-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, restauraciones,2014-08-01,81,220,81,220,301
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-08-01,40,113,40,113,153
SAN PEDRO DE CURAHUARA,atencion odontologica, restauraciones,2014-08-01,25,27,25,27,52
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-08-01,0,3,0,3,3
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-08-01,2,16,2,16,18
SAN RAFAEL,atencion odontologica, restauraciones,2014-08-01,1,3,1,3,4
SAN RAMON BENI,atencion odontologica, restauraciones,2014-08-01,11,25,11,25,36
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-08-01,29,34,29,34,63
SANTA ANA,atencion odontologica, restauraciones,2014-08-01,60,132,60,132,192
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-08-01,3420,6996,3420,6996,10416
SANTA ROSA,atencion odontologica, restauraciones,2014-08-01,8,8,8,8,16
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-08-01,26,48,26,48,74
SANTIAGO DE CALLAPA,atencion odontologica, restauraciones,2014-08-01,2,6,2,6,8
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-08-01,76,198,76,198,274
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-08-01,16,25,16,25,41
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-08-01,5,22,5,22,27
SANTIVAÑES,atencion odontologica, restauraciones,2014-08-01,13,15,13,15,28
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-08-01,17,32,17,32,49
SAPAHAQUI,atencion odontologica, restauraciones,2014-08-01,40,46,40,46,86
SENA,atencion odontologica, restauraciones,2014-08-01,7,11,7,11,18
SHINAOTA,atencion odontologica, restauraciones,2014-08-01,34,58,34,58,92
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-08-01,39,77,39,77,116
SICAYA,atencion odontologica, restauraciones,2014-08-01,0,3,0,3,3
SIPE SIPE,atencion odontologica, restauraciones,2014-08-01,148,300,148,300,448
SOPACHUY,atencion odontologica, restauraciones,2014-08-01,30,88,30,88,118
SORACACHI,atencion odontologica, restauraciones,2014-08-01,18,5,18,5,23
SORATA,atencion odontologica, restauraciones,2014-08-01,37,84,37,84,121
SUCRE,atencion odontologica, restauraciones,2014-08-01,2643,3990,2643,3990,6633
TACACHI,atencion odontologica, restauraciones,2014-08-01,4,10,4,10,14
TACACOMA,atencion odontologica, restauraciones,2014-08-01,23,42,23,42,65
TACOBAMBA,atencion odontologica, restauraciones,2014-08-01,3,8,3,8,11
TACOPAYA,atencion odontologica, restauraciones,2014-08-01,8,24,8,24,32
TAHUA,atencion odontologica, restauraciones,2014-08-01,6,16,6,16,22
TAPACARI,atencion odontologica, restauraciones,2014-08-01,46,101,46,101,147
TARABUCO,atencion odontologica, restauraciones,2014-08-01,48,94,48,94,142
TARACO,atencion odontologica, restauraciones,2014-08-01,60,62,60,62,122
TARATA,atencion odontologica, restauraciones,2014-08-01,43,103,43,103,146
TARIJA,atencion odontologica, restauraciones,2014-08-01,1708,3083,1708,3083,4791
TARVITA,atencion odontologica, restauraciones,2014-08-01,28,70,28,70,98
TEOPONTE,atencion odontologica, restauraciones,2014-08-01,32,68,32,68,100
TIAWANACU,atencion odontologica, restauraciones,2014-08-01,18,26,18,26,44
TINGUIPAYA,atencion odontologica, restauraciones,2014-08-01,3,11,3,11,14
TIPUANI,atencion odontologica, restauraciones,2014-08-01,19,33,19,33,52
TIQUIPAYA,atencion odontologica, restauraciones,2014-08-01,418,741,418,741,1159
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-08-01,12,24,12,24,36
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-08-01,9,6,9,6,15
TOCO,atencion odontologica, restauraciones,2014-08-01,11,48,11,48,59
TODOS SANTOS,atencion odontologica, restauraciones,2014-08-01,5,1,5,1,6
TOLATA,atencion odontologica, restauraciones,2014-08-01,10,6,10,6,16
TOLEDO,atencion odontologica, restauraciones,2014-08-01,17,25,17,25,42
TOMAVE,atencion odontologica, restauraciones,2014-08-01,18,52,18,52,70
TOMINA,atencion odontologica, restauraciones,2014-08-01,44,87,44,87,131
TORO TORO,atencion odontologica, restauraciones,2014-08-01,18,60,18,60,78
TOTORA(CBBA),atencion odontologica, restauraciones,2014-08-01,31,110,31,110,141
TOTORA(ORR),atencion odontologica, restauraciones,2014-08-01,19,76,19,76,95
TRIGAL,atencion odontologica, restauraciones,2014-08-01,13,5,13,5,18
TRINIDAD,atencion odontologica, restauraciones,2014-08-01,425,612,425,612,1037
TUPIZA,atencion odontologica, restauraciones,2014-08-01,167,210,167,210,377
TURCO,atencion odontologica, restauraciones,2014-08-01,18,14,18,14,32
UMALA,atencion odontologica, restauraciones,2014-08-01,14,33,14,33,47
UNCIA,atencion odontologica, restauraciones,2014-08-01,55,107,55,107,162
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-08-01,200,359,200,359,559
URUBICHA,atencion odontologica, restauraciones,2014-08-01,2,35,2,35,37
UYUNI,atencion odontologica, restauraciones,2014-08-01,19,42,19,42,61
VACAS,atencion odontologica, restauraciones,2014-08-01,41,49,41,49,90
VALLEGRANDE,atencion odontologica, restauraciones,2014-08-01,77,147,77,147,224
VIACHA,atencion odontologica, restauraciones,2014-08-01,162,186,162,186,348
VILA VILA,atencion odontologica, restauraciones,2014-08-01,3,48,3,48,51
VILLA CHARCAS,atencion odontologica, restauraciones,2014-08-01,6,38,6,38,44
VILLA MONTES,atencion odontologica, restauraciones,2014-08-01,212,311,212,311,523
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-08-01,2,2,2,2,4
VILLA RIVERO,atencion odontologica, restauraciones,2014-08-01,23,57,23,57,80
VILLA SERRANO,atencion odontologica, restauraciones,2014-08-01,73,105,73,105,178
VILLA TUNARI,atencion odontologica, restauraciones,2014-08-01,210,480,210,480,690
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-08-01,36,74,36,74,110
VILLAZON,atencion odontologica, restauraciones,2014-08-01,107,155,107,155,262
VINTO,atencion odontologica, restauraciones,2014-08-01,97,210,97,210,307
VITICHI,atencion odontologica, restauraciones,2014-08-01,36,59,36,59,95
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-08-01,1,4,1,4,5
WARNES,atencion odontologica, restauraciones,2014-08-01,68,219,68,219,287
YACUIBA,atencion odontologica, restauraciones,2014-08-01,387,631,387,631,1018
YAMPARAEZ,atencion odontologica, restauraciones,2014-08-01,28,72,28,72,100
YANACACHI,atencion odontologica, restauraciones,2014-08-01,27,35,27,35,62
YAPACANI,atencion odontologica, restauraciones,2014-08-01,128,338,128,338,466
YOCALLA,atencion odontologica, restauraciones,2014-08-01,8,17,8,17,25
YOTALA,atencion odontologica, restauraciones,2014-08-01,0,47,0,47,47
YUNCHARA,atencion odontologica, restauraciones,2014-08-01,64,95,64,95,159
ZUDAÑEZ,atencion odontologica, restauraciones,2014-08-01,17,21,17,21,38
ACACIO,atencion odontologica, restauraciones,2014-09-01,3,9,3,9,12
ACHACACHI,atencion odontologica, restauraciones,2014-09-01,143,248,143,248,391
ACHOCALLA,atencion odontologica, restauraciones,2014-09-01,33,26,33,26,59
AIQUILE,atencion odontologica, restauraciones,2014-09-01,83,115,83,115,198
ALALAY,atencion odontologica, restauraciones,2014-09-01,3,5,3,5,8
ALCALA,atencion odontologica, restauraciones,2014-09-01,24,40,24,40,64
ALTO BENI,atencion odontologica, restauraciones,2014-09-01,9,15,9,15,24
ANCORAIMES,atencion odontologica, restauraciones,2014-09-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, restauraciones,2014-09-01,31,41,31,41,72
ANTEQUERA,atencion odontologica, restauraciones,2014-09-01,17,44,17,44,61
ANZALDO,atencion odontologica, restauraciones,2014-09-01,37,56,37,56,93
APOLO,atencion odontologica, restauraciones,2014-09-01,27,69,27,69,96
ARAMPAMPA,atencion odontologica, restauraciones,2014-09-01,13,25,13,25,38
ARANI,atencion odontologica, restauraciones,2014-09-01,31,87,31,87,118
ARBIETO,atencion odontologica, restauraciones,2014-09-01,32,55,32,55,87
ARQUE,atencion odontologica, restauraciones,2014-09-01,26,47,26,47,73
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-09-01,23,31,23,31,54
ATOCHA,atencion odontologica, restauraciones,2014-09-01,164,169,164,169,333
AUCAPATA,atencion odontologica, restauraciones,2014-09-01,7,6,7,6,13
AYATA,atencion odontologica, restauraciones,2014-09-01,27,36,27,36,63
AYO AYO,atencion odontologica, restauraciones,2014-09-01,13,27,13,27,40
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-09-01,94,110,94,110,204
AZURDUY,atencion odontologica, restauraciones,2014-09-01,8,13,8,13,21
BATALLAS,atencion odontologica, restauraciones,2014-09-01,35,73,35,73,108
BAURES,atencion odontologica, restauraciones,2014-09-01,15,48,15,48,63
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-09-01,8,11,8,11,19
BELEN DE URMIRI,atencion odontologica, restauraciones,2014-09-01,6,8,6,8,14
BELLA FLOR,atencion odontologica, restauraciones,2014-09-01,1,0,1,0,1
BERMEJO,atencion odontologica, restauraciones,2014-09-01,531,615,531,615,1146
BETANZOS,atencion odontologica, restauraciones,2014-09-01,13,38,13,38,51
BOLIVAR,atencion odontologica, restauraciones,2014-09-01,17,25,17,25,42
BOYUIBE,atencion odontologica, restauraciones,2014-09-01,7,17,7,17,24
BUENA VISTA,atencion odontologica, restauraciones,2014-09-01,16,61,16,61,77
CABEZAS,atencion odontologica, restauraciones,2014-09-01,18,36,18,36,54
CAIROMA,atencion odontologica, restauraciones,2014-09-01,19,67,19,67,86
"CAIZA ""D""",atencion odontologica, restauraciones,2014-09-01,22,27,22,27,49
CAJUATA,atencion odontologica, restauraciones,2014-09-01,32,32,32,32,64
CALACOTO,atencion odontologica, restauraciones,2014-09-01,10,24,10,24,34
CALAMARCA,atencion odontologica, restauraciones,2014-09-01,41,80,41,80,121
CAMARGO,atencion odontologica, restauraciones,2014-09-01,36,72,36,72,108
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-09-01,9,22,9,22,31
CAMIRI,atencion odontologica, restauraciones,2014-09-01,89,255,89,255,344
CAPINOTA,atencion odontologica, restauraciones,2014-09-01,89,132,89,132,221
CAQUIAVIRI,atencion odontologica, restauraciones,2014-09-01,18,36,18,36,54
CARACOLLO,atencion odontologica, restauraciones,2014-09-01,61,76,61,76,137
CARANAVI,atencion odontologica, restauraciones,2014-09-01,154,148,154,148,302
CARAPARI,atencion odontologica, restauraciones,2014-09-01,111,189,111,189,300
CARIPUYO,atencion odontologica, restauraciones,2014-09-01,27,28,27,28,55
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-09-01,5,6,5,6,11
CHALLAPATA,atencion odontologica, restauraciones,2014-09-01,290,470,290,470,760
CHAQUI,atencion odontologica, restauraciones,2014-09-01,4,9,4,9,13
