municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,142,142
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,111,111
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,11,11
ANCORAIMES,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
ANZALDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,11,11
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,15,15
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,300,300
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,18,18
AUCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,79,79
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,65,65
BATALLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,26,26
BELLA FLOR,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,158,158
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,43,43
BOLIVAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,10,10
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,14,14
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,12,12
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,9,9
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,14,14
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,120,120
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,7,7
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,369,369
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,36,36
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,59,59
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,185,185
CARAPARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,16,16
CATACORA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,196,196
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,16,16
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,25,25
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,8,8
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,69,69
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,20,20
CKOCHAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,84,84
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,630,630
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,38,38
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6294,6294
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,57,57
"COLCHA ""K""",internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,38,38
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,8,8
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,12,12
COLQUENCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
COMANCHE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,79,79
COMBAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,150,150
COPACABANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,13,13
CORO CORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
COROICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,97,97
CORQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
COTAGAITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,9,9
COTOCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,153,153
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,8,8
CUEVO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,10,10
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,78,78
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
DESAGUADERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4029,4029
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,12,12
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,896,896
EL VILLAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,19,19
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,33,33
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,50,50
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,22,22
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
EXALTACION,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
FILADELFIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,39,39
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,371,371
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,21,21
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,31,31
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,54,54
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,14,14
HUATAJATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
HUMANATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,20,20
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,25,25
INQUISIVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,11,11
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,12,12
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,8,8
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,119,119
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,103,103
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6787,6787
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,16,16
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,7,7
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,268,268
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
LORETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,8,8
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,9,9
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,71,71
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,84,84
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,11,11
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
MINEROS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,25,25
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,54,54
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,281,281
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1025,1025
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,7,7
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,13,13
OKINAWA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,22,22
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2545,2545
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,99,99
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,91,91
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,43,43
PAMPA AULLAGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,14,14
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,63,63
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,10,10
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,22,22
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,22,22
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,32,32
PORONGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,123,123
PORVENIR,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1589,1589
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,13,13
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,5,5
PUERTO ACOSTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
PUERTO CARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
PUERTO PEREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,3,3
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,25,25
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,324,324
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,265,265
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,563,563
RAVELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,53,53
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,858,858
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,156,156
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,204,204
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,544,544
SACABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,24,24
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,71,71
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,6,6
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,28,28
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,37,37
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,1,1
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,9,9
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,284,284
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,33,33
SAN CARLOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,10,10
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,80,80
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,388,388
SAN JAVIER(BNI),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,2,2
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,56,56
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,21,21
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,136,136
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,19,19
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,111,111
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,4,4
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,64,64
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,69,69
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-08-01,25,25
