,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
SANTIVAÑES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,0,7,0,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,2,3,2,5
SAPAHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,11,7,11,18
SENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,1,11,1,12
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,18,15,18,15,33
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,3,11,3,11,14
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,52,10,52,10,62
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,4,6,4,10
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,11,7,11,18
SORATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,22,31,22,31,53
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,482,22,482,22,504
TACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,4,11,4,15
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,8,12,8,12,20
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,4,7,4,11
TAHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,3,1,3,4
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,21,28,21,28,49
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,13,17,13,17,30
TARACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,7,2,7,9
TARATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,14,0,14,0,14
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,270,10,270,10,280
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,17,12,17,12,29
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,9,5,9,14
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,20,9,20,29
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,29,11,29,40
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,16,0,16,0,16
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,92,11,92,11,103
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,71,12,71,12,83
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,7,6,7,13
TODOS SANTOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,3,7,3,10
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,3,9,3,12
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,19,7,19,26
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,5,11,5,16
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,10,7,10,17
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,15,18,15,18,33
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,1,4,1,5
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,1,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,230,2,230,2,232
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,65,20,65,20,85
TURCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,0,7,0,7
UMALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,34,0,34,34
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,39,34,39,34,73
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,17,3,17,3,20
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,0,14,0,14,14
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,43,5,43,5,48
VACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,7,9,7,9,16
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,17,1,17,1,18
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,91,5,91,5,96
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,5,4,5,9
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,63,11,63,11,74
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,10,3,10,3,13
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,2,11,2,13
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,119,39,119,39,158
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,9,5,9,5,14
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,62,9,62,9,71
VINTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,91,8,91,8,99
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,6,8,6,8,14
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,2,1,2,1,3
WARNES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,144,25,144,25,169
YACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,18,5,18,23
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,157,21,157,21,178
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,2,4,2,6
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,1,5,1,6
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,84,17,84,17,101
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,1,5,1,5,6
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,5,1,5,1,6
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,4,2,4,2,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-07-01,11,6,11,6,17
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,9,0,9,9
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,31,50,31,50,81
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,28,6,28,34
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,35,14,35,14,49
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,4,1,4,5
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,2,2,2,4
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,11,4,11,15
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,5,2,5,7
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,1,5,1,6
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,8,3,8,11
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,28,20,28,20,48
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,6,4,6,10
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,7,5,7,5,12
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,7,18,7,18,25
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,10,5,10,5,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,65,10,65,10,75
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,8,3,8,11
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,3,1,3,4
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,10,4,10,14
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,8,4,8,4,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,28,24,28,24,52
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,8,6,8,14
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,28,8,28,8,36
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,1,9,1,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,7,0,7,7
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,71,13,71,13,84
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,29,18,29,18,47
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,4,1,4,5
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,1,0,1,1
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,15,15,15,15,30
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,28,2,28,2,30
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,11,3,11,3,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,14,2,14,16
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,12,4,12,4,16
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,6,4,6,10
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,16,6,16,6,22
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,18,5,18,5,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,3,6,3,9
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,62,2,62,2,64
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,30,5,30,5,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,11,3,11,14
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,22,32,22,32,54
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,85,40,85,40,125
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,12,1,12,1,13
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,15,5,15,20
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,2,5,2,7
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,1,1,1,2
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,1,3,1,4
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,41,4,41,4,45
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,14,5,14,5,19
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,23,30,23,30,53
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,1,4,1,5
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,13,20,13,20,33
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,31,5,31,5,36
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,1,1,1,2
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,21,14,21,14,35
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,10,9,10,19
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,31,8,31,8,39
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,82,4,82,4,86
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1270,17,1270,17,1287
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,72,5,72,5,77
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,10,5,10,5,15
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,28,3,28,3,31
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,11,5,11,5,16
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,26,54,26,54,80
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,8,9,8,17
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,11,25,11,25,36
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,1,1,1,2
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,29,9,29,9,38
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,7,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,32,20,32,20,52
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,8,11,8,11,19
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,16,6,16,6,22
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,11,3,11,14
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,20,11,20,11,31
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,8,5,8,13
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,20,28,20,28,48
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,104,23,104,23,127
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,38,25,38,25,63
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,1,0,1,1
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,5,5,5,10
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,24,12,24,12,36
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,2,2,2,4
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,3,3,3,6
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,3,6,3,9
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1568,11,1568,11,1579
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,8,2,8,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,15,7,15,7,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,10,4,10,4,14
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,102,7,102,7,109
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,3,3,3,6
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,51,11,51,11,62
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,15,10,15,10,25
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,2,0,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,3,9,3,12
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,28,7,28,7,35
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,4,6,4,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,35,1,35,1,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,11,22,11,22,33
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,15,15,15,15,30
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,5,6,5,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,65,5,65,5,70
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,25,10,25,10,35
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,19,6,19,6,25
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,2,0,2,2
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,38,12,38,12,50
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,0,9,0,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,3,1,3,4
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,7,2,7,9
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,7,3,7,3,10
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,31,30,31,30,61
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,7,0,7,7
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,17,5,17,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,11,19,11,19,30
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,24,3,24,3,27
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,14,1,14,1,15
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,57,27,57,27,84
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,128,6,128,6,134
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1351,23,1351,23,1374
LA RIVERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,8,4,8,12
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,25,9,25,9,34
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,0,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,1,4,1,5
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,57,53,57,53,110
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,3,2,3,5
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,7,6,7,6,13
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,1,6,1,7
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,1,4,1,5
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,8,3,8,3,11
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,15,11,15,11,26
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,13,0,13,0,13
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,4,2,4,6
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,16,20,16,20,36
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,8,9,8,17
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,33,6,33,6,39
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,42,18,42,18,60
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,17,9,17,26
MOJINETE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,5,10,5,10,15
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,27,12,27,12,39
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,199,28,199,28,227
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,1,4,1,5
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,15,43,15,43,58
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,5,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,0,2,0,2,2
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,12,32,12,32,44
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,4,6,4,10
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,7,2,7,9
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,535,32,535,32,567
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,14,12,14,12,26
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,10,4,10,4,14
PAILON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,48,50,48,50,98
PALCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,8,21,8,21,29
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,44,7,44,7,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,3,1,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,13,1,13,1,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,15,1,15,16
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,1,1,1,1,2
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,40,1,40,1,41
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,2,4,2,6
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,9,4,9,13
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,4,51,4,51,55
POCONA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,13,6,13,19
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,17,9,17,9,26
POOPO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,1,9,1,10
PORCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,7,3,7,3,10
POROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,10,11,10,11,21
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,9,6,9,6,15
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,33,2,33,2,35
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,6,7,6,7,13
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,1,2,1,3
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,344,11,344,11,355
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-08-01,2,2,2,2,4
