,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
TARIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,68,66,27,101,95,167,262
TARVITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,2,30,42,34,44,78
TEOPONTE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,7,3,2,9,9,12,21
TIAHUANACU,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,7,9,4,9,11,18,29
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,6,9,6,9,15
TIPUANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,17,15,17,15,32
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,21,23,93,115,114,138,252
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,3,35,15,36,18,54
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,0,1,0,1
TOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,10,5,9,14,19,33
TOLATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,1,3,2,4,6
TOLEDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,2,1,0,2,2,4
TOMAVE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,1,1,1,3,4
TOMINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,15,11,17,12,29
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,7,9,5,4,12,13,25
TOTORA(ORR),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,10,3,4,7,14,21
TRINIDAD,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,25,19,13,10,38,29,67
TUPIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,29,29,45,57,74,86,160
TURCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,14,0,0,4,14,18
UMALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,3,1,4,1,5
UNCIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,8,7,0,0,8,7,15
URUBICHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,0,1,0,1
UYUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,8,3,3,0,11,3,14
VACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,0,1,2,3,5
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,7,8,8,11,15,26
VIACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,2,90,85,91,87,178
VILA VILA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,4,11,14,13,18,31
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,0,1,1,2
VILLA MONTES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,48,21,35,31,83,52,135
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,7,2,7,9
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,7,4,8,5,15,20
VILLA SERRANO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,9,5,13,10,22,32
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,18,14,38,39,56,53,109
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,2,35,17,38,19,57
VILLAZON,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,14,22,3,11,17,33,50
VINTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,6,6,2,15,8,23
VITICHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,0,1,0,1,1
WALDO BALLIVIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,64,51,1,12,65,63,128
YACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,12,7,14,8,22
YACUIBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,3,57,67,66,70,136
YAMPARAEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,7,3,4,4,11,15
YANACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,5,11,12,17,17,34
YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,13,4,0,0,13,4,17
YOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,6,1,2,2,8,10
YOTALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,2,26,43,31,45,76
YUNCHARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,0,1,1,2
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,5,2,5,7
ACHACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,11,12,22,16,33,49
ACHOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,10,16,17,19,27,46
AIQUILE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,11,16,4,15,15,31,46
ALALAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,12,12,0,0,12,12,24
ALTO BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,20,19,26,24,46,43,89
ANCORAIMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,4,3,5,3,8
ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,4,0,1,2,5,7
ANTEQUERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,2,6,4,7,6,13
ANZALDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,6,11,6,11,17
APOLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,2,2,2,3,5
ARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,6,1,6,6,12,18
ARBIETO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,9,10,7,15,16,25,41
ARQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,0,24,36,26,36,62
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,10,6,3,2,13,8,21
ATOCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,7,8,25,30,32,38,70
AYATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,3,10,10,10,13,23
AYO AYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,1,9,15,12,16,28
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,57,51,66,86,123,137,260
BATALLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,5,1,3,4,8,12
BAURES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,1,27,30,29,31,60
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,2,1,2,2,4,6
BERMEJO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,7,12,0,0,7,12,19
BETANZOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,3,4,3,5,6,11
BOLIVAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,4,12,7,18,11,29
BOYUIBE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,0,0,1,5,1,6
CABEZAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,1,26,0,29,1,30
CAIROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,2,1,3,1,4
"CAIZA ""D""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,2,1,2,2,4
CAJUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,3,7,5,9,8,17
CALACOTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,4,7,4,8,12
CALAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,6,7,7,7,14
CAMARGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,1,13,31,14,32,46
CAMIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,27,7,9,20,36,27,63
CAPINOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,11,23,21,31,32,63
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,2,1,3,1,5,6
CARACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,17,26,13,11,30,37,67
CARANAVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,10,6,26,4,36,10,46
CARAPARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,0,1,0,1
CARIPUYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,2,0,0,1,2,3
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,9,19,0,0,9,19,28
CHACARILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,1,1,1,2,3
CHALLAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,13,12,7,4,20,16,36
CHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,1,1,5,2,6,8
CHARAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,11,32,0,34,11,45
CHAYANTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,0,3,0,7,0,7
CHIMORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,9,16,26,36,35,52,87
CHIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,15,18,4,14,19,32,51
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,2,0,0,4,2,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,7,8,10,16,17,33
CHUMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,1,10,9,14,10,24
CKOCHAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,9,9,22,17,31,48
CLIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,10,14,23,19,33,52
COBIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,14,26,48,58,62,84,146
COCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,15,10,10,18,25,43
COCHABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,296,417,628,826,924,1243,2167
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,4,88,109,92,113,205
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,107,15,3,5,110,20,130
COLLANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,1,2,0,3,1,4
COLOMI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,6,23,17,31,23,54
COLPA BELGICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,3,0,0,3,3,6
COLQUECHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,1,3,0,5,1,6
COLQUENCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,7,3,1,8,8,11,19
COLQUIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,16,17,17,17,34
COMANCHE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,1,1,1,2
COMBAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,1,1,1,2
CONCEPCION,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,7,4,0,0,7,4,11
COPACABANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,4,13,10,14,14,28
CORIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,2,15,12,16,14,30
CORO CORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,1,4,1,9,2,11
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,4,2,1,4,5,9
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,32,46,6,6,38,52,90
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,3,5,15,9,18,27
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,16,19,5,8,21,27,48
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,0,0,0,2,0,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,0,1,0,1,1
CUEVO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,3,2,2,6,5,11
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,9,5,7,18,16,23,39
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,7,38,0,41,7,48
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,1,0,3,1,4,5
DESAGUADERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,109,144,135,158,244,302,546
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,5,5,8,8,13,21
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,5,14,27,20,32,52
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,10,15,0,0,10,15,25
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,8,5,11,10,19,29
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,18,15,23,10,41,25,66
ESCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,11,7,11,7,18
ESCOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,7,1,1,1,8,9
ESMERALDA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,3,0,0,0,3,3
EUCALIPTUS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,3,1,3,4
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,4,0,0,0,4,4
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,2,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,9,7,17,13,26,39
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,5,3,6,3,9
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,5,14,12,20,17,37
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,1,2,0,4,1,5
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,13,29,45,38,58,67,125
GUTIERREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,2,7,20,7,22,29
HUACARETA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,0,1,0,1,1
HUACHACALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,1,10,0,11,1,12
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,70,83,3,10,73,93,166
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,2,0,1,1,3,4
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,4,3,4,4,8
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,2,10,11,15,13,28
HUMANATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,4,2,5,2,7
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,3,1,3,1,4
ICLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,1,0,1,1,2,3
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,0,1,0,1,1
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,2,12,11,20,13,33
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,4,7,5,12,9,21
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,0,0,0,1,1
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,2,3,4,5,6,11
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,9,2,1,6,10,16
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,71,79,5,1,76,80,156
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,423,681,463,488,886,1169,2055
LA RIVERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,7,4,7,4,11
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,2,40,35,42,37,79
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,1,10,11,13,12,25
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,5,5,5,6,11
LLALLAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,17,18,84,107,101,125,226
LLICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,5,7,6,13,11,24
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,3,2,9,2,12,14
MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,1,0,0,2,1,3
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,44,6,0,0,44,6,50
MAGDALENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,41,27,41,27,68
MAIRANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,3,0,0,3,3,6
MAPIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,4,14,8,17,12,29
MECAPACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,2,6,7,9,9,18
MINEROS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,12,0,3,5,15,20
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,2,8,20,9,22,31
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,1,5,6,8,7,15
MOJOCOYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,13,6,0,0,13,6,19
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,2,3,3,7,5,12
MONTERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,75,41,9,16,84,57,141
MORO MORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,4,7,4,7,11
MOROCHATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,1,21,18,25,19,44
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,0,1,0,1
OCURI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,2,2,3,2,5
OKINAWA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,3,0,0,3,3,6
OMEREQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,112,123,112,123,235
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,200,270,73,133,273,403,676
PADCAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,2,0,0,0,2,2
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,1,7,23,7,24,31
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,7,6,16,12,23,35
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,5,0,3,5,8,13
PAMPA GRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,0,0,1,0,1
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,1,4,4,8,5,13
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,7,5,8,5,13
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,10,7,9,11,19,30
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,7,9,20,31,27,40,67
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,3,2,2,3,5,8
POCOATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,0,0,1,0,1
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,9,21,26,27,35,62
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,4,25,22,27,26,53
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,8,14,13,13,21,27,48
PORCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,2,0,0,0,2,2
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,6,0,0,1,6,7
PORTACHUELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,20,50,0,2,20,52,72
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,7,3,2,6,9,15
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,2,0,2,0,2
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,65,146,154,71,219,217,436
PRESTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,3,7,3,7,6,13
PUCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,2,0,0,2,2,4
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,10,34,32,37,42,79
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,4,3,7,13,11,16,27
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,0,14,13,16,13,29
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,8,10,8,10,18
PUERTO PEREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,3,2,2,3,5,8
PUERTO RICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,3,2,3,2,5
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,10,1,1,7,11,18
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,3,13,23,15,26,41
PUNA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,9,19,9,19,28
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,11,3,8,8,19,27
QUIABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,29,39,244,153,273,192,465
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,6,1,6,1,7
QUIRUSILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,0,0,1,0,1,1
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,7,6,10,8,17,25
RAVELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,5,12,14,14,19,33
RIBERALTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,6,15,1,0,7,15,22
ROBORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,23,1,1,2,24,26
RURRENABAQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,5,0,0,1,5,6
SABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,29,18,56,32,85,50,135
SACABA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,35,78,225,248,260,326,586
SACABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,7,4,8,4,12
SACACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,2,5,8,5,10,15
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,5,1,21,21,26,22,48
SAMAIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,13,13,4,5,17,18,35
SAN ANDRES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,0,0,0,2,0,2
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,1,0,1,0,2,0,2
SAN BENITO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,3,8,1,1,4,9,13
SAN BORJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,6,1,0,1,6,7
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,2,2,6,6,8,8,16
SAN CARLOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-07-01,0,4,0,0,0,4,4
