,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
ARQUE,estado nutricional,total talla normal,2014-07-01,98,97,78,72,88,84,264,253,517
ASCENCION DE GUARAYOS,estado nutricional,total talla normal,2014-07-01,338,295,187,200,138,142,663,637,1300
ATOCHA,estado nutricional,total talla normal,2014-07-01,101,91,55,70,90,67,246,228,474
AUCAPATA,estado nutricional,total talla normal,2014-07-01,55,45,38,34,35,31,128,110,238
AYATA,estado nutricional,total talla normal,2014-07-01,52,58,39,45,27,38,118,141,259
AYO AYO,estado nutricional,total talla normal,2014-07-01,70,50,44,64,39,39,153,153,306
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla normal,2014-07-01,259,257,173,199,178,191,610,647,1257
AZURDUY,estado nutricional,total talla normal,2014-07-01,90,80,54,58,138,153,282,291,573
BATALLAS,estado nutricional,total talla normal,2014-07-01,152,124,114,120,83,86,349,330,679
BAURES,estado nutricional,total talla normal,2014-07-01,43,40,37,34,45,51,125,125,250
BELEN DE ANDAMARCA,estado nutricional,total talla normal,2014-07-01,9,11,8,6,5,4,22,21,43
BELEN DE URMIRI,estado nutricional,total talla normal,2014-07-01,11,10,15,15,3,10,29,35,64
BELLA FLOR,estado nutricional,total talla normal,2014-07-01,24,29,26,29,34,41,84,99,183
BERMEJO,estado nutricional,total talla normal,2014-07-01,400,352,346,356,281,262,1027,970,1997
BETANZOS,estado nutricional,total talla normal,2014-07-01,258,284,173,196,212,222,643,702,1345
BOLIVAR,estado nutricional,total talla normal,2014-07-01,40,49,45,39,41,50,126,138,264
BOLPEBRA,estado nutricional,total talla normal,2014-07-01,16,13,25,17,25,23,66,53,119
BOYUIBE,estado nutricional,total talla normal,2014-07-01,22,36,19,23,39,29,80,88,168
BUENA VISTA,estado nutricional,total talla normal,2014-07-01,121,130,112,122,158,153,391,405,796
CABEZAS,estado nutricional,total talla normal,2014-07-01,179,158,135,129,114,109,428,396,824
CAIROMA,estado nutricional,total talla normal,2014-07-01,72,66,44,41,63,59,179,166,345
"CAIZA ""D""",estado nutricional,total talla normal,2014-07-01,76,67,61,61,59,58,196,186,382
CAJUATA,estado nutricional,total talla normal,2014-07-01,124,91,96,78,91,82,311,251,562
CALACOTO,estado nutricional,total talla normal,2014-07-01,36,31,34,36,24,31,94,98,192
CALAMARCA,estado nutricional,total talla normal,2014-07-01,68,76,71,85,53,80,192,241,433
CAMARGO,estado nutricional,total talla normal,2014-07-01,136,127,100,93,148,166,384,386,770
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla normal,2014-07-01,26,18,12,13,28,27,66,58,124
CAMIRI,estado nutricional,total talla normal,2014-07-01,308,291,199,165,196,189,703,645,1348
CAPINOTA,estado nutricional,total talla normal,2014-07-01,86,89,74,47,44,46,204,182,386
CAQUIAVIRI,estado nutricional,total talla normal,2014-07-01,85,69,49,51,38,39,172,159,331
CARACOLLO,estado nutricional,total talla normal,2014-07-01,167,162,133,128,124,124,424,414,838
CARANAVI,estado nutricional,total talla normal,2014-07-01,345,369,306,267,261,274,912,910,1822
CARANGAS,estado nutricional,total talla normal,2014-07-01,2,2,1,1,1,2,4,5,9
CARAPARI,estado nutricional,total talla normal,2014-07-01,168,132,120,102,140,136,428,370,798
CARIPUYO,estado nutricional,total talla normal,2014-07-01,51,63,46,46,33,44,130,153,283
CARMEN RIVERO TORREZ,estado nutricional,total talla normal,2014-07-01,58,41,17,47,34,39,109,127,236
CATACORA,estado nutricional,total talla normal,2014-07-01,5,9,4,1,8,5,17,15,32
CHACARILLA,estado nutricional,total talla normal,2014-07-01,8,7,7,0,9,9,24,16,40
CHALLAPATA,estado nutricional,total talla normal,2014-07-01,408,381,252,253,205,174,865,808,1673
CHAQUI,estado nutricional,total talla normal,2014-07-01,50,52,48,60,19,14,117,126,243
CHARAGUA,estado nutricional,total talla normal,2014-07-01,257,212,188,154,211,205,656,571,1227
CHARAÑA,estado nutricional,total talla normal,2014-07-01,19,18,9,6,16,15,44,39,83
CHAYANTA,estado nutricional,total talla normal,2014-07-01,99,110,66,104,58,64,223,278,501
CHIMORE,estado nutricional,total talla normal,2014-07-01,296,263,239,210,248,221,783,694,1477
CHIPAYA,estado nutricional,total talla normal,2014-07-01,21,10,13,11,19,9,53,30,83
CHOQUE COTA,estado nutricional,total talla normal,2014-07-01,5,4,4,5,10,2,19,11,30
CHUA COCANI,estado nutricional,total talla normal,2014-07-01,16,17,10,17,20,16,46,50,96
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-07-01,11,18,24,16,15,26,50,60,110
CHUMA,estado nutricional,total talla normal,2014-07-01,57,54,47,59,60,47,164,160,324
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-07-01,62,55,50,24,41,34,153,113,266
CKOCHAS,estado nutricional,total talla normal,2014-07-01,106,135,100,107,100,109,306,351,657
CLIZA,estado nutricional,total talla normal,2014-07-01,205,166,153,119,131,66,489,351,840
COBIJA,estado nutricional,total talla normal,2014-07-01,655,588,419,377,326,348,1400,1313,2713
COCAPATA,estado nutricional,total talla normal,2014-07-01,150,159,125,128,116,110,391,397,788
COCHABAMBA,estado nutricional,total talla normal,2014-07-01,3836,3418,2471,2250,2106,2046,8413,7714,16127
COIPASA,estado nutricional,total talla normal,2014-07-01,7,6,4,5,3,12,14,23,37
COLCAPIRHUA,estado nutricional,total talla normal,2014-07-01,330,249,227,194,194,189,751,632,1383
"COLCHA ""K""",estado nutricional,total talla normal,2014-07-01,137,140,101,102,101,95,339,337,676
COLLANA,estado nutricional,total talla normal,2014-07-01,26,25,23,13,31,24,80,62,142
COLOMI,estado nutricional,total talla normal,2014-07-01,180,203,171,134,97,88,448,425,873
COLPA BELGICA,estado nutricional,total talla normal,2014-07-01,2,1,1,1,0,0,3,2,5
COLQUECHACA,estado nutricional,total talla normal,2014-07-01,258,243,203,210,105,104,566,557,1123
COLQUENCHA,estado nutricional,total talla normal,2014-07-01,54,65,45,52,47,45,146,162,308
COLQUIRI,estado nutricional,total talla normal,2014-07-01,137,148,89,71,57,63,283,282,565
COMANCHE,estado nutricional,total talla normal,2014-07-01,13,19,24,9,4,4,41,32,73
COMARAPA,estado nutricional,total talla normal,2014-07-01,144,138,116,118,70,74,330,330,660
COMBAYA,estado nutricional,total talla normal,2014-07-01,18,16,21,8,21,13,60,37,97
CONCEPCION,estado nutricional,total talla normal,2014-07-01,177,186,89,99,129,124,395,409,804
COPACABANA,estado nutricional,total talla normal,2014-07-01,80,82,68,43,75,85,223,210,433
CORIPATA,estado nutricional,total talla normal,2014-07-01,14,14,10,3,21,9,45,26,71
CORO CORO,estado nutricional,total talla normal,2014-07-01,56,40,36,46,23,27,115,113,228
COROICO,estado nutricional,total talla normal,2014-07-01,0,3,7,6,2,5,9,14,23
CORQUE,estado nutricional,total talla normal,2014-07-01,52,56,42,47,60,50,154,153,307
COTAGAITA,estado nutricional,total talla normal,2014-07-01,137,176,145,125,133,145,415,446,861
COTOCA,estado nutricional,total talla normal,2014-07-01,508,504,334,302,307,247,1149,1053,2202
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-07-01,2,1,0,4,1,2,3,7,10
CUATRO CAÑADAS,estado nutricional,total talla normal,2014-07-01,66,73,83,84,132,109,281,266,547
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-07-01,13,12,4,9,8,10,25,31,56
CUEVO,estado nutricional,total talla normal,2014-07-01,37,33,28,24,41,39,106,96,202
CULPINA,estado nutricional,total talla normal,2014-07-01,154,135,174,140,185,206,513,481,994
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-07-01,61,47,28,37,52,40,141,124,265
CURVA,estado nutricional,total talla normal,2014-07-01,24,20,12,22,12,24,48,66,114
DESAGUADERO,estado nutricional,total talla normal,2014-07-01,31,36,23,34,25,29,79,99,178
EL ALTO,estado nutricional,total talla normal,2014-07-01,5387,5045,3881,3920,4742,4413,14010,13378,27388
EL CHORO,estado nutricional,total talla normal,2014-07-01,59,50,42,31,67,59,168,140,308
EL PUENTE(STC),estado nutricional,total talla normal,2014-07-01,121,93,106,78,76,86,303,257,560
EL PUENTE(TJA),estado nutricional,total talla normal,2014-07-01,77,82,82,83,115,88,274,253,527
EL TORNO,estado nutricional,total talla normal,2014-07-01,447,522,348,312,279,312,1074,1146,2220
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-07-01,189,172,172,200,204,199,565,571,1136
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-07-01,450,405,376,277,275,267,1101,949,2050
ESCARA,estado nutricional,total talla normal,2014-07-01,1,5,1,4,1,3,3,12,15
ESCOMA,estado nutricional,total talla normal,2014-07-01,29,25,23,47,43,44,95,116,211
ESMERALDA,estado nutricional,total talla normal,2014-07-01,3,3,2,3,2,0,7,6,13
EUCALIPTUS,estado nutricional,total talla normal,2014-07-01,54,48,54,43,64,52,172,143,315
EUREKA (SANTOS MERCADO),estado nutricional,total talla normal,2014-07-01,8,11,11,13,29,26,48,50,98
EXALTACION,estado nutricional,total talla normal,2014-07-01,34,25,15,26,21,33,70,84,154
FERNANDEZ ALONSO,estado nutricional,total talla normal,2014-07-01,127,127,114,121,117,127,358,375,733
FILADELFIA,estado nutricional,total talla normal,2014-07-01,62,65,49,56,71,60,182,181,363
GENERAL SAAVEDRA,estado nutricional,total talla normal,2014-07-01,187,131,129,107,96,100,412,338,750
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla normal,2014-07-01,62,43,44,50,30,36,136,129,265
GUANAY,estado nutricional,total talla normal,2014-07-01,172,160,99,127,115,133,386,420,806
GUAQUI,estado nutricional,total talla normal,2014-07-01,38,40,39,34,31,24,108,98,206
GUAYARAMERIN,estado nutricional,total talla normal,2014-07-01,572,558,373,394,330,359,1275,1311,2586
GUTIERREZ,estado nutricional,total talla normal,2014-07-01,116,126,103,99,156,142,375,367,742
HUACARETA,estado nutricional,total talla normal,2014-07-01,79,59,66,80,70,69,215,208,423
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla normal,2014-07-01,31,23,32,32,37,49,100,104,204
HUACHACALLA,estado nutricional,total talla normal,2014-07-01,10,15,4,6,7,18,21,39,60
HUANUNI,estado nutricional,total talla normal,2014-07-01,189,224,128,138,163,148,480,510,990
HUARACAJE,estado nutricional,total talla normal,2014-07-01,24,37,24,21,18,22,66,80,146
HUARINA,estado nutricional,total talla normal,2014-07-01,35,36,21,37,36,29,92,102,194
HUATAJATA,estado nutricional,total talla normal,2014-07-01,22,24,10,17,20,21,52,62,114
HUAYLLAMARCA,estado nutricional,total talla normal,2014-07-01,36,45,26,36,36,16,98,97,195
HUMANATA,estado nutricional,total talla normal,2014-07-01,18,16,22,16,16,18,56,50,106
ICHOCA,estado nutricional,total talla normal,2014-07-01,14,18,12,13,12,12,38,43,81
ICLA,estado nutricional,total talla normal,2014-07-01,55,56,49,48,84,113,188,217,405
INGAVI (HUMAITA),estado nutricional,total talla normal,2014-07-01,15,25,22,24,16,15,53,64,117
INQUISIVI,estado nutricional,total talla normal,2014-07-01,86,83,74,64,65,66,225,213,438
IRUPANA (VILLA DE LANZA),estado nutricional,total talla normal,2014-07-01,15,13,6,4,3,2,24,19,43
IXIAMAS,estado nutricional,total talla normal,2014-07-01,87,88,81,71,96,96,264,255,519
JESUS DE MACHACA,estado nutricional,total talla normal,2014-07-01,95,94,49,74,52,66,196,234,430
LA ASUNTA,estado nutricional,total talla normal,2014-07-01,250,211,206,176,107,132,563,519,1082
LA GUARDIA,estado nutricional,total talla normal,2014-07-01,685,613,371,313,289,252,1345,1178,2523
LA PAZ,estado nutricional,total talla normal,2014-07-01,5067,4798,3325,2946,3636,3397,12028,11141,23169
LA RIVERA,estado nutricional,total talla normal,2014-07-01,0,0,2,4,1,2,3,6,9
LAGUNILLAS,estado nutricional,total talla normal,2014-07-01,54,40,59,51,105,86,218,177,395
LAJA,estado nutricional,total talla normal,2014-07-01,136,131,103,96,108,99,347,326,673
LAS CARRERAS,estado nutricional,total talla normal,2014-07-01,20,21,25,19,46,38,91,78,169
LICOMA PAMPA,estado nutricional,total talla normal,2014-07-01,24,22,21,18,25,28,70,68,138
LLALLAGUA,estado nutricional,total talla normal,2014-07-01,381,393,352,347,208,240,941,980,1921
LLICA,estado nutricional,total talla normal,2014-07-01,21,34,25,18,9,12,55,64,119
LORETO,estado nutricional,total talla normal,2014-07-01,21,17,22,17,17,29,60,63,123
LURIBAY,estado nutricional,total talla normal,2014-07-01,64,55,58,53,46,43,168,151,319
MACHACAMARCA,estado nutricional,total talla normal,2014-07-01,29,39,32,42,27,37,88,118,206
MACHARETI,estado nutricional,total talla normal,2014-07-01,67,72,52,62,111,85,230,219,449
MAGDALENA,estado nutricional,total talla normal,2014-07-01,122,117,92,81,76,63,290,261,551
MAIRANA,estado nutricional,total talla normal,2014-07-01,0,0,0,0,1,0,1,0,1
MALLA,estado nutricional,total talla normal,2014-07-01,10,16,14,12,22,14,46,42,88
MAPIRI,estado nutricional,total talla normal,2014-07-01,120,113,88,113,105,95,313,321,634
MECAPACA,estado nutricional,total talla normal,2014-07-01,136,145,71,79,67,73,274,297,571
MINEROS,estado nutricional,total talla normal,2014-07-01,202,207,179,172,163,145,544,524,1068
MIZQUE,estado nutricional,total talla normal,2014-07-01,341,371,277,258,269,265,887,894,1781
MOCOMOCO,estado nutricional,total talla normal,2014-07-01,76,74,68,70,54,55,198,199,397
MOJINETE,estado nutricional,total talla normal,2014-07-01,2,6,8,6,10,9,20,21,41
MOJOCOYA,estado nutricional,total talla normal,2014-07-01,64,50,44,44,87,105,195,199,394
MONTEAGUDO,estado nutricional,total talla normal,2014-07-01,228,214,200,174,230,199,658,587,1245
MONTERO,estado nutricional,total talla normal,2014-07-01,1250,1189,885,856,724,717,2859,2762,5621
MORO MORO,estado nutricional,total talla normal,2014-07-01,17,13,19,18,19,21,55,52,107
MOROCHATA,estado nutricional,total talla normal,2014-07-01,93,81,58,66,108,108,259,255,514
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla normal,2014-07-01,19,19,9,13,24,11,52,43,95
NAZACARA DE PACAJES,estado nutricional,total talla normal,2014-07-01,8,7,3,1,9,7,20,15,35
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla normal,2014-07-01,49,12,33,17,43,36,125,65,190
OCURI,estado nutricional,total talla normal,2014-07-01,126,110,60,84,82,52,268,246,514
OKINAWA,estado nutricional,total talla normal,2014-07-01,170,125,132,117,101,112,403,354,757
OMEREQUE,estado nutricional,total talla normal,2014-07-01,74,69,80,72,72,66,226,207,433
ORURO,estado nutricional,total talla normal,2014-07-01,2330,2427,1609,1639,1147,1161,5086,5227,10313
PADCAYA,estado nutricional,total talla normal,2014-07-01,148,141,136,132,132,122,416,395,811
PAILON,estado nutricional,total talla normal,2014-07-01,245,244,178,136,170,140,593,520,1113
PALCA,estado nutricional,total talla normal,2014-07-01,158,141,131,110,80,105,369,356,725
PALOS BLANCOS,estado nutricional,total talla normal,2014-07-01,281,247,199,207,226,220,706,674,1380
PAMPA AULLAGAS,estado nutricional,total talla normal,2014-07-01,21,31,13,11,11,13,45,55,100
PAMPA GRANDE,estado nutricional,total talla normal,2014-07-01,2,1,0,1,0,0,2,2,4
PAPEL PAMPA,estado nutricional,total talla normal,2014-07-01,45,36,38,57,57,34,140,127,267
PASORAPA,estado nutricional,total talla normal,2014-07-01,37,22,29,24,45,46,111,92,203
PATACAMAYA,estado nutricional,total talla normal,2014-07-01,159,177,102,111,70,74,331,362,693
PAZÑA,estado nutricional,total talla normal,2014-07-01,70,62,45,45,75,53,190,160,350
PELECHUCO,estado nutricional,total talla normal,2014-07-01,56,37,51,40,42,35,149,112,261
POCOATA,estado nutricional,total talla normal,2014-07-01,166,186,121,151,142,142,429,479,908
POCONA,estado nutricional,total talla normal,2014-07-01,120,232,72,77,86,96,278,405,683
POJO (CBBA),estado nutricional,total talla normal,2014-07-01,122,120,117,108,135,120,374,348,722
POOPO,estado nutricional,total talla normal,2014-07-01,49,45,34,38,24,26,107,109,216
PORCO,estado nutricional,total talla normal,2014-07-01,101,83,56,67,53,48,210,198,408
POROMA,estado nutricional,total talla normal,2014-07-01,133,95,92,111,179,178,404,384,788
PORONGO,estado nutricional,total talla normal,2014-07-01,66,56,66,53,62,67,194,176,370
PORTACHUELO,estado nutricional,total talla normal,2014-07-01,79,95,50,47,31,28,160,170,330
PORVENIR,estado nutricional,total talla normal,2014-07-01,58,53,44,48,38,46,140,147,287
POSTRER VALLE,estado nutricional,total talla normal,2014-07-01,9,12,8,9,25,19,42,40,82
POTOSI,estado nutricional,total talla normal,2014-07-01,1524,1604,921,1026,774,676,3219,3306,6525
PRESTO,estado nutricional,total talla normal,2014-07-01,64,59,50,52,69,81,183,192,375
PUCARA,estado nutricional,total talla normal,2014-07-01,10,9,16,2,20,19,46,30,76
PUCARANI,estado nutricional,total talla normal,2014-07-01,190,193,191,170,117,129,498,492,990
PUERTO ACOSTA,estado nutricional,total talla normal,2014-07-01,60,49,67,46,49,35,176,130,306
PUERTO CARABUCO,estado nutricional,total talla normal,2014-07-01,88,81,69,82,82,57,239,220,459
PUERTO GONZALO MORENO,estado nutricional,total talla normal,2014-07-01,106,73,66,69,133,123,305,265,570
PUERTO PEREZ,estado nutricional,total talla normal,2014-07-01,40,33,35,44,50,39,125,116,241
PUERTO QUIJARRO,estado nutricional,total talla normal,2014-07-01,175,154,120,132,97,104,392,390,782
PUERTO RICO,estado nutricional,total talla normal,2014-07-01,80,88,46,58,53,41,179,187,366
PUERTO SILES,estado nutricional,total talla normal,2014-07-01,18,11,14,8,11,24,43,43,86
PUERTO SUAREZ,estado nutricional,total talla normal,2014-07-01,117,143,69,81,48,57,234,281,515
PUERTO VILLARROEL,estado nutricional,total talla normal,2014-07-01,771,689,541,434,531,389,1843,1512,3355
PUNA,estado nutricional,total talla normal,2014-07-01,166,155,157,124,146,156,469,435,904
PUNATA,estado nutricional,total talla normal,2014-07-01,42,50,37,27,35,22,114,99,213
QUIABAYA,estado nutricional,total talla normal,2014-07-01,19,29,19,27,16,20,54,76,130
QUILLACOLLO,estado nutricional,total talla normal,2014-07-01,1856,1621,1357,1138,1544,1450,4757,4209,8966
QUIME,estado nutricional,total talla normal,2014-07-01,69,69,49,76,89,61,207,206,413
QUIRUSILLAS,estado nutricional,total talla normal,2014-07-01,3,1,1,2,0,4,4,7,11
RAVELO,estado nutricional,total talla normal,2014-07-01,139,104,97,90,164,181,400,375,775
REYES,estado nutricional,total talla normal,2014-07-01,104,115,82,75,57,76,243,266,509
RIBERALTA,estado nutricional,total talla normal,2014-07-01,863,824,687,644,511,521,2061,1989,4050
ROBORE,estado nutricional,total talla normal,2014-07-01,128,138,99,85,56,55,283,278,561
RURRENABAQUE,estado nutricional,total talla normal,2014-07-01,137,150,64,90,51,45,252,285,537
SABAYA,estado nutricional,total talla normal,2014-07-01,29,20,22,19,31,28,82,67,149
SACABA,estado nutricional,total talla normal,2014-07-01,1289,1332,955,912,692,695,2936,2939,5875
SACABAMBA,estado nutricional,total talla normal,2014-07-01,48,38,44,35,50,42,142,115,257
SACACA,estado nutricional,total talla normal,2014-07-01,41,45,54,41,37,42,132,128,260
