,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
MALLA,estado nutricional,total talla baja,2014-07-01,3,1,4,2,3,5,10,8,18
MAPIRI,estado nutricional,total talla baja,2014-07-01,3,1,4,6,11,11,18,18,36
MECAPACA,estado nutricional,total talla baja,2014-07-01,5,4,11,13,21,16,37,33,70
MINEROS,estado nutricional,total talla baja,2014-07-01,3,4,11,7,6,8,20,19,39
MIZQUE,estado nutricional,total talla baja,2014-07-01,42,42,66,52,33,37,141,131,272
MOCOMOCO,estado nutricional,total talla baja,2014-07-01,6,5,19,23,11,13,36,41,77
MOJINETE,estado nutricional,total talla baja,2014-07-01,2,1,3,1,3,0,8,2,10
MOJOCOYA,estado nutricional,total talla baja,2014-07-01,5,3,14,5,24,22,43,30,73
MONTEAGUDO,estado nutricional,total talla baja,2014-07-01,3,4,16,12,15,9,34,25,59
MONTERO,estado nutricional,total talla baja,2014-07-01,18,10,21,17,16,23,55,50,105
MORO MORO,estado nutricional,total talla baja,2014-07-01,1,1,4,2,0,2,5,5,10
MOROCHATA,estado nutricional,total talla baja,2014-07-01,18,9,33,33,54,63,105,105,210
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla baja,2014-07-01,1,0,3,2,1,1,5,3,8
NAZACARA DE PACAJES,estado nutricional,total talla baja,2014-07-01,1,0,1,1,5,3,7,4,11
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla baja,2014-07-01,0,1,1,2,11,2,12,5,17
OCURI,estado nutricional,total talla baja,2014-07-01,18,26,58,39,100,77,176,142,318
OKINAWA,estado nutricional,total talla baja,2014-07-01,2,2,5,0,1,0,8,2,10
OMEREQUE,estado nutricional,total talla baja,2014-07-01,5,3,4,2,6,1,15,6,21
ORURO,estado nutricional,total talla baja,2014-07-01,280,149,431,268,171,170,882,587,1469
PADCAYA,estado nutricional,total talla baja,2014-07-01,6,6,8,2,4,3,18,11,29
PAILON,estado nutricional,total talla baja,2014-07-01,2,6,2,2,7,5,11,13,24
PALCA,estado nutricional,total talla baja,2014-07-01,13,0,33,11,15,19,61,30,91
PALOS BLANCOS,estado nutricional,total talla baja,2014-07-01,3,7,26,12,32,41,61,60,121
PAMPA AULLAGAS,estado nutricional,total talla baja,2014-07-01,2,1,9,7,3,4,14,12,26
PAPEL PAMPA,estado nutricional,total talla baja,2014-07-01,5,2,4,4,5,4,14,10,24
PASORAPA,estado nutricional,total talla baja,2014-07-01,2,0,3,0,3,2,8,2,10
PATACAMAYA,estado nutricional,total talla baja,2014-07-01,25,18,26,28,12,17,63,63,126
PAZÑA,estado nutricional,total talla baja,2014-07-01,5,1,11,8,17,14,33,23,56
PELECHUCO,estado nutricional,total talla baja,2014-07-01,3,2,8,2,11,4,22,8,30
POCOATA,estado nutricional,total talla baja,2014-07-01,21,18,58,43,85,85,164,146,310
POCONA,estado nutricional,total talla baja,2014-07-01,10,4,20,16,19,11,49,31,80
POJO (CBBA),estado nutricional,total talla baja,2014-07-01,10,2,27,15,9,18,46,35,81
POOPO,estado nutricional,total talla baja,2014-07-01,2,2,4,1,6,5,12,8,20
PORCO,estado nutricional,total talla baja,2014-07-01,21,5,29,21,18,9,68,35,103
POROMA,estado nutricional,total talla baja,2014-07-01,16,9,46,36,70,68,132,113,245
PORTACHUELO,estado nutricional,total talla baja,2014-07-01,4,0,1,1,0,0,5,1,6
PORVENIR,estado nutricional,total talla baja,2014-07-01,7,3,1,2,0,3,8,8,16
POSTRER VALLE,estado nutricional,total talla baja,2014-07-01,0,0,4,0,3,0,7,0,7
POTOSI,estado nutricional,total talla baja,2014-07-01,259,152,355,186,180,150,794,488,1282
PRESTO,estado nutricional,total talla baja,2014-07-01,12,7,27,24,60,59,99,90,189
PUCARA,estado nutricional,total talla baja,2014-07-01,1,1,2,0,4,2,7,3,10
PUCARANI,estado nutricional,total talla baja,2014-07-01,15,9,17,16,13,9,45,34,79
PUERTO ACOSTA,estado nutricional,total talla baja,2014-07-01,5,1,14,7,5,9,24,17,41
PUERTO CARABUCO,estado nutricional,total talla baja,2014-07-01,9,5,16,11,9,17,34,33,67
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-07-01,13,13,30,17,53,42,96,72,168
PUERTO PEREZ,estado nutricional,total talla baja,2014-07-01,0,0,1,1,6,2,7,3,10
PUERTO QUIJARRO,estado nutricional,total talla baja,2014-07-01,1,0,0,0,0,0,1,0,1
PUERTO RICO,estado nutricional,total talla baja,2014-07-01,2,4,6,4,4,7,12,15,27
PUERTO SILES,estado nutricional,total talla baja,2014-07-01,0,1,2,4,2,6,4,11,15
PUERTO SUAREZ,estado nutricional,total talla baja,2014-07-01,0,4,6,2,1,3,7,9,16
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-07-01,22,18,54,37,47,39,123,94,217
PUNA,estado nutricional,total talla baja,2014-07-01,17,6,39,20,49,51,105,77,182
PUNATA,estado nutricional,total talla baja,2014-07-01,3,5,4,3,4,6,11,14,25
QUIABAYA,estado nutricional,total talla baja,2014-07-01,6,0,5,7,5,7,16,14,30
QUILLACOLLO,estado nutricional,total talla baja,2014-07-01,41,47,61,57,109,83,211,187,398
QUIME,estado nutricional,total talla baja,2014-07-01,1,5,12,4,4,6,17,15,32
QUIRUSILLAS,estado nutricional,total talla baja,2014-07-01,0,0,2,1,3,0,5,1,6
RAVELO,estado nutricional,total talla baja,2014-07-01,25,18,72,53,150,205,247,276,523
REYES,estado nutricional,total talla baja,2014-07-01,8,6,8,1,3,6,19,13,32
RIBERALTA,estado nutricional,total talla baja,2014-07-01,29,19,66,52,46,41,141,112,253
ROBORE,estado nutricional,total talla baja,2014-07-01,0,1,0,0,0,0,0,1,1
RURRENABAQUE,estado nutricional,total talla baja,2014-07-01,15,8,16,4,8,10,39,22,61
SABAYA,estado nutricional,total talla baja,2014-07-01,2,0,0,1,3,3,5,4,9
SACABA,estado nutricional,total talla baja,2014-07-01,117,17,92,56,78,57,287,130,417
SACABAMBA,estado nutricional,total talla baja,2014-07-01,0,4,9,2,10,6,19,12,31
SACACA,estado nutricional,total talla baja,2014-07-01,11,9,29,20,17,22,57,51,108
SAIPINA,estado nutricional,total talla baja,2014-07-01,1,2,0,3,4,3,5,8,13
SALINAS DE GARCI MENDOZA,estado nutricional,total talla baja,2014-07-01,20,16,39,24,40,22,99,62,161
SAMAIPATA,estado nutricional,total talla baja,2014-07-01,0,1,0,1,3,0,3,2,5
SAN AGUSTIN,estado nutricional,total talla baja,2014-07-01,0,2,1,1,3,2,4,5,9
SAN ANDRES,estado nutricional,total talla baja,2014-07-01,2,0,4,3,6,3,12,6,18
SAN ANDRES DE MACHACA,estado nutricional,total talla baja,2014-07-01,0,1,2,2,2,2,4,5,9
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla baja,2014-07-01,2,2,1,0,2,3,5,5,10
SAN ANTONIO DE LOMERIO,estado nutricional,total talla baja,2014-07-01,5,3,14,9,20,22,39,34,73
SAN BENITO,estado nutricional,total talla baja,2014-07-01,5,2,7,8,5,4,17,14,31
SAN BORJA,estado nutricional,total talla baja,2014-07-01,32,20,44,31,57,44,133,95,228
SAN BUENA VENTURA,estado nutricional,total talla baja,2014-07-01,1,0,6,1,10,6,17,7,24
SAN CARLOS,estado nutricional,total talla baja,2014-07-01,1,0,0,0,4,1,5,1,6
SAN IGNACIO,estado nutricional,total talla baja,2014-07-01,14,6,16,5,22,14,52,25,77
SAN IGNACIO DE VELASCO,estado nutricional,total talla baja,2014-07-01,36,25,50,34,27,40,113,99,212
SAN JAVIER(BNI),estado nutricional,total talla baja,2014-07-01,0,1,1,2,0,0,1,3,4
SAN JAVIER(STC),estado nutricional,total talla baja,2014-07-01,1,0,0,0,0,0,1,0,1
SAN JOAQUIN,estado nutricional,total talla baja,2014-07-01,3,1,5,4,3,3,11,8,19
SAN JOSE DE CHIQUITOS,estado nutricional,total talla baja,2014-07-01,2,3,1,1,2,3,5,7,12
SAN JUAN DE YAPACANI,estado nutricional,total talla baja,2014-07-01,2,1,0,2,1,0,3,3,6
SAN JULIAN,estado nutricional,total talla baja,2014-07-01,2,5,7,4,7,7,16,16,32
SAN LORENZO(PND),estado nutricional,total talla baja,2014-07-01,3,3,8,6,5,4,16,13,29
SAN LORENZO(TJA),estado nutricional,total talla baja,2014-07-01,9,6,18,13,19,9,46,28,74
SAN LUCAS,estado nutricional,total talla baja,2014-07-01,37,29,90,71,163,197,290,297,587
SAN MATIAS,estado nutricional,total talla baja,2014-07-01,0,3,1,3,2,1,3,7,10
SAN MIGUEL DE VELASCO,estado nutricional,total talla baja,2014-07-01,13,10,21,8,19,9,53,27,80
SAN PABLO DE LIPEZ,estado nutricional,total talla baja,2014-07-01,2,0,3,3,1,1,6,4,10
SAN PEDRO,estado nutricional,total talla baja,2014-07-01,6,2,6,3,4,2,16,7,23
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla baja,2014-07-01,29,31,67,52,75,87,171,170,341
SAN PEDRO DE CURAHUARA,estado nutricional,total talla baja,2014-07-01,2,0,3,2,1,4,6,6,12
SAN PEDRO DE QUEMES,estado nutricional,total talla baja,2014-07-01,1,0,3,1,1,0,5,1,6
SAN PEDRO DE TIQUINA,estado nutricional,total talla baja,2014-07-01,2,1,6,0,3,2,11,3,14
SAN PEDRO(PND),estado nutricional,total talla baja,2014-07-01,0,0,0,0,5,1,5,1,6
SAN RAFAEL,estado nutricional,total talla baja,2014-07-01,1,1,4,0,5,4,10,5,15
SAN RAMON BENI,estado nutricional,total talla baja,2014-07-01,1,3,2,4,2,1,5,8,13
SAN RAMON SCZ,estado nutricional,total talla baja,2014-07-01,2,3,1,1,2,1,5,5,10
SANTA ANA,estado nutricional,total talla baja,2014-07-01,8,7,9,3,7,6,24,16,40
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla baja,2014-07-01,130,95,104,72,82,71,316,238,554
SANTA ROSA,estado nutricional,total talla baja,2014-07-01,8,3,2,5,1,1,11,9,20
SANTA ROSA DEL SARA,estado nutricional,total talla baja,2014-07-01,4,3,5,7,0,6,9,16,25
SANTIAGO DE CALLAPA,estado nutricional,total talla baja,2014-07-01,1,1,3,2,0,3,4,6,10
SANTIAGO DE HUARI,estado nutricional,total talla baja,2014-07-01,2,5,6,4,9,14,17,23,40
SANTIAGO DE HUATA,estado nutricional,total talla baja,2014-07-01,4,1,9,1,3,6,16,8,24
SANTIAGO DE MACHACA,estado nutricional,total talla baja,2014-07-01,7,2,8,7,4,6,19,15,34
SANTIVAÑES,estado nutricional,total talla baja,2014-07-01,2,1,5,5,7,3,14,9,23
SANTUARIO DE QUILLACAS,estado nutricional,total talla baja,2014-07-01,0,2,3,5,6,10,9,17,26
SAPAHAQUI,estado nutricional,total talla baja,2014-07-01,2,4,11,8,13,6,26,18,44
SENA,estado nutricional,total talla baja,2014-07-01,0,2,6,5,2,4,8,11,19
SHINAOTA,estado nutricional,total talla baja,2014-07-01,20,14,19,26,19,29,58,69,127
SICA SICA (VILLA AROMA),estado nutricional,total talla baja,2014-07-01,21,14,30,23,25,28,76,65,141
SICAYA,estado nutricional,total talla baja,2014-07-01,4,1,11,9,17,17,32,27,59
SIPE SIPE,estado nutricional,total talla baja,2014-07-01,18,14,47,33,25,22,90,69,159
SOPACHUY,estado nutricional,total talla baja,2014-07-01,8,3,14,11,35,33,57,47,104
SORACACHI,estado nutricional,total talla baja,2014-07-01,13,8,22,13,14,21,49,42,91
SORATA,estado nutricional,total talla baja,2014-07-01,9,7,15,7,20,15,44,29,73
SUCRE,estado nutricional,total talla baja,2014-07-01,42,39,98,60,75,77,215,176,391
TACACHI,estado nutricional,total talla baja,2014-07-01,1,0,3,5,0,3,4,8,12
TACACOMA,estado nutricional,total talla baja,2014-07-01,0,0,1,3,5,6,6,9,15
TACOBAMBA,estado nutricional,total talla baja,2014-07-01,10,7,28,20,13,5,51,32,83
TACOPAYA,estado nutricional,total talla baja,2014-07-01,12,2,23,19,29,27,64,48,112
TAHUA,estado nutricional,total talla baja,2014-07-01,0,0,1,0,0,1,1,1,2
TAPACARI,estado nutricional,total talla baja,2014-07-01,33,54,88,38,84,59,205,151,356
TARABUCO,estado nutricional,total talla baja,2014-07-01,12,12,30,28,115,82,157,122,279
TARACO,estado nutricional,total talla baja,2014-07-01,3,2,9,6,5,3,17,11,28
TARATA,estado nutricional,total talla baja,2014-07-01,5,1,14,7,12,4,31,12,43
TARIJA,estado nutricional,total talla baja,2014-07-01,26,16,41,29,67,42,134,87,221
TARVITA,estado nutricional,total talla baja,2014-07-01,10,6,18,19,85,91,113,116,229
TEOPONTE,estado nutricional,total talla baja,2014-07-01,1,2,1,2,4,0,6,4,10
TIAWANACU,estado nutricional,total talla baja,2014-07-01,18,7,16,10,9,2,43,19,62
TINGUIPAYA,estado nutricional,total talla baja,2014-07-01,21,13,31,39,15,19,67,71,138
TIPUANI,estado nutricional,total talla baja,2014-07-01,1,6,7,5,9,9,17,20,37
TIQUIPAYA,estado nutricional,total talla baja,2014-07-01,20,36,54,40,39,33,113,109,222
TIRAQUE (CBBA),estado nutricional,total talla baja,2014-07-01,28,27,49,35,24,38,101,100,201
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla baja,2014-07-01,2,2,2,0,1,1,5,3,8
TOCO,estado nutricional,total talla baja,2014-07-01,0,0,3,1,2,4,5,5,10
TODOS SANTOS,estado nutricional,total talla baja,2014-07-01,1,0,0,1,0,0,1,1,2
TOLATA,estado nutricional,total talla baja,2014-07-01,0,0,2,0,2,0,4,0,4
TOLEDO,estado nutricional,total talla baja,2014-07-01,4,2,10,2,10,1,24,5,29
TOMAVE,estado nutricional,total talla baja,2014-07-01,5,12,21,13,13,11,39,36,75
TOTORA(CBBA),estado nutricional,total talla baja,2014-07-01,14,6,32,19,9,11,55,36,91
TOTORA(ORR),estado nutricional,total talla baja,2014-07-01,4,4,19,6,15,15,38,25,63
TRINIDAD,estado nutricional,total talla baja,2014-07-01,21,6,15,9,16,16,52,31,83
TUPIZA,estado nutricional,total talla baja,2014-07-01,20,17,36,18,24,15,80,50,130
TURCO,estado nutricional,total talla baja,2014-07-01,4,0,3,2,2,4,9,6,15
UMALA,estado nutricional,total talla baja,2014-07-01,12,10,9,10,12,12,33,32,65
UNCIA,estado nutricional,total talla baja,2014-07-01,22,18,45,36,38,30,105,84,189
URIONDO (A. CONCEPCION),estado nutricional,total talla baja,2014-07-01,3,4,2,1,4,1,9,6,15
URUBICHA,estado nutricional,total talla baja,2014-07-01,6,3,11,4,2,1,19,8,27
UYUNI,estado nutricional,total talla baja,2014-07-01,5,4,29,20,12,9,46,33,79
VACAS,estado nutricional,total talla baja,2014-07-01,11,12,38,27,18,17,67,56,123
VALLEGRANDE,estado nutricional,total talla baja,2014-07-01,4,0,3,3,2,7,9,10,19
VIACHA,estado nutricional,total talla baja,2014-07-01,51,40,59,55,35,34,145,129,274
VILA VILA,estado nutricional,total talla baja,2014-07-01,9,8,8,18,23,26,40,52,92
VILLA CHARCAS,estado nutricional,total talla baja,2014-07-01,13,8,43,40,77,70,133,118,251
VILLA MONTES,estado nutricional,total talla baja,2014-07-01,8,6,6,2,4,2,18,10,28
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla baja,2014-07-01,5,0,4,0,3,2,12,2,14
VILLA RIVERO,estado nutricional,total talla baja,2014-07-01,16,4,26,20,14,19,56,43,99
VILLA TUNARI,estado nutricional,total talla baja,2014-07-01,37,33,72,50,94,95,203,178,381
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla baja,2014-07-01,0,0,0,0,2,0,2,0,2
VILLAZON,estado nutricional,total talla baja,2014-07-01,5,4,10,8,6,5,21,17,38
VINTO,estado nutricional,total talla baja,2014-07-01,12,2,18,23,30,17,60,42,102
VITICHI,estado nutricional,total talla baja,2014-07-01,6,5,17,10,11,20,34,35,69
WALDO BALLIVIAN,estado nutricional,total talla baja,2014-07-01,1,1,4,4,2,1,7,6,13
WARNES,estado nutricional,total talla baja,2014-07-01,38,20,38,40,31,17,107,77,184
YACO,estado nutricional,total talla baja,2014-07-01,5,3,6,8,17,12,28,23,51
YACUIBA,estado nutricional,total talla baja,2014-07-01,42,21,39,25,33,23,114,69,183
YAMPARAEZ,estado nutricional,total talla baja,2014-07-01,4,3,17,10,46,46,67,59,126
YANACACHI,estado nutricional,total talla baja,2014-07-01,0,0,0,0,1,2,1,2,3
YAPACANI,estado nutricional,total talla baja,2014-07-01,7,1,4,4,5,4,16,9,25
YOCALLA,estado nutricional,total talla baja,2014-07-01,9,6,6,11,13,5,28,22,50
YOTALA,estado nutricional,total talla baja,2014-07-01,0,0,5,3,14,6,19,9,28
YUNCHARA,estado nutricional,total talla baja,2014-07-01,12,11,14,13,27,16,53,40,93
ZUDAÑEZ,estado nutricional,total talla baja,2014-07-01,3,6,9,13,43,41,55,60,115
ACHACACHI,estado nutricional,total talla baja,2014-08-01,26,8,32,38,17,24,75,70,145
ACHOCALLA,estado nutricional,total talla baja,2014-08-01,13,6,30,11,11,12,54,29,83
AIQUILE,estado nutricional,total talla baja,2014-08-01,8,10,26,17,17,24,51,51,102
ALALAY,estado nutricional,total talla baja,2014-08-01,10,7,14,3,11,10,35,20,55
ALTO BENI,estado nutricional,total talla baja,2014-08-01,3,0,8,4,14,5,25,9,34
ANCORAIMES,estado nutricional,total talla baja,2014-08-01,9,7,27,7,19,16,55,30,85
ANDAMARCA,estado nutricional,total talla baja,2014-08-01,11,3,11,13,24,25,46,41,87
ANTEQUERA,estado nutricional,total talla baja,2014-08-01,4,0,4,5,2,2,10,7,17
ANZALDO,estado nutricional,total talla baja,2014-08-01,4,6,8,9,15,9,27,24,51
APOLO,estado nutricional,total talla baja,2014-08-01,9,4,33,17,24,18,66,39,105
ARANI,estado nutricional,total talla baja,2014-08-01,12,6,22,14,18,14,52,34,86
ARBIETO,estado nutricional,total talla baja,2014-08-01,4,1,8,8,7,10,19,19,38
ARQUE,estado nutricional,total talla baja,2014-08-01,10,5,27,26,39,32,76,63,139
ASCENCION DE GUARAYOS,estado nutricional,total talla baja,2014-08-01,2,2,9,6,4,16,15,24,39
ATOCHA,estado nutricional,total talla baja,2014-08-01,10,3,13,10,11,18,34,31,65
AUCAPATA,estado nutricional,total talla baja,2014-08-01,1,3,8,2,7,3,16,8,24
AYATA,estado nutricional,total talla baja,2014-08-01,6,6,27,19,23,22,56,47,103
AYO AYO,estado nutricional,total talla baja,2014-08-01,11,5,14,18,15,9,40,32,72
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-08-01,34,34,77,48,59,39,170,121,291
AZURDUY,estado nutricional,total talla baja,2014-08-01,14,5,28,15,69,79,111,99,210
BATALLAS,estado nutricional,total talla baja,2014-08-01,7,3,18,13,10,5,35,21,56
BAURES,estado nutricional,total talla baja,2014-08-01,1,0,5,1,4,1,10,2,12
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-08-01,1,0,1,4,3,2,5,6,11
BELEN DE URMIRI,estado nutricional,total talla baja,2014-08-01,0,2,6,3,5,5,11,10,21
BELLA FLOR,estado nutricional,total talla baja,2014-08-01,1,1,1,4,1,2,3,7,10
BERMEJO,estado nutricional,total talla baja,2014-08-01,20,15,29,21,32,18,81,54,135
BETANZOS,estado nutricional,total talla baja,2014-08-01,42,35,75,63,106,98,223,196,419
BOLIVAR,estado nutricional,total talla baja,2014-08-01,32,22,47,32,40,33,119,87,206
BOLPEBRA,estado nutricional,total talla baja,2014-08-01,2,1,10,3,7,5,19,9,28
BOYUIBE,estado nutricional,total talla baja,2014-08-01,1,0,3,0,2,2,6,2,8
BUENA VISTA,estado nutricional,total talla baja,2014-08-01,0,0,0,0,1,0,1,0,1
CABEZAS,estado nutricional,total talla baja,2014-08-01,3,2,1,0,3,1,7,3,10
CAIROMA,estado nutricional,total talla baja,2014-08-01,3,3,14,7,13,11,30,21,51
"CAIZA ""D""",estado nutricional,total talla baja,2014-08-01,11,3,15,8,14,16,40,27,67
CAJUATA,estado nutricional,total talla baja,2014-08-01,2,3,2,3,7,6,11,12,23
CALACOTO,estado nutricional,total talla baja,2014-08-01,2,4,7,3,1,5,10,12,22
CALAMARCA,estado nutricional,total talla baja,2014-08-01,13,6,24,15,17,26,54,47,101
CAMARGO,estado nutricional,total talla baja,2014-08-01,12,9,26,21,57,50,95,80,175
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-08-01,0,1,6,2,14,7,20,10,30
CAMIRI,estado nutricional,total talla baja,2014-08-01,3,2,5,2,3,3,11,7,18
CAPINOTA,estado nutricional,total talla baja,2014-08-01,10,12,18,20,15,12,43,44,87
CAQUIAVIRI,estado nutricional,total talla baja,2014-08-01,7,2,14,8,3,3,24,13,37
CARACOLLO,estado nutricional,total talla baja,2014-08-01,18,7,18,10,25,19,61,36,97
CARANAVI,estado nutricional,total talla baja,2014-08-01,18,9,28,18,54,51,100,78,178
CARANGAS,estado nutricional,total talla baja,2014-08-01,0,0,0,0,0,2,0,2,2
CARAPARI,estado nutricional,total talla baja,2014-08-01,0,0,2,1,3,2,5,3,8
CARIPUYO,estado nutricional,total talla baja,2014-08-01,12,5,34,21,51,48,97,74,171
CARMEN RIVERO TORREZ,estado nutricional,total talla baja,2014-08-01,0,1,1,0,5,0,6,1,7
CATACORA,estado nutricional,total talla baja,2014-08-01,2,1,2,2,6,4,10,7,17
CHACARILLA,estado nutricional,total talla baja,2014-08-01,1,1,3,1,0,1,4,3,7
CHALLAPATA,estado nutricional,total talla baja,2014-08-01,36,21,75,59,67,57,178,137,315
CHAQUI,estado nutricional,total talla baja,2014-08-01,17,5,20,17,17,11,54,33,87
CHARAGUA,estado nutricional,total talla baja,2014-08-01,3,0,2,3,4,4,9,7,16
CHARAÑA,estado nutricional,total talla baja,2014-08-01,0,0,3,1,0,0,3,1,4
CHAYANTA,estado nutricional,total talla baja,2014-08-01,5,6,10,4,7,7,22,17,39
CHIMORE,estado nutricional,total talla baja,2014-08-01,14,20,23,17,13,19,50,56,106
CHIPAYA,estado nutricional,total talla baja,2014-08-01,2,2,4,1,4,4,10,7,17
CHOQUE COTA,estado nutricional,total talla baja,2014-08-01,0,5,1,5,1,0,2,10,12
CHUA COCANI,estado nutricional,total talla baja,2014-08-01,0,1,0,0,0,4,0,5,5
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-08-01,2,3,3,1,2,2,7,6,13
CHUMA,estado nutricional,total talla baja,2014-08-01,16,10,24,20,33,36,73,66,139
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-08-01,4,7,16,16,11,6,31,29,60
CKOCHAS,estado nutricional,total talla baja,2014-08-01,14,17,53,40,65,83,132,140,272
CLIZA,estado nutricional,total talla baja,2014-08-01,5,4,6,8,6,3,17,15,32
COBIJA,estado nutricional,total talla baja,2014-08-01,31,13,46,17,18,17,95,47,142
COCAPATA,estado nutricional,total talla baja,2014-08-01,40,13,66,46,80,105,186,164,350
COCHABAMBA,estado nutricional,total talla baja,2014-08-01,157,127,194,170,143,160,494,457,951
COIPASA,estado nutricional,total talla baja,2014-08-01,1,0,0,0,0,0,1,0,1
COLCAPIRHUA,estado nutricional,total talla baja,2014-08-01,16,11,22,18,15,13,53,42,95
"COLCHA ""K""",estado nutricional,total talla baja,2014-08-01,6,7,22,23,14,13,42,43,85
COLLANA,estado nutricional,total talla baja,2014-08-01,0,1,0,1,1,1,1,3,4
COLOMI,estado nutricional,total talla baja,2014-08-01,14,20,42,24,24,21,80,65,145
COLQUECHACA,estado nutricional,total talla baja,2014-08-01,16,13,18,17,15,7,49,37,86
COLQUENCHA,estado nutricional,total talla baja,2014-08-01,12,7,16,6,12,19,40,32,72
COLQUIRI,estado nutricional,total talla baja,2014-08-01,247,27,20,19,25,22,292,68,360
COMANCHE,estado nutricional,total talla baja,2014-08-01,0,1,5,6,3,5,8,12,20
COMARAPA,estado nutricional,total talla baja,2014-08-01,5,4,11,6,14,7,30,17,47
COMBAYA,estado nutricional,total talla baja,2014-08-01,0,0,0,0,2,1,2,1,3
CONCEPCION,estado nutricional,total talla baja,2014-08-01,92,104,14,10,25,19,131,133,264
COPACABANA,estado nutricional,total talla baja,2014-08-01,1,3,6,1,9,2,16,6,22
CORIPATA,estado nutricional,total talla baja,2014-08-01,1,1,2,0,2,2,5,3,8
CORO CORO,estado nutricional,total talla baja,2014-08-01,5,8,15,10,10,12,30,30,60
